Date,Consumption,Unit
Apr-2004,,Million Pounds
Apr-2005,2716.779276008492,Million Pounds
Apr-2006,2656.6004129511675,Million Pounds
Apr-2007,2887.9531602972397,Million Pounds
Apr-2008,3064.59808492569,Million Pounds
Apr-2009,3029.1214851380046,Million Pounds
Apr-2010,3054.0508481953293,Million Pounds
Apr-2011,2860.7476380042463,Million Pounds
Apr-2012,2882.931158174098,Million Pounds
Apr-2013,3026.360158174098,Million Pounds
Apr-2014,3071.950440552017,Million Pounds
Apr-2015,2979.0201751592354,Million Pounds
Apr-2016,3033.9344522292995,Million Pounds
Apr-2017,3030.752474522293,Million Pounds
Apr-2018,3172.2588683651807,Million Pounds
Apr-2019,3405.8955169851374,Million Pounds
Apr-2020,3046.791397027601,Million Pounds
Apr-2021,3623.815828025478,Million Pounds
Apr-2022,3373.662831210191,Million Pounds
Apr-2023,3185.776467091295,Million Pounds
Aug-2003,2863.532191082803,Million Pounds
Aug-2004,2906.296629511677,Million Pounds
Aug-2005,3040.36292462845,Million Pounds
Aug-2006,3106.2554118895964,Million Pounds
Aug-2007,3197.423073248407,Million Pounds
Aug-2008,2997.7197781316354,Million Pounds
Aug-2009,2999.792063694267,Million Pounds
Aug-2010,3173.2653333333333,Million Pounds
Aug-2011,3147.218536093418,Million Pounds
Aug-2012,3235.849389596603,Million Pounds
Aug-2013,3131.84800955414,Million Pounds
Aug-2014,2982.865387473461,Million Pounds
Aug-2015,2926.8620636942674,Million Pounds
Aug-2016,3330.759036093418,Million Pounds
Aug-2017,3497.1715668789807,Million Pounds
Aug-2018,3557.84333970276,Million Pounds
Aug-2019,3532.777200636943,Million Pounds
Aug-2020,3557.143975583864,Million Pounds
Aug-2021,3576.64616985138,Million Pounds
Aug-2022,3610.037580679406,Million Pounds
Aug-2023,3624.458417197452,Million Pounds
Dec-2003,2944.58616985138,Million Pounds
Dec-2004,2827.8362335456477,Million Pounds
Dec-2005,2922.3097452229304,Million Pounds
Dec-2006,2841.6893205944803,Million Pounds
Dec-2007,2986.1247855626325,Million Pounds
Dec-2008,2951.7062643312106,Million Pounds
Dec-2009,3122.0052983014857,Million Pounds
Dec-2010,3196.0553131634824,Million Pounds
Dec-2011,3060.77351804671,Million Pounds
Dec-2012,2892.02031104034,Million Pounds
Dec-2013,3048.259803609342,Million Pounds
Dec-2014,3168.5865615711255,Million Pounds
Dec-2015,3088.768728237792,Million Pounds
Dec-2016,3282.8642070063693,Million Pounds
Dec-2017,3238.001676220807,Million Pounds
Dec-2018,3201.3921581740974,Million Pounds
Dec-2019,3498.4464225053075,Million Pounds
Dec-2020,3647.906470276009,Million Pounds
Dec-2021,3601.934247346072,Million Pounds
Dec-2022,3347.881843949044,Million Pounds
Dec-2023,3414.096916135881,Million Pounds
Feb-2004,2520.0902144373676,Million Pounds
Feb-2005,2563.4120796178345,Million Pounds
Feb-2006,2549.3602802547775,Million Pounds
Feb-2007,2741.458313163482,Million Pounds
Feb-2008,2893.906787685775,Million Pounds
Feb-2009,2767.6212409766454,Million Pounds
Feb-2010,2838.174435244161,Million Pounds
Feb-2011,2780.240763269639,Million Pounds
Feb-2012,2917.230968152866,Million Pounds
Feb-2013,2732.8078757961785,Million Pounds
Feb-2014,2807.539190021231,Million Pounds
Feb-2015,2806.9146656050953,Million Pounds
Feb-2016,2927.886593418259,Million Pounds
Feb-2017,3003.59856581741,Million Pounds
Feb-2018,3026.8350031847135,Million Pounds
Feb-2019,3132.9293142250526,Million Pounds
Feb-2020,3302.3354331210194,Million Pounds
Feb-2021,3295.496632696391,Million Pounds
Feb-2022,3332.872612526539,Million Pounds
Feb-2023,3180.4292993630575,Million Pounds
Jan-2004,2853.890772823779,Million Pounds
Jan-2005,2703.055222929936,Million Pounds
