GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "18000","Indiana",3,SAGDP2N,1,"...","All industry total ","Millions of current dollars",170924.6,185336.3,193659.9,204147.3,205325.1,213419.6,225349.3,239278.5,247428.3,259030.3,273340.8,277774.5,264925.0,284685.8,292373.8,301277.4,313466.9,329360.9,333163.8,342716.6,357535.8,377376.9,385446.2,377901.1,422951.9,470323.6,497035.5
 "18000","Indiana",3,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",154006.9,167728.8,175091.5,184500.1,185168.4,192550.2,203480.7,216280.2,223412.0,230735.8,247555.4,250682.3,237175.5,256686.7,264282.2,273088.8,285480.3,298771.2,301862.9,310419.1,323635.7,341678.7,349157.7,340357.4,384980.5,430445.0,454357.7
 "18000","Indiana",3,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",2617.6,2107.9,1480.4,1881.6,2065.3,1888.2,2562.0,3326.1,2179.0,2474.6,3191.4,4025.0,3111.0,3277.3,4675.8,4119.9,7326.8,5366.3,3789.0,3767.2,3931.8,3969.9,3113.8,4133.8,6901.7,8918.8,(D)
 "18000","Indiana",3,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",2125.0,1543.6,937.6,1242.5,1391.0,1293.1,2080.8,3044.0,1857.7,2052.3,2822.2,3664.1,2811.6,2893.8,4355.2,3798.3,6963.0,4912.3,3259.0,3248.9,3426.0,3492.2,2566.0,3602.3,6382.8,8405.3,(NA)
 "18000","Indiana",3,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",492.6,564.4,542.7,639.0,674.3,595.1,481.2,282.2,321.3,422.3,369.2,360.8,299.4,383.4,320.6,321.5,363.8,454.0,530.1,518.3,505.7,477.7,547.8,531.5,518.9,513.5,(NA)
 "18000","Indiana",3,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",661.8,767.5,774.7,678.5,830.4,814.1,862.1,830.0,924.7,1053.5,1174.3,1232.6,1367.4,1528.9,1683.3,1679.9,1713.2,1544.9,1311.1,1218.1,1392.9,1303.4,1135.2,1074.3,1277.3,1841.3,(D)
 "18000","Indiana",3,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",9.2,4.7,4.8,7.1,6.3,7.6,9.8,15.8,23.9,30.9,41.5,61.2,41.9,48.0,58.2,68.2,74.3,74.1,39.2,33.4,37.6,37.3,29.2,15.5,33.2,52.4,(NA)
 "18000","Indiana",3,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",645.5,756.1,764.1,664.6,811.5,793.4,841.7,801.3,885.2,1010.5,1116.7,1145.4,1305.0,1457.0,1594.7,1574.2,1581.2,1388.8,1212.2,1138.5,1279.8,1198.5,1033.9,988.0,1164.0,1677.6,(NA)
 "18000","Indiana",3,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",7.1,6.7,5.8,6.8,12.6,13.1,10.7,13.0,15.6,12.2,16.1,26.0,20.6,23.8,30.4,37.4,57.8,82.0,59.7,46.2,75.5,67.6,72.1,70.8,80.1,111.2,(NA)
 "18000","Indiana",3,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",4014.4,3763.4,4147.2,4002.0,3956.7,3790.8,3852.3,4203.3,4346.7,4904.2,4713.0,5057.4,5555.9,6191.0,6365.3,6372.7,6609.6,6871.2,6630.1,6772.7,6720.9,6761.5,7073.6,7143.1,8287.3,8697.2,8074.1
 "18000","Indiana",3,SAGDP2N,11,"23","  Construction ","Millions of current dollars",7879.3,8719.8,8970.2,9354.8,9369.7,9292.0,9891.2,10677.8,11294.8,11506.7,12206.6,11500.7,9820.0,9479.6,10344.5,11941.0,11997.9,12149.2,12902.1,14086.5,15743.6,16647.3,17970.9,18470.7,19840.4,21667.4,24297.9
 "18000","Indiana",3,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",50515.8,57006.7,58889.5,61282.6,57758.3,62010.9,65664.1,70069.1,68999.4,69073.4,79710.4,79363.3,68950.2,81489.6,82975.2,82622.4,87469.3,91808.2,87885.9,88764.2,92862.0,99022.0,97996.8,90666.0,104823.5,121900.7,127371.0
 "18000","Indiana",3,SAGDP2N,13,"321,327-339","   Durable goods manufacturing ","Millions of current dollars",33124.7,35924.1,36832.2,39182.2,36387.7,39519.0,42493.1,43579.3,43760.5,43275.1,48111.6,43307.5,31949.2,44880.7,43725.6,45706.4,47222.7,48701.3,52326.9,53090.0,53918.7,57882.3,57920.1,52615.3,58949.0,69490.1,74071.7
 "18000","Indiana",3,SAGDP2N,14,"321","    Wood product manufacturing ","Millions of current dollars",992.9,1018.5,1062.9,1007.1,946.0,909.1,952.7,989.3,1168.6,955.4,898.5,806.4,670.8,623.5,603.5,667.8,690.0,760.9,912.9,1033.0,1136.9,1128.8,1173.8,1120.5,1687.3,1744.3,(NA)
 "18000","Indiana",3,SAGDP2N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of current dollars",1211.9,1252.8,1323.3,1247.2,1198.1,1292.4,1346.4,1266.0,1320.1,1315.0,1304.9,1188.6,1100.6,1106.4,1155.2,1216.3,1463.3,1501.4,1670.8,1666.8,1940.4,2019.5,2199.9,2083.4,2207.1,2315.8,(NA)
 "18000","Indiana",3,SAGDP2N,16,"331","    Primary metal manufacturing ","Millions of current dollars",5631.0,6295.4,5504.8,5630.2,4849.7,5818.7,5294.7,7074.6,5448.3,4324.0,8451.7,9031.1,4210.0,7352.1,6568.8,7854.3,9015.7,8984.0,9120.0,8878.0,8243.1,10382.4,9379.1,6838.9,11473.4,15296.5,(NA)
 "18000","Indiana",3,SAGDP2N,17,"332","    Fabricated metal product manufacturing ","Millions of current dollars",4436.3,4751.3,4956.0,5388.1,4718.7,4642.4,4857.2,5085.6,5355.7,5604.0,5891.1,5263.8,4128.0,4789.5,5169.5,5746.0,5823.1,6066.6,6416.4,6339.1,6688.3,6979.8,7211.2,6812.5,6718.6,7383.6,(NA)
