GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "25000","Massachusetts",1,SAGDP2N,1,"...","All industry total ","Millions of current dollars",236435.6,247686.8,262868.8,287091.4,294876.4,299915.8,309736.1,324919.0,340637.8,358418.3,377985.6,387923.4,388963.9,409270.0,423684.9,441373.9,452580.4,469824.9,497767.0,514108.0,530129.4,559605.0,588617.5,589033.3,645434.0,691460.6,733859.8
 "25000","Massachusetts",1,SAGDP2N,2,"..."," Private industries ","Millions of current dollars",209643.3,220134.0,233887.4,256922.6,263400.4,267060.0,275794.4,289509.7,303523.6,319388.0,336316.7,344209.2,344288.3,363945.8,375388.5,394641.0,404166.0,419723.3,445884.0,462125.1,476636.8,503505.0,531267.8,531418.7,586624.8,630220.1,667681.8
 "25000","Massachusetts",1,SAGDP2N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",626.7,524.1,572.9,660.3,662.8,686.3,708.2,759.3,828.2,1008.3,955.3,951.1,1021.7,1231.4,1080.4,1068.5,947.7,786.0,835.5,791.9,839.4,831.0,876.3,815.1,924.1,974.8,1080.9
 "25000","Massachusetts",1,SAGDP2N,4,"111-112","   Farms ","Millions of current dollars",292.8,212.4,207.7,236.5,206.2,229.4,230.0,276.8,252.4,269.8,275.1,336.8,285.2,299.9,322.0,349.4,353.2,285.4,265.8,209.3,236.2,242.9,284.6,231.0,267.5,350.0,(NA)
 "25000","Massachusetts",1,SAGDP2N,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",333.9,311.6,365.3,423.8,456.6,456.9,478.2,482.5,575.8,738.5,680.2,614.3,736.5,931.5,758.4,719.1,594.5,500.6,569.7,582.6,603.2,588.0,591.7,584.1,656.6,624.9,(NA)
 "25000","Massachusetts",1,SAGDP2N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",89.5,109.7,118.4,127.6,143.1,135.6,133.8,156.1,138.2,160.6,246.3,149.0,169.3,162.8,165.5,159.1,161.8,183.0,206.4,256.4,193.8,181.0,231.7,175.4,142.0,130.1,96.4
 "25000","Massachusetts",1,SAGDP2N,7,"211","   Oil and gas extraction ","Millions of current dollars",0.1,0.2,0.1,0.1,0.0,0.0,1.8,1.7,1.4,1.1,1.5,1.8,1.7,1.6,2.2,2.8,2.7,2.4,2.7,5.8,1.4,1.1,3.7,1.2,2.2,2.0,(NA)
 "25000","Massachusetts",1,SAGDP2N,8,"212","   Mining (except oil and gas) ","Millions of current dollars",88.5,108.5,117.3,126.2,141.1,133.8,125.9,146.5,130.8,155.7,241.3,142.6,160.7,152.9,153.2,146.3,143.1,165.4,189.7,233.3,175.8,165.4,203.1,159.1,131.0,119.7,(NA)
 "25000","Massachusetts",1,SAGDP2N,9,"213","   Support activities for mining ","Millions of current dollars",0.9,1.0,1.0,1.3,2.0,1.9,6.1,7.9,6.0,3.9,3.5,4.6,6.9,8.3,10.2,9.9,16.0,15.2,14.0,17.3,16.7,14.4,24.9,15.1,8.8,8.4,(NA)
 "25000","Massachusetts",1,SAGDP2N,10,"22","  Utilities ","Millions of current dollars",3113.5,2939.6,3249.9,3271.5,3691.0,3142.7,3394.0,3449.0,3571.5,4763.5,4919.3,5826.0,4802.0,5528.6,5625.6,5365.9,5880.0,6124.2,6275.2,5911.4,6945.9,7548.7,8121.0,9808.9,11857.1,15499.3,15918.4
 "25000","Massachusetts",1,SAGDP2N,11,"23","  Construction ","Millions of current dollars",8477.6,9118.4,10211.4,11670.5,12776.6,13020.2,13072.7,14010.8,14945.7,15142.4,15089.2,13990.6,12666.8,12077.4,12577.6,13725.4,14837.9,15778.8,17636.0,19166.1,20871.0,22211.5,23897.4,23142.1,25035.0,26297.1,28734.2
 "25000","Massachusetts",1,SAGDP2N,12,"31-33","  Manufacturing ","Millions of current dollars",35519.3,36703.7,36881.7,40869.0,36888.6,37006.0,40186.5,37924.6,38389.7,40881.8,44892.5,41815.4,40409.2,44389.8,44472.1,45685.8,45318.8,47340.3,49466.0,48256.1,46542.2,49650.4,49660.4,49436.6,53321.6,56751.8,56600.0
 "25000","Massachusetts",1,SAGDP2N,13,"321,327-339","   Durable goods manufacturing ","Millions of current dollars",25550.7,26373.0,26261.1,29821.6,26956.1,26423.8,29518.7,27774.4,28035.6,28876.7,31717.5,28703.6,26384.0,30651.4,31151.2,31405.6,29933.9,29767.6,30872.9,30984.6,29281.1,30090.1,29995.0,28731.3,29688.0,31090.5,32219.5
 "25000","Massachusetts",1,SAGDP2N,14,"321","    Wood product manufacturing ","Millions of current dollars",136.4,147.8,132.0,141.1,146.2,148.7,146.2,179.4,210.3,199.6,171.2,139.5,108.6,125.9,140.8,153.9,164.7,178.9,175.5,195.2,206.7,184.4,219.6,226.1,226.4,237.8,(NA)
 "25000","Massachusetts",1,SAGDP2N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of current dollars",558.9,609.2,598.1,565.7,520.8,621.2,573.3,574.9,638.4,833.0,937.9,654.4,535.5,652.9,664.3,837.9,956.5,766.0,829.0,854.7,781.0,796.9,820.2,960.6,873.5,908.3,(NA)
 "25000","Massachusetts",1,SAGDP2N,16,"331","    Primary metal manufacturing ","Millions of current dollars",450.5,452.8,539.2,505.3,474.2,325.1,377.3,478.0,448.6,608.6,539.0,535.8,458.6,494.6,544.8,495.9,396.3,443.0,346.8,374.6,409.8,395.1,457.1,429.9,505.3,489.3,(NA)
 "25000","Massachusetts",1,SAGDP2N,17,"332","    Fabricated metal product manufacturing ","Millions of current dollars",3985.1,3862.9,3874.6,4298.5,4053.0,3105.9,3174.3,3271.1,3524.3,3429.4,3279.7,3273.9,3879.2,4499.1,4530.0,4887.2,4806.3,4755.0,5039.2,4939.7,4622.2,4110.4,4220.2,4144.9,4146.1,4284.8,(NA)
