GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "93000","Great Lakes",3,SAGDP3N,1,"...","All industry total ","Thousands of dollars",90101793,92740966,95758264,100946774,102514362,108665073,114295368,120915546,130580227,136371553,140303877,141535564,140202945,140942284,142294619,147779560,154091467,161687741,165062702,167706530,175173305,182844586,185271698,108997616,151010930,216064135
 "93000","Great Lakes",3,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",91744001,94209435,97266892,102354655,104113323,110581661,116373987,123192250,132883903,138811802,142814326,144239418,143181039,143494991,145271740,150685601,157316045,164835810,168159404,170819574,178181923,185950256,188401216,113904982,156374499,222534967
 "93000","Great Lakes",3,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-72748,-896974,-2561074,-2901149,-2710830,-391863,-872734,-1013298,-2573294,-1107876,-123398,-82075,-134514,-223162,111990,77708,265720,1337770,442837,-817875,216829,-634408,-2217355,-5604715,-2007512,1177910
 "93000","Great Lakes",3,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",-128252,-957359,-2623456,-2965585,-2778808,-456593,-942666,-1088791,-2655555,-1195508,-215298,-180357,-226493,-317738,13625,-22294,156644,1215684,333454,-931656,93321,-766557,-2356072,-5609557,-2081865,1004678
 "93000","Great Lakes",3,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",55504,60385,62382,64436,67978,64730,69932,75494,82261,87632,91900,98283,91978,94576,98365,100002,109076,122086,109383,113781,123508,132149,138717,4842,74353,173233
 "93000","Great Lakes",3,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",503751,514514,516783,541748,494163,508312,537831,591017,719698,819647,833007,813896,756298,781248,823779,960445,869965,1026056,909251,868233,854207,900110,892321,633360,914036,1230785
 "93000","Great Lakes",3,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",137399,139723,142092,151982,169422,192359,214565,249931,347174,430367,439900,411788,338427,356556,375101,443835,306593,401091,326808,300312,273933,289058,313425,264161,399106,530024
 "93000","Great Lakes",3,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",338771,346664,346855,357834,301212,288706,296432,308776,337708,350188,351910,354430,366686,376629,400041,455238,491549,531616,484559,473958,489684,530611,501823,377361,478368,620053
 "93000","Great Lakes",3,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",27580,28127,27836,31931,23530,27246,26834,32310,34816,39092,41197,47678,51185,48062,48637,61372,71824,93349,97883,93964,90589,80441,77073,-8162,36562,80708
 "93000","Great Lakes",3,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",5098433,5106160,5458509,5807112,5638910,5835352,5958872,6218642,6679574,7236661,8061500,8432587,8808396,8786307,8887051,8927320,9030940,8935025,8841536,8797985,9052690,9117525,9284795,9273012,9854591,10591290
