GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "18000","Indiana",3,SAGDP3N,1,"...","All industry total ","Thousands of dollars",10497254,10671440,10914814,11417809,11736418,12629073,13660533,14102356,16891055,17545826,15539792,16828112,16599858,16949949,16019013,17263871,17967846,18455016,18372334,18248315,19449979,21026020,21040305,11375665,17597202,24812244
 "18000","Indiana",3,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",10602047,10772438,11020035,11539904,11894778,12815300,13869954,14343839,17148766,17819330,15819732,17154729,16960906,17244858,16427394,17661871,18432595,18866762,18746685,18632485,19830558,21435876,21458573,11952578,18344571,25707819
 "18000","Indiana",3,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-63500,-242223,-563582,-638416,-658311,-107485,-191627,-248028,-585588,-245503,-19154,-2485,849,-54908,43051,46117,55809,291389,166652,-214101,31881,-110736,-448058,-901728,-220674,322616
 "18000","Indiana",3,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",-71087,-249956,-571694,-646762,-668666,-117161,-202231,-259609,-599408,-261002,-35128,-17665,-12557,-70126,27792,29641,38089,263894,143917,-239206,5669,-139351,-480678,-923561,-247641,281745
 "18000","Indiana",3,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",7587,7733,8112,8346,10355,9676,10604,11581,13821,15499,15974,15180,13406,15217,15260,16477,17720,27495,22735,25105,26211,28615,32621,21834,26967,40870
 "18000","Indiana",3,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",83389,81888,79243,82253,73212,74832,77143,75649,91957,99350,85308,86499,91797,99562,99897,114029,121968,128649,117509,109875,106899,106873,103489,37413,84228,108717
 "18000","Indiana",3,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",2758,1623,1875,2471,2338,2167,2442,2536,2672,4221,4842,4929,5332,9852,11691,15323,15059,19734,17852,14768,11595,12104,11610,-9410,12046,14729
 "18000","Indiana",3,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",79879,79548,76698,79111,70162,71689,73914,72290,87954,94048,79259,79946,84684,87388,86124,96232,103382,105686,96247,91472,91623,91906,88855,72107,77588,88979
 "18000","Indiana",3,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",752,717,670,670,712,975,787,823,1331,1081,1208,1623,1781,2323,2083,2474,3527,3229,3410,3635,3681,2863,3024,-25284,-5407,5009
 "18000","Indiana",3,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",601344,577016,587417,660958,634706,646547,698156,731583,960466,1002616,821512,958234,1019913,1089004,1014207,1044626,1072822,1053302,990778,978377,1026538,1083091,1119085,1148344,1200802,1224599
 "18000","Indiana",3,SAGDP3N,11,"23","  Construction ","Thousands of dollars",93500,99449,103610,108958,103795,110716,109231,109592,141597,136023,114519,111970,103505,111389,96629,103459,103222,92787,95574,102630,118940,129451,133826,-975179,-364803,161277
 "18000","Indiana",3,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",1383342,1373091,1388093,1520618,1616609,1700432,1706971,1710501,2273440,2264190,1712026,1781892,1847360,1899245,1665198,1704658,1924396,1905688,1934710,1867357,2088704,2158781,2225300,584664,1600859,2524033
 "18000","Indiana",3,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",810545,804653,826068,888564,908529,971201,976369,955167,1299981,1274261,951562,1019230,1045345,1050200,851721,897247,972937,965965,996060,932085,1022988,1066170,1098384,-115580,596274,1247225
 "18000","Indiana",3,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",24740,25297,26565,27546,22425,22523,22301,21862,29543,28980,21809,22309,21030,19767,16692,17743,17581,16188,16875,17960,20009,20771,21184,-94947,5697,25814
 "18000","Indiana",3,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",34089,33089,34432,36932,33867,35325,35349,34295,46678,45336,34538,36574,38225,39235,32682,34119,35334,35836,35917,35265,37592,39619,41253,523,26763,43523
 "18000","Indiana",3,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",279436,272298,266556,278726,240889,252033,252241,236302,311790,296085,227160,261274,282806,282652,229914,236321,234149,229836,235852,234463,242685,250075,258039,185843,266222,307728
 "18000","Indiana",3,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",72848,73378,75811,83221,75661,77375,74641,73330,102307,100252,74851,78567,76976,79567,67299,69401,70720,70899,73160,75751,86270,91719,94034,-235625,-94231,101315
 "18000","Indiana",3,SAGDP3N,18,"333","    Machinery manufacturing ","Thousands of dollars",78026,83791,90905,101154,96631,99482,96587,95314,134462,134187,98227,109505,107141,105255,86249,92296,92374,87883,91184,92676,99217,107740,113548,-68981,29021,124188
 "18000","Indiana",3,SAGDP3N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",49223,47920,46252,48637,63312,69773,69340,66182,92950,94803,64950,72330,72819,69222,53573,53161,58687,59265,60093,49244,50366,50344,49769,-2960,33189,51855
 "18000","Indiana",3,SAGDP3N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",33474,31098,29468,30648,34526,34566,31637,30336,39736,34998,22692,19326,16202,4320,-6301,1709,9295,10622,10548,11538,12221,13513,12937,-24711,-15761,11731
 "18000","Indiana",3,SAGDP3N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",173469,171841,186916,201911,249027,279245,288515,291385,389361,388777,293005,302614,308996,326959,267185,284990,292900,299080,301019,324864,373879,384767,398085,266638,328473,463235
 "18000","Indiana",3,SAGDP3N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",19947,20870,23336,27640,29075,27822,29038,28404,42034,42271,31106,30491,29043,28010,24418,25148,25615,24383,23458,23355,27298,29538,29138,-30140,1798,32278
 "18000","Indiana",3,SAGDP3N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",11881,12319,12855,14768,13785,14767,14882,15155,21377,21683,16974,17093,17127,17428,14275,15022,15760,14136,14181,14991,16921,17669,16987,-87165,-7784,20399
 "18000","Indiana",3,SAGDP3N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",33412,32753,32973,37382,49331,58289,61836,62603,89743,86889,66251,69146,74980,77785,65735,67338,120521,117836,133771,51978,56530,60415,63409,-24055,22886,65158
 "18000","Indiana",3,SAGDP3N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",572797,568437,562025,632054,708080,729231,730602,755333,973459,989929,760464,762662,802016,849045,813477,807412,951459,939724,938651,935272,1065717,1092611,1126916,700244,1004585,1276809
 "18000","Indiana",3,SAGDP3N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",253297,243063,223158,283808,262306,262361,260150,267801,291291,279170,230733,147344,159789,173860,161742,141228,178856,189210,199118,202044,214816,215697,244355,176046,235473,303846
 "18000","Indiana",3,SAGDP3N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",5663,5956,6292,6537,5173,5431,5393,5521,8380,8242,6310,6641,6875,7480,6096,6203,5895,5740,4923,5066,5896,6389,6461,-6396,1116,9008
 "18000","Indiana",3,SAGDP3N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",1712,1663,1645,1827,1598,1573,1586,1596,2326,2723,2211,2181,2293,2969,1998,2236,2211,1994,2066,1984,2015,1913,1892,-18873,-15777,1904
 "18000","Indiana",3,SAGDP3N,29,"322","    Paper manufacturing ","Thousands of dollars",37266,36726,33983,36648,34188,35272,34202,34029,47407,47151,34650,35413,36775,36107,29357,29048,28033,26027,26297,26601,30286,30940,33527,26260,35286,39475
 "18000","Indiana",3,SAGDP3N,30,"323","    Printing and related support activities ","Thousands of dollars",20150,20371,20975,22687,20273,21041,20861,20811,28849,28596,21907,23673,24807,24377,19219,19113,18422,16365,16453,22295,17700,18062,18727,-2742,621,20558
 "18000","Indiana",3,SAGDP3N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",49719,47068,47633,47501,47961,51793,53744,52816,77929,85719,66132,78161,84134,83635,72879,70727,85996,91416,89865,98510,96500,96113,106551,78255,111063,128980
 "18000","Indiana",3,SAGDP3N,32,"325","    Chemical manufacturing ","Thousands of dollars",147515,156829,166641,166085,270998,283838,286804,303767,427715,442535,335938,395822,424395,457087,456457,479131,559075,540975,535115,517411,624452,643360,630415,524367,638656,691558
 "18000","Indiana",3,SAGDP3N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",57474,56763,61698,66961,65584,67923,67861,68993,89563,95793,62585,73427,62947,63529,65730,59726,72970,67997,64814,61360,74052,80138,84987,-76672,-1853,81481
 "18000","Indiana",3,SAGDP3N,34,"42","  Wholesale trade ","Thousands of dollars",1952113,1977047,2100253,2022980,2024315,2083683,2340279,2452504,2737904,2811793,2734511,2844243,2607763,2592371,2709379,2887340,3024411,2990131,3036066,2979766,3086059,3793537,3991251,2995828,4104317,4313358
 "18000","Indiana",3,SAGDP3N,35,"44-45","  Retail trade ","Thousands of dollars",1756339,1854539,2012637,2120157,2313581,2296037,2722794,2848458,3146988,3175500,3120032,3353009,3162397,3349089,3494956,3653016,3714086,3806895,3648936,3778724,3926004,4065622,4020840,3758750,4614408,5504730
