GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "24000","Maryland",2,SAGDP3N,1,"...","All industry total ","Thousands of dollars",9572821,10215110,10488788,11649329,12368908,13003466,13595359,14530751,16792281,17561082,17770150,17393871,15884131,18200079,18325180,18898768,19632042,21378301,22155651,22682964,23837316,25133657,25874211,14538081,20846048,29967895
 "24000","Maryland",2,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",9850194,10429060,10702258,11856712,12587679,13264007,13887348,14844368,17109869,17893279,18107841,17730495,16297245,18617323,18766425,19343570,20082352,21860183,22641694,23184173,24312498,25733348,26499894,15768576,22181115,31578657
 "24000","Maryland",2,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",10407,-6991,-26443,-58023,-45260,-10057,-21879,-7714,-32878,-13938,12879,5861,4766,4339,22508,13140,26688,49225,45387,24969,18146,33112,-31166,-100707,-25756,51018
 "24000","Maryland",2,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",7613,-9801,-29380,-61299,-48430,-13384,-25556,-12004,-38362,-20216,7235,31,-16,-1310,17058,8013,21165,43535,39706,19235,12031,26795,-37635,-97433,-23294,44004
 "24000","Maryland",2,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",2794,2811,2937,3276,3170,3327,3678,4290,5484,6278,5644,5830,4781,5649,5451,5126,5523,5690,5681,5733,6116,6317,6470,-3274,-2462,7015
 "24000","Maryland",2,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",13513,14267,13809,16004,15401,15312,15404,16379,19739,20754,17311,15969,14986,16955,16833,17719,16890,19105,19941,22304,21830,21230,22439,19663,21740,26311
 "24000","Maryland",2,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",227,286,123,409,1807,1263,1192,624,661,631,181,172,104,96,102,118,208,421,478,497,84,110,141,304,790,1343
 "24000","Maryland",2,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",12602,13218,12862,14626,12895,13181,13210,14395,16548,16918,14188,12975,11724,13003,12479,12899,11711,13176,13490,15264,17162,17562,19143,16931,17935,21635
 "24000","Maryland",2,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",684,763,824,970,699,868,1001,1360,2530,3205,2942,2822,3158,3856,4252,4702,4971,5507,5973,6544,4583,3558,3156,2429,3015,3333
 "24000","Maryland",2,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",649784,637524,657235,696563,664067,655460,797847,948859,959469,1039124,1113749,1148301,1125621,1292948,1419770,1437033,1404114,1442100,1494177,1464951,1495252,1533472,1551327,1457027,1550984,1738349
