GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,SAGDP3N,1,"...","All industry total ","Thousands of dollars",5251678,5210511,5184163,5867967,5918689,6003212,6306326,7018718,7440994,8328501,8678075,8944986,8912701,9443360,9862893,10909394,11140615,11007968,11195576,10974672,11461522,12349808,12585650,4261407,8930991,14142054
 "40000","Oklahoma",6,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",5297322,5247289,5222202,5912373,5974529,6068462,6368349,7074793,7509163,8398466,8767625,9040612,9057298,9549295,9982306,11086222,11357087,11222387,11387985,11162870,11646235,12546147,12796003,4574870,9280926,14612124
 "40000","Oklahoma",6,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-93312,-177642,-364505,-287384,-256145,-180730,-194196,-70889,-165169,-101617,-107201,-142689,-66397,-137137,-152641,-99197,-133797,-679644,-289668,-112937,-82628,-133325,-237832,-914829,-578534,-320572
 "40000","Oklahoma",6,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",-97472,-181908,-369107,-292265,-261127,-186233,-200318,-77927,-172194,-108271,-114856,-150696,-73290,-144594,-159893,-106645,-141822,-687353,-297101,-121144,-92240,-143791,-247815,-898939,-578418,-335643
 "40000","Oklahoma",6,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",4160,4266,4603,4881,4982,5503,6122,7038,7025,6654,7655,8007,6893,7457,7252,7447,8026,7708,7434,8207,9612,10466,9983,-15890,-116,15070
 "40000","Oklahoma",6,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",696044,597379,533681,827720,845351,736832,971449,1202539,1476302,1853142,1880580,2231045,2247691,2441990,2687240,2972640,3020962,3023681,2747304,2428131,2572302,2857632,2714574,1947955,2273058,2861095
 "40000","Oklahoma",6,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",664390,565927,499840,788728,805322,696774,929625,1157503,1423454,1798414,1811780,2149922,2173907,2362301,2603227,2881751,2926911,2914573,2651863,2330897,2455415,2727524,2586985,2109615,2386650,2741944
 "40000","Oklahoma",6,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",10565,11084,11758,13063,12748,12108,12483,13157,12754,12399,14200,15272,14345,15837,17715,20711,24046,31450,25791,24292,26724,33010,36993,21689,27617,36367
 "40000","Oklahoma",6,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",21090,20368,22083,25929,27281,27950,29341,31879,40094,42330,54601,65851,59439,63851,66298,70178,70006,77657,69649,72941,90162,97098,90596,-183349,-141209,82783
 "40000","Oklahoma",6,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",219122,219524,230259,248404,259663,269015,271672,283196,290906,311976,346934,341550,386261,414376,403160,429130,438770,462125,427059,424150,390315,421759,482710,384721,431365,489003
 "40000","Oklahoma",6,SAGDP3N,11,"23","  Construction ","Thousands of dollars",31240,34967,38618,40352,45452,49330,49445,51885,59011,55442,61179,58975,53735,56127,53103,57385,60583,66757,63497,65451,70311,75502,82684,-939098,-521344,113539
 "40000","Oklahoma",6,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",226838,229320,250459,272512,215550,224108,226574,249591,227786,241659,250792,257254,300311,319930,346969,323882,379163,354709,351711,338766,356334,389295,418589,-503754,-166056,451972
 "40000","Oklahoma",6,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",124686,128439,140367,154806,123143,127623,125458,134959,133293,121517,138781,128937,127495,124084,114294,120010,135314,128526,130088,119176,121597,141357,151894,-585684,-336071,179491
 "40000","Oklahoma",6,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",3368,3440,3781,4298,3724,4014,4095,4332,4412,3873,4115,3862,3652,3215,2743,2670,2703,2617,2723,2926,2807,2281,2745,-16542,-4804,3530
 "40000","Oklahoma",6,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",9086,9541,10696,11692,9630,10276,10370,11439,11706,11010,12278,11518,12224,12339,10698,10521,10592,10377,10960,11776,11936,12561,13774,-9995,8212,17562
 "40000","Oklahoma",6,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",9028,9143,9167,10478,7898,7365,7777,8744,8453,7459,8835,9631,10255,9989,9402,9288,8987,7347,7470,8109,8765,9202,10191,-34850,-8415,13331
 "40000","Oklahoma",6,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",20380,21077,24006,26448,21437,23261,21478,24063,24083,22340,25691,23402,23387,23431,22407,24103,25050,23930,24490,22822,22605,25514,29665,-243417,-184837,32409
 "40000","Oklahoma",6,SAGDP3N,18,"333","    Machinery manufacturing ","Thousands of dollars",26093,27770,30660,34567,29462,29715,29958,33346,34410,32160,39855,38144,37982,39183,37680,40640,41243,39350,38504,36271,37382,40774,45139,-159129,-60683,51461
 "40000","Oklahoma",6,SAGDP3N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",20802,21918,23710,25923,18289,16089,15380,15098,14148,12448,14227,12233,12740,12039,10568,10887,13733,13109,13844,9656,9587,12151,10434,-33046,-23297,10200
 "40000","Oklahoma",6,SAGDP3N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",3946,3919,3895,4315,3776,4013,3914,3924,4436,3543,3982,2900,1726,-1587,-2423,-1889,1721,1109,1505,1787,2384,1960,2734,-4076,-2665,4183
 "40000","Oklahoma",6,SAGDP3N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",16816,16677,18457,19777,15839,19295,19160,19218,16954,14582,13992,13513,12412,11963,10773,10882,10958,11002,10501,10450,10140,10996,11524,-14790,-10226,14750
