GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "42000","Pennsylvania",2,SAGDP3N,1,"...","All industry total ","Thousands of dollars",22838717,24012232,25158526,25954780,26715278,27563730,29351265,32205931,35624288,37186073,39476993,37919233,36438493,37532266,39377817,41042980,42406753,43675785,45644020,46199338,47897060,50704502,52267124,31465538,42544135,56670763
 "42000","Pennsylvania",2,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",23484628,24554856,25674737,26455212,27252946,28206880,30039152,32921027,36359021,37935399,40202131,38626906,37208851,38335869,40261182,41836711,43217349,44471333,46419333,47043832,48722477,51595180,53153308,33056261,44110907,58581365
 "42000","Pennsylvania",2,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",113804,94230,82336,27953,60619,36529,5984,94298,65118,88590,170193,186408,101440,169429,211499,187443,219383,295304,266808,234175,246850,242096,177347,-247748,96559,301212
 "42000","Pennsylvania",2,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",103349,83400,70953,15392,47564,23237,-7784,78652,47787,69546,150735,165729,83463,151213,192709,168275,197559,275654,248509,215350,226711,219468,154629,-236397,85840,274750
 "42000","Pennsylvania",2,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",10455,10829,11383,12561,13056,13292,13768,15646,17331,19044,19458,20679,17978,18215,18790,19168,21824,19650,18299,18825,20139,22628,22718,-11351,10718,26462
 "42000","Pennsylvania",2,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",201871,219029,207476,206431,197949,197540,200363,230595,285090,324471,355492,357569,344634,430416,511935,639653,671097,881738,873361,781656,924253,825696,873589,753589,971335,1185368
 "42000","Pennsylvania",2,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",37785,45453,44272,47648,45132,50238,53994,66162,96239,130957,147903,161032,141387,218221,261627,357743,403993,581938,605342,543975,670574,567726,617559,610690,747147,898836
 "42000","Pennsylvania",2,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",157556,166158,155141,150110,145244,138568,137281,153616,174263,175590,185435,175053,172324,168623,188348,201089,188066,198833,169143,159343,171617,172766,169247,119769,175263,199544
 "42000","Pennsylvania",2,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",6530,7418,8063,8674,7573,8734,9087,10816,14589,17925,22153,21485,30922,43572,61960,80821,79037,100967,98875,78338,82062,85204,86783,23130,48925,86988
 "42000","Pennsylvania",2,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",1703582,1737672,1749697,1777039,1660096,1677855,1780025,1932156,2103825,2251961,2354643,2337339,2331082,2354429,2418362,2540619,2561033,2532263,2586586,2619120,2620170,2669370,2765343,2649780,2649136,2852125
