GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "97000","Rocky Mountain",7,SAGDP3N,1,"...","All industry total ","Thousands of dollars",16129135,17469708,18329005,19760489,20106846,21483827,22141289,24479048,26126238,28313843,30068302,30321675,29214089,31719483,33606325,33336601,34466427,35814149,36584095,38456944,41239815,44027343,46941631,20079045,37404626,55477221
 "97000","Rocky Mountain",7,SAGDP3N,2,"..."," Private industries ","Thousands of dollars",16374973,17694491,18567972,20001400,20363774,21810144,22495575,24852613,26550304,28735332,30502717,30800146,29816105,32232634,34193106,33926414,35157100,36510288,37247823,39177655,41969636,44959108,47782398,21505031,38966947,57420097
 "97000","Rocky Mountain",7,SAGDP3N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-177324,-452923,-685021,-701767,-673640,-330520,-477608,-293239,-629279,-234012,-75190,-174856,-91032,-230671,-106926,-39762,-33802,-32272,102631,-58451,-210478,-167834,-204387,-2148428,-1052104,-616323
 "97000","Rocky Mountain",7,SAGDP3N,4,"111-112","   Farms ","Thousands of dollars",-214571,-490875,-726197,-742572,-713599,-371365,-520668,-339127,-676720,-285059,-133255,-239849,-145561,-292276,-172819,-101959,-99590,-94681,40686,-119634,-277731,-242946,-283478,-2142762,-1111039,-715336
 "97000","Rocky Mountain",7,SAGDP3N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",37247,37953,41176,40804,39959,40846,43060,45888,47441,51047,58065,64993,54530,61605,65893,62197,65788,62409,61945,61183,67253,75113,79091,-5666,58936,99013
 "97000","Rocky Mountain",7,SAGDP3N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1047306,1092879,1082850,1276889,1429524,1369229,1765534,2269928,2916612,3484581,3744221,4149693,3452866,3783342,4461767,4105120,4316442,4729116,4314995,3864371,3811940,4153579,4339937,3751921,4521667,6136666
 "97000","Rocky Mountain",7,SAGDP3N,7,"211","   Oil and gas extraction ","Thousands of dollars",497850,539945,512638,656328,791329,760873,1020512,1427690,1873806,2249090,2420545,2671231,2200899,2495863,2841666,2556783,2731655,3165487,3087664,2776713,2679816,2869719,3053748,2927088,3341856,4295895
 "97000","Rocky Mountain",7,SAGDP3N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",494621,493993,514296,555485,568103,531607,665786,744923,908675,1063524,1113537,1229235,1034790,1052246,1365178,1276634,1322685,1284110,967668,854171,904066,1061799,1056955,833234,1137896,1608523
 "97000","Rocky Mountain",7,SAGDP3N,9,"213","   Support activities for mining ","Thousands of dollars",54835,58941,55915,65075,70092,76750,79236,97315,134131,171967,210139,249227,217177,235233,254923,271703,262103,279519,259664,233487,228058,222061,229234,-8400,41915,232248
 "97000","Rocky Mountain",7,SAGDP3N,10,"22","  Utilities ","Thousands of dollars",806502,828335,865379,862165,873039,948290,952248,1035276,1117557,1250088,1223172,1294071,1385459,1594419,1670062,1616724,1550921,1536178,1576265,1667886,1709465,1800541,1903354,1876297,1901140,2094138
 "97000","Rocky Mountain",7,SAGDP3N,11,"23","  Construction ","Thousands of dollars",154164,182153,202673,218868,218964,228149,230943,261311,286464,296308,316044,284685,265126,299890,286375,283366,307277,314596,338700,360443,387444,420589,450229,-3237855,-936746,543010
 "97000","Rocky Mountain",7,SAGDP3N,12,"31-33","  Manufacturing ","Thousands of dollars",1029692,1159787,1149615,1275991,1295603,1309694,1348366,1383044,1422378,1321677,1383989,1424025,1552434,1667150,1761720,1688922,1857164,1854726,1883751,1893380,2033668,2068381,2189040,92628,1214814,2309906
 "97000","Rocky Mountain",7,SAGDP3N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",358321,392813,418274,455739,497285,519016,526986,538380,543795,544590,573670,583798,605834,649998,693966,633851,768006,776968,789946,713046,794239,817278,905924,-465845,226113,956447
 "97000","Rocky Mountain",7,SAGDP3N,14,"321","    Wood product manufacturing ","Thousands of dollars",27635,28768,29751,30656,25098,25379,25652,27567,28219,30072,31595,29569,27269,25413,25792,25233,26599,25086,25920,27594,29428,30553,33502,-55812,7550,37739
 "97000","Rocky Mountain",7,SAGDP3N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",29346,32331,34348,35801,33424,34138,35656,37253,38640,41929,48235,48102,49190,53449,52988,51104,50250,51234,52021,55157,60601,63008,67762,2651,38505,75680
 "97000","Rocky Mountain",7,SAGDP3N,16,"331","    Primary metal manufacturing ","Thousands of dollars",36361,36504,29273,31174,27608,23207,23278,26426,23768,23953,29053,33665,38393,40348,44025,41885,40939,39242,40321,40849,41282,40454,45810,-47,25258,51073
 "97000","Rocky Mountain",7,SAGDP3N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",33757,36315,38225,39461,37913,40247,40950,43259,42546,44765,48717,54691,52502,57039,67400,60278,89774,82344,82086,77534,92184,91618,112790,-208586,-86271,112950
 "97000","Rocky Mountain",7,SAGDP3N,18,"333","    Machinery manufacturing ","Thousands of dollars",25848,29290,31463,34327,36691,37612,36531,36874,37817,39360,44735,48093,54123,60170,62793,56758,55593,53006,55995,61246,62786,66070,75058,-153752,-11286,81744
 "97000","Rocky Mountain",7,SAGDP3N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",127226,146420,166669,190935,229054,244707,238526,234098,239207,228989,229481,223593,235540,259104,271620,248266,276020,298470,298312,265940,305328,312686,330307,168296,250139,314499
 "97000","Rocky Mountain",7,SAGDP3N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",5587,5660,5870,6674,9765,9048,9027,9386,9722,10195,9978,8797,8368,2953,-705,2362,9535,10792,11572,13135,14606,15110,16559,-54741,-29904,23226
 "97000","Rocky Mountain",7,SAGDP3N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",12864,14474,14581,15985,17549,17479,19591,20159,20025,19848,21129,22279,25025,26399,28399,27590,27573,28919,30471,32901,34227,35652,38531,-16232,8227,43577
 "97000","Rocky Mountain",7,SAGDP3N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",26269,28066,29030,30653,33949,35740,37491,38915,43362,42576,47500,46369,51859,54887,53047,44863,45687,46525,51874,57273,62106,66303,73424,56274,76471,98906
 "97000","Rocky Mountain",7,SAGDP3N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",5849,6657,7468,8181,7924,8797,9309,10073,10443,10954,12248,11774,11411,11711,11614,10443,10439,9737,10289,11013,11347,12141,13631,-63329,-32962,15497
 "97000","Rocky Mountain",7,SAGDP3N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",27580,28328,31597,31893,38311,42662,50976,54371,50047,51948,51000,56867,52153,58525,76992,65068,135598,131614,131084,70402,80345,83683,98550,-140567,-19613,101556
 "97000","Rocky Mountain",7,SAGDP3N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",671371,766974,731341,820252,798318,790677,821380,844663,878583,777087,810319,840226,946600,1017151,1067755,1055071,1089158,1077757,1093805,1180334,1239429,1251103,1283116,558473,988700,1353459
 "97000","Rocky Mountain",7,SAGDP3N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",509225,593425,556321,638503,581404,563148,578368,595964,619991,512164,513483,513155,577958,626501,606927,613792,612025,587064,575123,623054,647036,627438,630902,291564,521265,630828
 "97000","Rocky Mountain",7,SAGDP3N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",4128,4290,4431,4349,3897,4128,4526,4805,5066,5225,6192,6539,7447,8014,7246,6475,6175,5774,5199,6167,6177,6633,7649,-8752,-1169,8579
 "97000","Rocky Mountain",7,SAGDP3N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",2263,2442,2582,2816,2580,2591,2526,2379,2628,2540,2550,2544,2674,2733,2827,2808,2694,2615,2963,2859,2920,2913,3098,-25773,-11688,3999
 "97000","Rocky Mountain",7,SAGDP3N,29,"322","    Paper manufacturing ","Thousands of dollars",22311,21608,24318,24757,21739,22919,24844,24068,23567,22207,21832,21744,24651,23869,22691,21112,22444,20681,21527,21925,22830,24104,26707,11296,26597,31173
 "97000","Rocky Mountain",7,SAGDP3N,30,"323","    Printing and related support activities ","Thousands of dollars",15854,15970,16754,17823,16105,16399,17011,17783,17915,17894,18868,19187,19611,20286,20074,17847,17133,15755,16359,23418,17932,18298,20216,-79837,-61116,22970
 "97000","Rocky Mountain",7,SAGDP3N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",55980,59391,55578,58307,61524,64995,68264,68597,74471,79587,90968,104862,118061,119220,129201,125527,144692,164319,179840,196650,186763,194661,206155,191007,206239,243640
