GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "25000","Massachusetts",1,SAGDP4N,1,"...","All industry total ","Thousands of dollars",135232217,146224427,158531313,178290951,181188379,178812854,181525223,192535234,198949925,209555062,223088103,230094988,221443522,229404840,240267112,250049154,257408781,269978503,286161231,294087163,309143139,325726220,342167466,345256877,373048742,394121058
 "25000","Massachusetts",1,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",116186191,126410557,137465418,156182286,157976853,154511729,156383153,166176262,171527593,180661603,192824797,198578478,189150313,196217178,206286270,214732680,220489697,231428590,245928572,253714633,267829016,282588942,297565651,299914779,327474021,347119693
 "25000","Massachusetts",1,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",202103,196791,213694,237980,273083,(D),(D),357914,357142,404394,432786,(D),(D),(D),(D),(D),425150,429229,415234,445749,442529,433317,421293,428350,492291,485950
 "25000","Massachusetts",1,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",102928,102848,93596,107413,111398,136711,123528,120825,98475,111831,133190,126981,121933,116296,100888,164242,168252,177608,147264,166601,141698,128821,108434,115750,112372,160350
 "25000","Massachusetts",1,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",99175,93943,120098,130567,161685,(D),(D),237089,258667,292563,299596,(D),(D),(D),(D),(D),256898,251621,267971,279148,300830,304496,312859,312600,379919,325600
 "25000","Massachusetts",1,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",68970,75861,77019,77187,83729,(D),(D),113959,114112,115436,101592,(D),(D),(D),(D),(D),65538,71763,79891,84349,86756,87954,91513,91661,87767,92988
 "25000","Massachusetts",1,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",72,176,92,81,0,0,(D),1055,1121,(D),(D),(D),(D),(D),(D),(D),1270,1227,1330,1214,(D),(D),(D),(D),(D),(D)
 "25000","Massachusetts",1,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",68219,74955,76190,76210,(D),(D),96853,106833,108723,(D),98942,80974,76089,68464,63891,56062,54158,59331,66339,70455,75953,79002,81308,80917,81363,87265
 "25000","Massachusetts",1,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",(T),(T),(T),(T),(D),(D),4787,6071,4268,(D),(D),(D),(D),(D),6278,6526,10110,11205,12222,12680,(D),(D),(D),(D),(D),(D)
 "25000","Massachusetts",1,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",968202,993222,1094184,1166579,1222482,1149090,1135009,1132576,1108682,1183731,1259707,1362207,1412686,1490988,1608949,1481607,1487213,1595867,1588579,1681493,1904878,1937102,2156836,2308355,2369812,2398638
