GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "33000","New Hampshire",1,SAGDP4N,1,"...","All industry total ","Thousands of dollars",20224690,22058881,23455597,25998978,27028529,27503183,28634533,30477455,31910543,33634375,34942229,35794736,35046358,35619619,36879645,37603644,38685606,40636627,42310983,43718883,45377900,47259890,49176762,50708586,57808545,60067241
 "33000","New Hampshire",1,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",17339823,19073832,20285244,22641210,23351721,23556201,24281370,25892062,27122086,28615005,29656215,30257226,29330421,29708213,31071454,31828227,32717925,34422773,36051986,37346192,38920384,40543460,42322702,43675757,50684094,52801114
 "33000","New Hampshire",1,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",57951,60956,61611,67140,66342,72428,67557,70395,61892,71372,78695,73546,71682,69621,65726,95136,94309,104459,96336,98114,88272,83184,77580,82466,83145,96646
 "33000","New Hampshire",1,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",36385,35694,32067,36211,36851,44224,39519,38348,30911,33983,39971,38304,36662,34999,29943,52687,53939,57186,47195,53272,42768,38498,31574,33647,32205,48249
 "33000","New Hampshire",1,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",21566,25262,29544,30929,29491,28204,28039,32047,30981,37389,38724,35241,35020,34622,35783,42449,40370,47273,49141,44842,45504,44686,46006,48818,50940,48397
 "33000","New Hampshire",1,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",9688,10266,11550,10877,25444,26296,25930,30424,33511,35906,41776,38145,32949,33805,33652,35476,35555,36077,38003,40520,43606,45398,45068,51846,51324,57264
 "33000","New Hampshire",1,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",(T),(T),(T),(T),0,0,0,0,0,0,0,0,0,0,(D),0,0,0,0,0,0,0,0,0,0,0
 "33000","New Hampshire",1,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",7009,7743,8981,8547,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),26240,28752,28580,30189,31942,34096,36282,37306,36523,41515,(D),44792
 "33000","New Hampshire",1,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6724,6975,5888,6062,6424,7324,8092,8545,10331,(D),12472
 "33000","New Hampshire",1,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",225449,221678,225268,233761,241914,251904,244360,275861,258244,263052,268508,305034,309124,310589,340242,308717,323709,322241,305772,308329,312572,319890,307764,351878,343080,355428
 "33000","New Hampshire",1,SAGDP4N,11,"23","  Construction ","Thousands of dollars",821164,983671,1059210,1170445,1398872,1489846,1495194,1572848,1628693,1672145,1615756,1591716,1382216,1324330,1384314,1418143,1479822,1559210,1710798,1824694,1978707,2042776,2198897,2323517,2507965,2744555
 "33000","New Hampshire",1,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",4637457,4913072,5005590,5618749,5324082,4838413,4797731,5028553,5166201,5363806,5582350,5555572,5049129,5116585,5317182,5229269,5302895,5434519,5591596,5761831,6047901,6309794,6447065,6422348,6745436,7168719
 "33000","New Hampshire",1,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",3580609,3835050,3908483,4456590,4184213,3758727,3725097,3973220,4118993,4296142,4505510,4472118,4076531,4131634,4296814,4172155,4201501,4279946,4379141,4504854,4727479,4956725,5075017,5068084,5323574,5622159
 "33000","New Hampshire",1,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",106555,128561,141167,166247,133244,134739,127723,130494,139986,136220,123992,113320,89158,83075,80560,78451,87428,96130,98869,104722,107923,102753,108591,107342,116855,125943
 "33000","New Hampshire",1,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",94552,103962,110273,124004,128462,130212,135668,147075,157027,158320,159258,146094,120781,123157,129754,128047,118707,117527,128000,140274,151387,150179,154445,153190,158142,166048
 "33000","New Hampshire",1,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",163592,170487,176678,174138,149247,139926,150493,157530,176369,176813,179255,187811,168348,165238,178886,177342,160161,157403,165186,170157,170713,185990,185321,176079,172405,187413
 "33000","New Hampshire",1,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",536028,575305,599798,673367,618986,553507,546746,579699,612856,628837,659718,695074,659173,674108,715105,758891,795134,806574,792075,818272,844292,871986,870849,897982,937066,1003656
 "33000","New Hampshire",1,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",424932,447817,461808,536615,495621,459500,443431,465979,500179,592328,634123,657411,606445,664999,642155,624975,648227,657272,596930,593954,630047,664018,676475,654039,727638,765669
 "33000","New Hampshire",1,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",1521171,1611756,1609735,1883551,1813771,1550593,1529803,1661079,1672791,1731449,1809998,1785096,1618832,1618725,1672113,1569493,1547962,1564711,1644110,1690415,1790279,1935205,1983892,2060621,2038761,2235116
 "33000","New Hampshire",1,SAGDP4N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",268977,300235,301369,368783,352441,298715,278373,297028,302739,333062,381405,361323,319526,309866,309322,323765,326388,334581,368954,385230,391663,391609,403011,379261,383639,400231
 "33000","New Hampshire",1,SAGDP4N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",106297,114843,116552,111917,(D),(D),(D),(D),52230,33426,28558,23772,25512,23050,24506,(D),(D),(D),(D),63898,67232,72387,71790,61855,65920,78738
 "33000","New Hampshire",1,SAGDP4N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",53675,55696,56633,63110,(D),(D),(D),(D),101027,108581,117674,124715,125695,116679,122405,(D),(D),(D),(D),129048,139139,152306,162561,124204,124235,129960
 "33000","New Hampshire",1,SAGDP4N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",49881,56191,60385,68820,55523,54439,55369,55990,55544,57423,59899,55649,44015,42315,44231,45978,47908,52286,54279,55337,59747,56915,54837,54308,55688,59355
 "33000","New Hampshire",1,SAGDP4N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",254948,270199,274085,286036,271196,290235,312028,322660,348245,339683,351630,321855,299046,310422,377777,311314,306750,314668,341870,353546,375056,373377,403244,399203,543224,470029
 "33000","New Hampshire",1,SAGDP4N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",1056848,1078021,1097108,1162159,1139869,1079685,1072634,1055333,1047208,1067664,1076841,1083454,972598,984951,1020369,1057113,1101393,1154572,1212454,1256976,1320423,1353069,1372048,1354264,1421861,1546560
 "33000","New Hampshire",1,SAGDP4N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",120779,132056,139537,154206,156949,158023,171338,158124,158798,167993,178740,197368,182411,185728,191151,198123,210046,227282,249064,259215,263362,270617,278118,298358,323675,352526
 "33000","New Hampshire",1,SAGDP4N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",127292,113792,102133,104050,108967,101022,87729,90007,86868,87529,95768,102386,88376,99549,109536,123436,137607,143752,149123,147206,160544,162467,158337,144368,144258,154993
 "33000","New Hampshire",1,SAGDP4N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",59974,61015,59768,62044,65219,57417,47293,42897,43172,38948,35954,35527,30053,29107,30055,30163,31480,38633,40060,40266,41471,37309,37728,37575,38452,41751
 "33000","New Hampshire",1,SAGDP4N,29,"322","    Paper manufacturing ","Thousands of dollars",189255,200231,211031,214505,191978,169902,182254,170992,163008,141433,125484,106808,88129,86238,78488,83199,79998,71211,68924,66068,66744,67089,67658,67199,61574,60086
 "33000","New Hampshire",1,SAGDP4N,30,"323","    Printing and related support activities ","Thousands of dollars",201074,198980,195743,194189,188762,182716,174954,174389,173244,166297,168012,164603,144990,125657,130066,131149,128065,140319,140861,149073,148641,159538,149778,134134,144188,141954
 "33000","New Hampshire",1,SAGDP4N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",13004,13447,13282,13546,15265,14077,16990,14362,15826,19115,19073,20494,22294,23985,23931,26403,30471,28021,30441,29329,29915,31082,32138,30204,34149,37396
 "33000","New Hampshire",1,SAGDP4N,32,"325","    Chemical manufacturing ","Thousands of dollars",82718,93787,95668,108139,126246,129737,134930,125667,127786,135115,145826,155522,144806,143702,157343,164375,174953,179515,186189,205061,221146,247989,269008,284161,299591,338617
 "33000","New Hampshire",1,SAGDP4N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",262751,264713,279946,311481,286482,266792,257146,278896,278507,311234,307983,300745,271539,290985,299798,300265,308774,325839,347793,360758,388598,376977,379283,358265,375973,419237
