GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "40000","Oklahoma",6,SAGDP4N,1,"...","All industry total ","Thousands of dollars",43634693,46522706,48399060,51944882,54861923,55950392,57559634,60681278,64123901,69919837,73543480,77530613,75577702,77865612,82373559,86867338,90045255,94017118,95832934,94127497,97104740,102000101,105832053,104844755,109575481,117556541
 "40000","Oklahoma",6,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",33269237,35821825,37118947,39869295,42019981,42324044,43315180,45738400,48306106,53092439,55536827,58605513,55937307,57343538,61841402,66418862,68960104,72372179,73571786,71552893,74199616,78269573,80869475,79116803,83437299,90589383
 "40000","Oklahoma",6,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",244890,245928,278719,275021,299008,239150,270965,365568,355195,365239,474175,510708,411182,414306,437585,530823,480512,505248,380656,417228,433853,415594,464646,508874,489768,557296
 "40000","Oklahoma",6,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",189512,187318,212194,206227,233855,169584,196401,276350,265496,250289,360663,399430,296700,296523,318096,403920,347544,356432,221491,244273,251018,219559,275342,290615,258122,312969
 "40000","Oklahoma",6,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",55378,58610,66525,68794,65153,69566,74564,89218,89699,114950,113512,111278,114482,117783,119489,126902,132969,148816,159166,172955,182835,196036,189304,218259,231646,244327
 "40000","Oklahoma",6,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1661396,1678117,1604863,1697997,1975022,1827676,2076740,2358357,2800558,4308655,4282416,5044553,4077780,4329913,5614111,6343933,6709457,6996326,6545376,5094500,5885579,6597897,5847887,4011305,3601572,4158914
 "40000","Oklahoma",6,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",1071897,1083466,998056,1020467,1114040,1050848,1182240,1314359,1506873,2528838,2206405,2563038,2243566,2349696,2980916,3506858,3722597,3762490,4044943,3227506,3235807,3331298,2915894,2439903,2174978,2300817
 "40000","Oklahoma",6,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",72031,82871,85036,98006,90397,94272,93873,97574,108871,119746,134770,128804,110196,111096,115410,127011,133340,139351,146001,155884,167135,178903,190768,182308,175750,202510
 "40000","Oklahoma",6,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",517468,511780,521770,579525,770585,682556,800628,946424,1184815,1660071,1941241,2352710,1724018,1869121,2517785,2710064,2853520,3094485,2354432,1711110,2482637,3087696,2741225,1389094,1250843,1655587
 "40000","Oklahoma",6,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",532461,552198,598193,652234,812751,838406,785576,831096,874731,959933,1114195,1142380,1234862,1238549,1285483,1411249,1513369,1821949,1618304,1585110,1460476,1470137,1710689,1423392,1390656,1412085
 "40000","Oklahoma",6,SAGDP4N,11,"23","  Construction ","Thousands of dollars",1723319,1906800,2087629,2292955,2564780,2461985,2500220,2514811,2760184,3070234,3251035,3667168,3414097,3490573,3587085,3906496,4370775,4518000,4761620,4796763,4878131,5258685,5634274,5410907,5572471,5922062
 "40000","Oklahoma",6,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",6404287,6725132,6891568,7340072,7375892,7034621,7029898,7227223,7524142,8017989,8244532,8445880,7546559,7515363,8197488,8966933,9252920,9818348,9749419,9127558,9393698,10077310,10368108,9761624,9852491,10685078
 "40000","Oklahoma",6,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",4354888,4553962,4699924,5040449,5034392,4754519,4705759,4883692,5099915,5547586,5799027,6017426,5172173,5065039,5644005,6375505,6591061,6988429,6900894,6251893,6460184,7008629,7158030,6492701,6503052,7038936
 "40000","Oklahoma",6,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",111573,120366,130626,140400,157735,164372,170130,172206,181825,175656,169821,151646,113964,98332,97953,98102,102263,109407,121010,125685,126045,91627,109678,110387,127852,134332
 "40000","Oklahoma",6,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",310469,341080,354354,380302,376965,374636,390532,413501,429322,448138,458426,464059,406606,396558,388944,403384,419844,442029,478481,478539,490276,487441,500436,520477,538668,544947
 "40000","Oklahoma",6,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",172227,175794,163413,198107,195741,162007,179623,210170,234243,261772,267376,294322,228093,224077,262423,285719,282781,258621,241808,230579,255189,264550,256242,232645,253495,294612
 "40000","Oklahoma",6,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",876095,953932,1037657,1103164,1170265,1112677,985523,1008934,1058902,1187876,1239228,1353483,1173241,1123442,1280933,1510241,1550178,1678414,1635211,1410697,1509924,1669855,1728527,1492957,1474177,1642516
 "40000","Oklahoma",6,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",1031987,1102414,1086307,1213044,1257568,1113849,1173018,1278134,1406177,1576934,1794912,1916469,1656162,1653215,1949814,2275190,2356839,2499092,2370926,1997626,2069370,2191941,2218164,1894191,1834492,2049790
 "40000","Oklahoma",6,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",581433,616634,650244,654020,563807,397920,386729,348532,347353,372452,397615,409190,382015,357166,370347,395220,382367,387588,391549,358820,369036,387103,361330,337941,351734,333581
 "40000","Oklahoma",6,SAGDP4N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",107309,118611,110147,125166,134483,139434,141706,152116,157657,165698,175615,174087,173827,186281,187545,189167,186813,194725,205506,213509,217873,238118,245280,231587,269500,270503
 "40000","Oklahoma",6,SAGDP4N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",570473,565984,611421,646795,600057,724193,714206,680999,623923,600941,499296,466522,337992,314786,317714,344084,347155,392450,(D),(D),(D),(D),(D),(D),(D),(D)
 "40000","Oklahoma",6,SAGDP4N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",340112,292773,273421,289756,292522,252162,268094,314023,326725,402209,452032,453089,414353,433529,498993,575589,657187,713127,(D),(D),(D),(D),1016089,(D),898928,964691
 "40000","Oklahoma",6,SAGDP4N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",104120,108439,114866,107430,104321,100884,96913,103154,108524,111029,100018,102484,64994,58172,71440,81771,83932,90517,100670,100517,103954,103173,(D),109274,(D),(D)
