GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "55000","Wisconsin",3,SAGDP4N,1,"...","All industry total ","Thousands of dollars",91515562,97439201,103293945,109358490,113592820,117056923,121412843,127893198,132172779,137764328,143219055,147123821,142804848,144061148,150130212,155417999,159433395,164794507,171090143,174820842,181013374,189950577,196170920,197113003,209106145,223324126
 "55000","Wisconsin",3,SAGDP4N,2,"..."," Private industries ","Thousands of dollars",76738554,82045627,86957700,92041407,94684075,97117972,100291614,106042585,109651382,114506840,119107744,121968838,116275286,117047038,123003452,127712839,131935985,136463109,142632852,146174185,152144511,160134558,165587818,165701817,176830333,190591400
 "55000","Wisconsin",3,SAGDP4N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",676135,739973,708657,796385,780764,821834,795502,883540,834004,866468,1108234,1180972,1135292,992222,961753,1194114,1214330,1313717,1175087,1381656,1379844,1421148,1447662,(D),1438476,(D)
 "55000","Wisconsin",3,SAGDP4N,4,"111-112","   Farms ","Thousands of dollars",580120,634328,594187,684990,660362,697785,669762,739819,695003,688919,925634,988817,932615,786051,740130,952079,965981,1050842,883085,1069612,1054830,1081222,1089700,925088,1037839,1191728
 "55000","Wisconsin",3,SAGDP4N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",96015,105645,114471,111394,120402,124049,125740,143720,139001,177549,182600,192155,202677,206171,221623,242035,248349,262875,292002,312043,325014,339926,357962,(D),400637,(D)
 "55000","Wisconsin",3,SAGDP4N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",134804,149855,149465,142154,154954,146892,152746,170711,173476,185313,177270,174285,154006,157334,169327,209950,230538,280461,273399,236934,298036,345768,294318,(D),267988,(D)
 "55000","Wisconsin",3,SAGDP4N,7,"211","   Oil and gas extraction ","Thousands of dollars",565,640,(T),639,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0
 "55000","Wisconsin",3,SAGDP4N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",129728,145108,144838,137401,152743,144648,151173,169051,171563,182631,174720,171849,152230,156006,166156,203006,222412,270656,268664,233122,293228,340520,290767,254692,260722,303232
 "55000","Wisconsin",3,SAGDP4N,9,"213","   Support activities for mining ","Thousands of dollars",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3551,(D),7266,(D)
 "55000","Wisconsin",3,SAGDP4N,10,"22","  Utilities ","Thousands of dollars",801309,858991,968265,1063933,1070520,1066722,1043244,1140621,1143979,1202274,1216101,1424231,1452168,1423513,1473397,1420981,1514775,1448484,1474927,1378152,1376152,1386994,1370561,1425438,1361782,1347713
 "55000","Wisconsin",3,SAGDP4N,11,"23","  Construction ","Thousands of dollars",4643201,5077415,5555173,5939752,6217081,6271387,6458273,6770347,7008324,7191887,7550986,7436020,6414670,5984522,5976474,6192975,6720554,7310782,7974843,8300592,8858510,9495398,9991368,10257103,10906175,11871367
 "55000","Wisconsin",3,SAGDP4N,12,"31-33","  Manufacturing ","Thousands of dollars",25378966,26688973,27761789,28708576,27759335,27255715,27500758,28862678,29414960,30309346,30844846,31075984,27657724,28306234,30060962,31281688,31737151,32821017,33625074,33261016,34617432,36094435,37085621,36127196,38263558,40832790
 "55000","Wisconsin",3,SAGDP4N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",16381930,17287480,17963301,18532741,17565099,17111123,17391573,18522527,18967958,19750858,19941597,20060024,17295914,17633676,19015565,19880234,20016178,20597452,21115029,20707036,21598019,22543021,22784712,21611189,23173099,24588663
 "55000","Wisconsin",3,SAGDP4N,14,"321","    Wood product manufacturing ","Thousands of dollars",840445,879967,931034,959074,979427,972960,1007850,1065990,1106816,1096771,1052067,979127,757547,698038,740153,744900,780135,833964,866852,886188,930527,981014,1004558,1016101,1081473,1185454
 "55000","Wisconsin",3,SAGDP4N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",435157,461883,493665,505631,522683,528994,548110,584341,619457,628178,628886,603776,507784,498752,516731,512883,529033,566959,617293,630419,676174,725675,757887,771699,800960,842966
 "55000","Wisconsin",3,SAGDP4N,16,"331","    Primary metal manufacturing ","Thousands of dollars",1085026,1067103,1122902,1128696,1083257,1103469,1087735,1181735,1210055,1230564,1234915,1211700,901668,1028040,1173422,1249881,1186082,1233367,1237008,1167520,1208398,1297708,1246545,1054919,1152097,1246841
 "55000","Wisconsin",3,SAGDP4N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",3140603,3411807,3497966,3649660,3442734,3391320,3447804,3665161,3891524,4086798,4269235,4437710,3753062,3786533,4232644,4525149,4538359,4740162,4835194,4790215,5019366,5397950,5469987,5164105,5486404,5948359
 "55000","Wisconsin",3,SAGDP4N,18,"333","    Machinery manufacturing ","Thousands of dollars",4585087,4733855,4847544,4797655,4409425,4067811,4063891,4340511,4446462,4613431,4740805,4919860,4307536,4428602,4859877,5186161,5139697,5318816,5428426,5245802,5387212,5718049,5739625,5496974,5982748,6427377
 "55000","Wisconsin",3,SAGDP4N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",1401425,1445048,1542769,1662680,1598067,1522235,1542793,1558020,1627697,1680962,1787086,1803633,1664237,1685263,1788712,1774479,1752047,1720750,1783505,1748488,1787816,1848782,1950879,1846602,1837395,1818491
 "55000","Wisconsin",3,SAGDP4N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1642692,1697442,1714314,1782797,1657634,1569787,1592407,1678392,1743100,2021273,1882090,1856388,1725128,1889054,2023263,2081674,2217074,2260481,2297089,2249310,2425189,2450077,2500596,2404451,2718364,2662241
 "55000","Wisconsin",3,SAGDP4N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",1416399,1667432,1793505,1806549,1559124,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1299684,(D),(D),(D),1405308,1283335,1401493,1532519
 "55000","Wisconsin",3,SAGDP4N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",475978,521114,600678,744325,797639,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),893819,(D),(D),(D),650796,620007,677453,729919
 "55000","Wisconsin",3,SAGDP4N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",560576,605426,643029,696110,700329,724997,736679,774908,768467,782814,848318,849628,757651,749623,778527,772767,791969,821548,873902,871356,884097,903202,878504,833198,859047,894460
 "55000","Wisconsin",3,SAGDP4N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",798542,796402,775896,799564,814780,832702,849105,918178,946616,934670,925021,939646,898218,893076,923592,938893,914789,936886,982257,1003447,1070004,1144888,1180026,1119799,1175664,1300037
 "55000","Wisconsin",3,SAGDP4N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",8997036,9401493,9798489,10175834,10194237,10144591,10109185,10340151,10447002,10558488,10903249,11015961,10361810,10672558,11045396,11401454,11720973,12223565,12510045,12553980,13019413,13551414,14300908,14516007,15090458,16244127
 "55000","Wisconsin",3,SAGDP4N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",2329051,2450561,2557586,2660222,2847827,2862441,2871301,3007513,3001148,2982901,3112281,3206746,3309997,3387896,3436501,3634046,3833681,4056010,4198369,4239066,4450889,4712508,5156080,5497094,5793349,6397858
 "55000","Wisconsin",3,SAGDP4N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",158582,157440,151507,161993,150714,154224,161689,176871,179690,182848,171196,168960,145193,157484,162126,162107,156098,160831,158767,160856,168569,175757,177438,167048,174682,182906
 "55000","Wisconsin",3,SAGDP4N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",269495,259136,248658,225492,198049,145088,143512,110769,106730,105713,99388,94008,81787,81280,84862,91637,103685,104403,103511,102644,106191,106389,97825,84144,89088,101771
 "55000","Wisconsin",3,SAGDP4N,29,"322","    Paper manufacturing ","Thousands of dollars",2799221,2814129,2865661,2938434,2763891,2756990,2654993,2589460,2567005,2477952,2547325,2553342,2301605,2350259,2394492,2387430,2409024,2449711,2460853,2467858,2462003,2492817,2552182,2488049,2508142,2561276
 "55000","Wisconsin",3,SAGDP4N,30,"323","    Printing and related support activities ","Thousands of dollars",1398130,1495236,1566757,1657336,1664092,1595312,1597359,1648570,1676435,1710590,1773129,1755948,1557585,1552588,1630537,1671709,1668514,1693092,1742136,1766795,1795748,1811603,1909585,1674755,1697043,1794147
 "55000","Wisconsin",3,SAGDP4N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",27544,28881,30960,33097,36374,34239,37656,30286,31440,38297,39216,44620,44034,48878,56481,51187,54917,59478,54899,55454,53670,64121,62310,68064,70913,82593
 "55000","Wisconsin",3,SAGDP4N,32,"325","    Chemical manufacturing ","Thousands of dollars",825981,888401,928870,973364,1027244,1069658,1117665,1202559,1250842,1386430,1451165,1472126,1413875,1489913,1595159,1631292,1668126,1770445,1773028,1774587,1869536,1963391,2046470,2238610,2331970,2473131
 "55000","Wisconsin",3,SAGDP4N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",1189034,1307708,1448490,1525896,1506046,1526639,1525010,1574122,1633713,1673758,1709549,1720212,1507734,1604261,1685239,1772046,1826929,1929595,2018480,1986719,2112807,2224828,2299017,2298244,2425270,2650445
 "55000","Wisconsin",3,SAGDP4N,34,"42","  Wholesale trade ","Thousands of dollars",4860738,5256258,5488608,5779144,5884267,6063392,6124337,6509198,6975300,7405107,7632261,7889617,7415448,7423840,7907359,8275680,8562620,8883747,9269847,9491926,10069793,10742625,10622058,10838655,11708281,12985655
 "55000","Wisconsin",3,SAGDP4N,35,"44-45","  Retail trade ","Thousands of dollars",6639808,7050678,7499135,8103332,7875584,8258333,8470492,8650141,8770031,8908895,9053661,9062620,8776770,8685287,8992457,9022656,9332612,9564405,10013681,10200171,10489034,10871762,11139307,11388721,12270911,13071017
 "55000","Wisconsin",3,SAGDP4N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",3114063,3359287,3633451,3828332,4004548,4047655,4211244,4416871,4647357,4767433,4975577,4808179,4573098,4505850,4771967,4962268,5027792,5216684,5492158,5616450,5844895,6211564,6541609,6595581,7309913,8021857
 "55000","Wisconsin",3,SAGDP4N,37,"481","   Air transportation ","Thousands of dollars",172212,191942,229442,259434,268929,269086,261790,254078,261199,252589,288618,300956,198090,141315,157845,147834,115228,106813,111239,118492,124215,148460,165062,134761,140367,162469
 "55000","Wisconsin",3,SAGDP4N,38,"482","   Rail transportation ","Thousands of dollars",269038,269541,288767,284652,283109,282879,284481,283814,298623,305824,317997,316940,(D),(D),(D),(D),(D),(D),(D),(D),385092,424632,436284,369746,361378,373623
 "55000","Wisconsin",3,SAGDP4N,39,"483","   Water transportation ","Thousands of dollars",(T),(T),(T),(T),(D),(D),(D),4251,4880,(D),(D),(D),5857,5770,5828,5849,6578,6068,6426,7124,7156,7419,8526,(D),(D),8725
 "55000","Wisconsin",3,SAGDP4N,40,"484","   Truck transportation ","Thousands of dollars",1674638,1804416,1972634,2033867,2107625,2137423,2226827,2351097,2509281,2592019,2618397,2418265,2245924,2211884,2372337,2444381,2540355,2620918,2752780,2780146,2854300,3051944,3207593,3253051,3441750,3616640
 "55000","Wisconsin",3,SAGDP4N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",222516,252928,304659,327474,355135,359305,374788,386726,393180,403305,415524,424761,434973,437704,451878,464610,481098,498879,524808,514562,528269,544564,566752,432521,486139,535736
 "55000","Wisconsin",3,SAGDP4N,42,"486","   Pipeline transportation ","Thousands of dollars",15548,18726,15020,16282,16817,14186,17005,18055,19514,22297,25017,31800,37691,39341,43401,49341,(D),(D),(D),(D),42251,37266,44147,46448,47594,50133
 "55000","Wisconsin",3,SAGDP4N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",460634,500864,517522,551323,(D),(D),(D),631470,651570,(D),(D),(D),(D),(D),(D),(D),(D),(D),788054,813233,865552,953620,1012410,(D),(D),1385991
 "55000","Wisconsin",3,SAGDP4N,44,"493","   Warehousing and storage ","Thousands of dollars",295411,316626,300979,350801,406511,439933,474070,487380,509109,536202,613104,619549,656895,678723,682224,760175,747567,756308,838223,963517,1038060,1043659,1100835,1267928,1560537,1888540
 "55000","Wisconsin",3,SAGDP4N,45,"51","  Information ","Thousands of dollars",1795608,2150469,2292613,2441512,2592907,2557094,2653619,2862507,2943840,3008450,3249702,3304931,3341885,3225396,3423164,3520442,3696078,4020355,4301022,4294768,4321949,4503504,4882248,4874173,5341766,5431117
 "55000","Wisconsin",3,SAGDP4N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",695791,759890,751939,776473,808211,776226,830481,982915,1043059,1087329,1186767,1262260,1249600,1236078,1376148,1497380,1657771,1900881,2070378,2176099,2176210,2253722,2445846,2528626,2850341,(D)
 "55000","Wisconsin",3,SAGDP4N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",77226,84258,94738,94226,99543,96605,102452,104782,107911,103874,116054,123322,127124,112154,111390,108997,105526,108585,114003,97024,98607,106754,113693,74675,89049,101336
 "55000","Wisconsin",3,SAGDP4N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",800484,883065,965435,1007313,1091279,1104742,1124192,1168563,1180038,1183963,1303540,1282945,1298944,1202681,1210406,1190421,1190174,1209200,1210992,1180523,1190677,1191665,1195903,1164039,1202334,(D)
