GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "04000","Arizona",6,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-338779,-383009,-424998,-433826,-563045,-443654,-611549,-543656,-694179,-625252,-603131,-606744,-776527,-694589,-764912,-709817,-718428,-710394,-671561,-682618,-736968,-789989,-827888,-13582965,-8633472,-1715470
 "04000","Arizona",6,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-252941,-308575,-349660,-345319,-467640,-330793,-485929,-403928,-552138,-484085,-434953,-442334,-549387,-464138,-537058,-506806,-514101,-498744,-459827,-471729,-492841,-506347,-550899,-13090217,-8183304,-1164299
 "04000","Arizona",6,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-39502,-67011,-93173,-92134,-89922,-61367,-116182,-71152,-108327,-93187,-82678,-76036,-94921,-59558,-49223,-41359,-38437,-57200,-37034,-27861,-30434,-53432,-81621,-334841,-131666,-57939
 "04000","Arizona",6,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-39502,-67011,-93173,-92134,-89922,-61367,-116182,-71152,-108327,-93187,-82678,-76036,-94921,-59558,-49223,-41359,-38437,-57200,-37034,-27861,-30434,-53432,-81621,-302563,-121975,-57908
 "04000","Arizona",6,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32278,-9691,-32
 "04000","Arizona",6,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33809,-14161,-193
 "04000","Arizona",6,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-202,-276,0
 "04000","Arizona",6,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18234,-5793,-170
 "04000","Arizona",6,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15373,-8093,-22
 "04000","Arizona",6,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21104,-12255,0
 "04000","Arizona",6,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1703514,-655954,-1926
 "04000","Arizona",6,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-52,-31,-726,-2345,-5914,-7314,-4710,-1819,-1699,-1915,-1795,-2775,-3030,-4063,-791660,-502533,-5447
 "04000","Arizona",6,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-694,-2195,-5705,-6652,-4414,-1691,-1469,-1644,-1558,-2572,-2826,-3840,-596487,-357244,-5137
 "04000","Arizona",6,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27065,-10053,-8
 "04000","Arizona",6,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55804,-6965,0
