GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "92000","Mideast",2,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-8057424,-7239095,-7474312,-7375305,-7946247,-8350527,-9156694,-9189051,-10288825,-9705559,-9120577,-9535563,-11223657,-11120368,-12403103,-11834542,-11844822,-11722558,-11736668,-12464774,-12222296,-12776471,-12948119,-108982219,-78927450,-26447139
 "92000","Mideast",2,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-3045159,-3110727,-3411005,-3492270,-3894643,-3658924,-4270994,-4129002,-5082904,-4421402,-3904385,-4096614,-5181736,-5101058,-5823935,-5468678,-5380160,-5017820,-4794790,-4986217,-5163083,-5070998,-5177207,-95199426,-66264646,-10847666
 "92000","Mideast",2,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-88152,-137033,-271566,-395542,-308425,-308405,-380395,-215401,-364140,-315910,-189097,-215953,-337409,-210437,-178223,-252917,-192337,-101015,-151359,-210777,-225365,-217149,-435663,-1686261,-747933,-266886
 "92000","Mideast",2,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-88152,-137033,-271566,-395542,-308425,-308405,-380395,-215401,-364140,-315910,-189097,-215953,-337409,-210437,-178223,-252917,-192337,-101015,-151359,-210777,-225365,-217149,-435663,-1585931,-703953,-266799
 "92000","Mideast",2,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100329,-43980,-87
 "92000","Mideast",2,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-187539,-97247,-602
 "92000","Mideast",2,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7719,-25503,-71
 "92000","Mideast",2,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109990,-30131,-137
 "92000","Mideast",2,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69830,-41612,-394
 "92000","Mideast",2,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175037,-104833,0
 "92000","Mideast",2,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9498653,-4944109,-10633
 "92000","Mideast",2,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-1038,-506,-14428,-39150,-113266,-146112,-107225,-50538,-51917,-35679,-33525,-33979,-31591,-35889,-6857564,-3804788,-48587
 "92000","Mideast",2,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-13908,-34832,-105199,-123441,-91451,-41918,-32374,-30478,-28469,-29298,-27039,-31959,-4059415,-2310668,-41984
 "92000","Mideast",2,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-185532,-115560,-64
 "92000","Mideast",2,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-225026,-108614,0
 "92000","Mideast",2,SAGDP5N,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200823,-123709,0
 "92000","Mideast",2,SAGDP5N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1039750,-610558,-409
 "92000","Mideast",2,SAGDP5N,18,"333","    Machinery manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-627694,-242879,-170
 "92000","Mideast",2,SAGDP5N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-636891,-215623,-96
 "92000","Mideast",2,SAGDP5N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-13908,-34832,-105199,-123441,-91451,-41918,-32374,-30478,-28469,-29298,-27039,-31959,-260620,-146976,-40852
 "92000","Mideast",2,SAGDP5N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52321,-85389,-25
 "92000","Mideast",2,SAGDP5N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-95260,-89409,0
 "92000","Mideast",2,SAGDP5N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-201987,-163283,-102
 "92000","Mideast",2,SAGDP5N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-533511,-408669,-266
 "92000","Mideast",2,SAGDP5N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-1038,-506,-520,-4318,-8066,-22671,-15773,-8620,-19543,-5201,-5056,-4681,-4552,-3930,-2798149,-1494119,-6602
 "92000","Mideast",2,SAGDP5N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-849433,-477423,-102
 "92000","Mideast",2,SAGDP5N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-1038,-506,-520,-628,-527,-489,-491,-492,-527,-2759,-2680,-2453,-2542,-2425,-186712,-63342,-1633
 "92000","Mideast",2,SAGDP5N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-278160,-177122,-158
 "92000","Mideast",2,SAGDP5N,29,"322","    Paper manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-264446,-78295,0
 "92000","Mideast",2,SAGDP5N,30,"323","    Printing and related support activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-403551,-307948,-168
 "92000","Mideast",2,SAGDP5N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,-787,-4496,-1472,-9551,-1580,-11703,0,0,0,0,0,-50800,-24996,0
 "92000","Mideast",2,SAGDP5N,32,"325","    Chemical manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,-2903,-3043,-20711,-5731,-6548,-7313,-2442,-2376,-2227,-2011,-1505,-499360,-216175,-4404
 "92000","Mideast",2,SAGDP5N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-265687,-148820,-138
 "92000","Mideast",2,SAGDP5N,34,"42","  Wholesale trade ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4573461,-1755132,-1866
 "92000","Mideast",2,SAGDP5N,35,"44-45","  Retail trade ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,-457637,-49181,-470,0,0,0,0,0,0,0,0,-6433137,-3313559,-12738
 "92000","Mideast",2,SAGDP5N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",-619236,-474100,-559510,-595375,-1178476,-879250,-1064163,-944568,-940392,-849436,-744969,-822302,-1024000,-1209083,-1040290,-799755,-755256,-729887,-767174,-821251,-964639,-1083814,-951244,-6507593,-6970062,-1405382
 "92000","Mideast",2,SAGDP5N,37,"481","   Air transportation ","Thousands of dollars",-2421,121,0,-121,-608708,-19370,-304475,-2058,-7385,-11259,-11380,-17070,-20702,-24818,-28571,-31355,-28329,-26513,-29055,-40164,-38608,-36755,-45704,-2675242,-3161358,-111863
 "92000","Mideast",2,SAGDP5N,38,"482","   Rail transportation ","Thousands of dollars",-588366,-463388,-555144,-586158,-542854,-803644,-714546,-822139,-862979,-752688,-675925,-768979,-949852,-1159976,-985229,-714319,-712970,-697094,-734493,-767823,-921997,-1045022,-904214,-1599251,-2031542,-1284595
 "92000","Mideast",2,SAGDP5N,39,"483","   Water transportation ","Thousands of dollars",-28449,-10832,-4365,-9097,-26914,-56237,-44774,-117968,-67825,-79677,-56223,-34709,-52782,-24289,-26490,-54081,-13957,-6280,-3625,-13264,-4034,-2037,-1326,-35963,-53581,-701
 "92000","Mideast",2,SAGDP5N,40,"484","   Truck transportation ","Thousands of dollars",0,0,0,0,0,0,-368,-2403,-2203,-5811,-1440,-1544,-665,0,0,0,0,0,0,0,0,0,0,-1030680,-402258,-2647
 "92000","Mideast",2,SAGDP5N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-381724,-942999,-3754
 "92000","Mideast",2,SAGDP5N,42,"486","   Pipeline transportation ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11098,-1172,0
 "92000","Mideast",2,SAGDP5N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-619762,-282050,-1654
 "92000","Mideast",2,SAGDP5N,44,"493","   Warehousing and storage ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-153871,-95102,-168
 "92000","Mideast",2,SAGDP5N,45,"51","  Information ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,-8697,-25482,-114194,-175681,-91492,-20967,-21200,1125,-2330,-1088,-1321,-1761626,-1426615,-174761
 "92000","Mideast",2,SAGDP5N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-700070,-336441,-656
 "92000","Mideast",2,SAGDP5N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-247476,-786933,-173112
 "92000","Mideast",2,SAGDP5N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,-8697,-25482,-114194,-175681,-91492,-20967,-21200,1125,-2330,-1088,-1321,-227994,-141773,-662
 "92000","Mideast",2,SAGDP5N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-586086,-161467,-331
 "92000","Mideast",2,SAGDP5N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",-2337771,-2499595,-2579930,-2501352,-2407741,-2471269,-2826435,-2969033,-3778372,-3255018,-2969812,-3043932,-3314843,-3380609,-3437335,-3612551,-3621622,-3485256,-3451930,-3704997,-3862725,-3734993,-3750730,-9947781,-7156884,-4469873
 "92000","Mideast",2,SAGDP5N,51,"52","   Finance and insurance ","Thousands of dollars",-9854,-12055,-19175,-20140,-24492,-28097,-11069,-7112,-10865,-8086,-7735,-14135,-39145,-130341,-106713,-147413,-128399,-141811,-93390,-96423,-84469,-73406,-66008,-2239733,-704593,-104390
 "92000","Mideast",2,SAGDP5N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Thousands of dollars",-9854,-12055,-19175,-20140,-24492,-28097,-11069,-7112,-10865,-8086,-7735,-14135,-39145,-130341,-106713,-147413,-128399,-141811,-93390,-96423,-84469,-73406,-66008,-506862,-351236,-100690
 "92000","Mideast",2,SAGDP5N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-757740,-137013,-1623
 "92000","Mideast",2,SAGDP5N,54,"524","    Insurance carriers and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-889432,-196567,-2077
