GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "26000","Michigan",3,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-752775,-773911,-968857,-931916,-1066540,-843538,-1065753,-1036887,-1330811,-1114352,-952163,-994149,-1182601,-1132629,-1328379,-1268422,-1272107,-1105277,-1168108,-1218960,-1148160,-1173852,-1334404,-16018049,-11866111,-2261283
 "26000","Michigan",3,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-577357,-627394,-810390,-774808,-889110,-623956,-799754,-720660,-991692,-762997,-615295,-642467,-786810,-771423,-898571,-844685,-820247,-706792,-757450,-790726,-735823,-759767,-915914,-15340530,-11105044,-1351123
 "26000","Michigan",3,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-102869,-179146,-346648,-327710,-314427,-165145,-219142,-183740,-332341,-211569,-125123,-140577,-152810,-156657,-132594,-144445,-115384,-50252,-159276,-171926,-175936,-211477,-361809,-966582,-438210,-148057
 "26000","Michigan",3,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-102869,-179146,-346648,-327710,-314427,-165145,-219142,-183740,-332341,-211569,-125123,-140577,-152810,-156657,-132594,-144445,-115384,-50252,-159276,-171926,-175936,-211477,-361809,-928856,-424397,-148028
 "26000","Michigan",3,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37726,-13814,-29
 "26000","Michigan",3,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24548,-20344,-75
 "26000","Michigan",3,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3665,-7629,-1
 "26000","Michigan",3,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6863,-3853,-39
 "26000","Michigan",3,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14019,-8862,-35
 "26000","Michigan",3,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43936,-6317,0
 "26000","Michigan",3,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1490317,-969604,-1637
 "26000","Michigan",3,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-97,-44,-3677,-10415,-38449,-46649,-33200,-15808,-13336,-11651,-11433,-10915,-9763,-11728,-2643951,-1493942,-14598
 "26000","Michigan",3,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-3628,-10032,-37612,-44234,-30661,-14472,-10826,-10939,-10690,-10287,-9070,-11184,-2052142,-1164570,-13672
 "26000","Michigan",3,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76828,-30097,-27
 "26000","Michigan",3,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81960,-29867,0
 "26000","Michigan",3,SAGDP5N,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68877,-41576,0
