GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "30000","Montana",7,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-259535,-367403,-487335,-485024,-506137,-320833,-406406,-341918,-456180,-355071,-348679,-400282,-409242,-426914,-437064,-382500,-425629,-343274,-294362,-389667,-513295,-501568,-492131,-2590821,-1847723,-976967
 "30000","Montana",7,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-225109,-339077,-458514,-454044,-463227,-260804,-347190,-282308,-379959,-282218,-272202,-293379,-276825,-337641,-327492,-266240,-273985,-203285,-174499,-269483,-393538,-373266,-367760,-2438339,-1659068,-707616
 "30000","Montana",7,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-195797,-306776,-424901,-421500,-424273,-227117,-305063,-241073,-327293,-235224,-230219,-248793,-218063,-277599,-252922,-197055,-202827,-131835,-111718,-206856,-328543,-310422,-303984,-762962,-616656,-552645
 "30000","Montana",7,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-195797,-306776,-424901,-421500,-424273,-227117,-305063,-241073,-327293,-235224,-230219,-248793,-218063,-277599,-252922,-197055,-202827,-131835,-111718,-206856,-328543,-310422,-303984,-753628,-609778,-552629
 "30000","Montana",7,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9333,-6877,-16
 "30000","Montana",7,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19315,-17637,-78
 "30000","Montana",7,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3000,-5090,-4
 "30000","Montana",7,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7263,-3935,-45
 "30000","Montana",7,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9052,-8612,-29
 "30000","Montana",7,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9552,-1816,0
 "30000","Montana",7,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-289435,-118132,-292
 "30000","Montana",7,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-3,-2,-32,-178,-1034,-721,-2275,-372,-1400,-64,-66,-61,-65,-72,-112871,-48369,-126
 "30000","Montana",7,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-30,-79,-206,-216,-148,-52,-41,-46,-48,-46,-47,-55,-78734,-37932,-99
 "30000","Montana",7,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10711,-6337,-6
 "30000","Montana",7,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1508,-423,0
