GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "91000","New England",1,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-1657219,-1540386,-1605975,-1590286,-1730330,-1847750,-2081696,-2136085,-2403615,-2266360,-2176635,-2225699,-2719886,-2730375,-2697517,-2905226,-2894483,-2861189,-2820408,-2945664,-2769457,-2861380,-2940232,-30877823,-21584287,-6560060
 "91000","New England",1,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-835175,-792304,-853064,-868304,-966173,-936187,-1097863,-1092369,-1353551,-1211433,-1110494,-1161980,-1510170,-1527216,-1767149,-1573230,-1563982,-1450732,-1361607,-1385066,-1384810,-1366357,-1371781,-28102490,-18763024,-3129597
 "91000","New England",1,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-9223,-14590,-41091,-64505,-32506,-56731,-60755,-41508,-69350,-57303,-54846,-58852,-92922,-111938,-70657,-73058,-52863,-38090,-36734,-45682,-39516,-56595,-64121,-482430,-233541,-80631
 "91000","New England",1,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-9223,-14590,-41091,-64505,-32506,-56731,-60755,-41508,-69350,-57303,-54846,-58852,-92922,-111938,-70657,-73058,-52863,-38090,-36734,-45682,-39516,-56595,-64121,-373047,-166435,-80562
 "91000","New England",1,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-109383,-67106,-69
 "91000","New England",1,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19378,-15149,-22
 "91000","New England",1,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "91000","New England",1,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16027,-11966,-18
 "91000","New England",1,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3352,-3182,-4
 "91000","New England",1,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54445,-35057,0
