GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "32000","Nevada",8,SAGDP5N,1,"...","All industry total ","Thousands of dollars",-151946,-156775,-168085,-168449,-310975,-220674,-302626,-252592,-302881,-262339,-267014,-282616,-325728,-280610,-318045,-286812,-296008,-343844,-337054,-337558,-324424,-352163,-386634,-6486142,-5613241,-888538
 "32000","Nevada",8,SAGDP5N,2,"..."," Private industries ","Thousands of dollars",-96769,-107494,-115007,-114997,-245525,-133727,-212744,-160596,-218810,-195605,-185093,-188398,-220625,-194403,-220324,-208641,-215573,-233637,-222975,-220902,-218335,-227278,-237972,-6232882,-5337131,-554263
 "32000","Nevada",8,SAGDP5N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-1809,-2275,-2311,-3368,-5225,-9785,-10229,-5573,-10052,-7364,-9188,-11195,-9501,-8274,-8776,-10605,-7734,-35818,-31155,-19152,-8142,-13355,-14406,-88303,-46016,-34921
 "32000","Nevada",8,SAGDP5N,4,"111-112","   Farms ","Thousands of dollars",-1809,-2275,-2311,-3368,-5225,-9785,-10229,-5573,-10052,-7364,-9188,-11195,-9501,-8274,-8776,-10605,-7734,-35818,-31155,-19152,-8142,-13355,-14406,-84205,-44891,-34918
 "32000","Nevada",8,SAGDP5N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4098,-1125,-4
 "32000","Nevada",8,SAGDP5N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16346,-5375,-165
 "32000","Nevada",8,SAGDP5N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,-374,0
 "32000","Nevada",8,SAGDP5N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14378,-3008,-107
 "32000","Nevada",8,SAGDP5N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1909,-1993,-58
 "32000","Nevada",8,SAGDP5N,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2605,-3783,0
 "32000","Nevada",8,SAGDP5N,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-954082,-401445,-1248
 "32000","Nevada",8,SAGDP5N,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-18,-11,-175,-441,-988,-1757,-1043,-1269,-1033,-989,-881,-2063,-4107,-5325,-296881,-223575,-8540
 "32000","Nevada",8,SAGDP5N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-162,-402,-900,-1609,-870,-1195,-870,-946,-772,-1960,-4015,-5232,-199143,-133518,-8439
 "32000","Nevada",8,SAGDP5N,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6520,-6473,-3
 "32000","Nevada",8,SAGDP5N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24192,-2051,0
 "32000","Nevada",8,SAGDP5N,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-628,-1030,0
 "32000","Nevada",8,SAGDP5N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-47968,-32490,-22
 "32000","Nevada",8,SAGDP5N,18,"333","    Machinery manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16147,-12380,-3
 "32000","Nevada",8,SAGDP5N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19205,-7207,-2
 "32000","Nevada",8,SAGDP5N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-162,-402,-900,-1609,-870,-1195,-870,-946,-772,-1960,-4015,-5232,-14314,-12197,-8356
 "32000","Nevada",8,SAGDP5N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4371,-8073,-1
 "32000","Nevada",8,SAGDP5N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3319,-5093,0
 "32000","Nevada",8,SAGDP5N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30634,-22398,-5
 "32000","Nevada",8,SAGDP5N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31846,-24128,-47
 "32000","Nevada",8,SAGDP5N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-18,-11,-13,-38,-87,-148,-173,-74,-162,-43,-109,-104,-92,-93,-97738,-90057,-101
 "32000","Nevada",8,SAGDP5N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32527,-24995,-3
