GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "10000","Delaware",2,SAGDP6N,1,"...","All industry total ","Thousands of dollars",1578670,1694004,1800649,1985944,1739787,1857150,2015182,2616370,2729846,2820005,2854076,2713887,2740826,2943850,2925475,3101882,3258375,3575602,3647766,3894511,4045732,4346808,4571371,4611295,4852932,5195027
 "10000","Delaware",2,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",1578670,1694004,1800649,1985944,1739787,1857150,2015182,2616370,2729846,2820005,2854076,2713887,2740826,2943850,2925475,3101882,3258375,3575602,3647766,3894511,4045732,4346808,4571371,4611295,4852932,5195027
 "10000","Delaware",2,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",8512,8259,8776,9100,7445,8880,7878,7972,7503,7974,8710,8172,7981,8162,8266,8961,9449,12698,13072,13059,14048,14627,14030,13277,13032,14012
 "10000","Delaware",2,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",7962,7615,8208,8466,7040,8519,7445,7435,7096,7487,8192,7513,7262,7355,7571,8046,8522,11560,12097,12104,13060,13475,12856,12120,11758,12448
 "10000","Delaware",2,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",550,644,568,634,404,361,433,537,407,487,518,659,719,807,694,915,927,1138,976,955,988,1152,1173,1157,1274,1564
 "10000","Delaware",2,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1201,1200,1232,1183,621,764,671,856,328,298,77,101,109,266,25,71,586,670,676,609,755,922,1051,1077,1520,1757
 "10000","Delaware",2,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",516,470,484,505,79,76,101,201,207,199,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0
 "10000","Delaware",2,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",553,599,617,547,535,676,562,646,111,91,69,92,109,36,25,71,581,670,676,609,710,856,924,1077,1520,1757
 "10000","Delaware",2,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",132,131,131,132,7,11,7,9,10,8,8,10,0,0,0,0,5,0,0,0,45,66,127,0,0,0
 "10000","Delaware",2,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",105908,111722,105687,119387,93813,117721,117346,121369,122530,134134,125820,108125,119840,125557,111278,113038,116034,169455,194560,202594,208583,229794,255601,334745,328263,337263
 "10000","Delaware",2,SAGDP6N,11,"23","  Construction ","Thousands of dollars",15320,17132,17584,18588,16433,18110,18935,22704,19683,19501,18733,14548,14304,15831,15567,14455,15272,20442,21387,22964,23313,24106,25436,27328,29504,30993
 "10000","Delaware",2,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",129345,139719,141078,159229,125811,147320,159634,184200,165292,172177,187094,150978,159451,160086,146271,148251,149034,158306,169373,182176,205967,217462,226601,238050,246528,267645
 "10000","Delaware",2,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",46076,53283,61187,66348,50687,65333,66535,71992,66795,71733,74886,58095,59290,58528,48477,45154,45002,45952,50854,51178,54925,61371,64599,70107,74770,79938
 "10000","Delaware",2,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",790,801,811,765,297,375,507,463,408,383,418,426,522,557,499,442,449,624,663,836,933,835,806,1094,1035,1029
 "10000","Delaware",2,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",1432,1741,1590,1178,948,1290,1221,1581,1457,1932,1815,1467,1469,1773,1636,1318,1096,1529,1731,2053,2200,2529,2563,2938,3026,3199
 "10000","Delaware",2,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",2607,2618,2839,2350,2169,2984,2690,2594,2172,2522,3522,3603,4206,3919,4025,3520,3025,1393,1666,2037,2026,1975,1949,2725,2380,2340
 "10000","Delaware",2,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",2997,3155,3715,5406,4406,5971,6900,7452,5978,5749,5687,3988,5302,5558,4340,4277,4139,4041,4012,4034,4094,4720,4467,5019,5874,5257
 "10000","Delaware",2,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",2540,3199,2815,2983,1902,1980,1517,1662,1454,1281,2147,1504,1633,1938,1723,1660,1452,1809,1952,2007,2128,2162,2292,3598,3511,3820
 "10000","Delaware",2,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",13843,15273,15668,19872,16515,24793,25245,27547,27494,27537,25746,23500,24341,30793,25063,23145,23003,24815,27577,29693,32975,37387,38983,39594,43046,47730
 "10000","Delaware",2,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1972,2031,3636,3697,3732,3792,3835,3819,4591,5202,4607,3384,2968,3177,2799,2618,2490,2858,3262,2208,2446,2724,2979,3783,3263,3890
 "10000","Delaware",2,SAGDP6N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",15443,19222,24519,23732,14813,17208,18003,19541,15368,18126,20409,12240,10853,2847,2320,1819,1777,1301,1025,1096,1185,1184,1225,895,1065,1104
 "10000","Delaware",2,SAGDP6N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",529,534,577,484,816,1191,1143,1364,1762,2711,3717,2872,2994,2758,1881,1804,3076,3130,2336,2613,2343,4269,4817,5426,6015,6325
 "10000","Delaware",2,SAGDP6N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",833,980,1056,1141,764,754,759,782,777,849,642,540,604,651,605,622,605,730,754,755,770,704,708,874,891,933
 "10000","Delaware",2,SAGDP6N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",3090,3729,3960,4738,4326,4995,4716,5186,5335,5442,6176,4570,4398,4558,3586,3928,3889,3722,5875,3846,3826,2882,3809,4161,4663,4309
 "10000","Delaware",2,SAGDP6N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",83270,86436,79890,92881,75124,81987,93099,112208,98496,100444,112208,92884,100161,101558,97794,103097,104032,112354,118519,130998,151043,156091,162002,167942,171759,187707
 "10000","Delaware",2,SAGDP6N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",26349,26808,20029,19420,18932,22600,23763,29668,28849,29526,29057,26233,30477,34416,34528,38848,38647,39370,34298,36997,38641,38710,39009,39192,40892,44597
 "10000","Delaware",2,SAGDP6N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",1613,1786,1806,1829,1223,1182,2181,1450,1677,2170,2842,2500,3153,2392,2004,1855,1627,1900,1763,2020,2136,2289,2337,2768,2873,3222
 "10000","Delaware",2,SAGDP6N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",922,1091,1096,966,741,876,450,427,322,348,315,284,321,321,306,317,301,248,188,192,225,222,184,175,177,188
 "10000","Delaware",2,SAGDP6N,29,"322","    Paper manufacturing ","Thousands of dollars",4984,5092,4247,4634,4112,5617,4890,4078,3062,2939,4098,3257,3416,3109,2636,2288,2098,2347,2538,2712,3165,3387,3562,3846,4114,5095
 "10000","Delaware",2,SAGDP6N,30,"323","    Printing and related support activities ","Thousands of dollars",914,999,1333,2176,926,990,815,1080,1134,967,1021,840,950,967,924,892,844,1120,1144,990,927,1018,911,918,1065,1096
 "10000","Delaware",2,SAGDP6N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",12158,12956,14293,20807,10883,12418,12551,17209,15369,14189,18263,16172,17991,14367,12077,15861,16517,21810,24226,27377,31748,32232,33571,35890,37168,39608
 "10000","Delaware",2,SAGDP6N,32,"325","    Chemical manufacturing ","Thousands of dollars",33639,34608,33128,37750,34007,34086,44490,54940,44553,47200,50565,40440,40292,42534,41770,39476,40476,41481,49968,56593,69617,72801,75772,78651,78759,87420
