GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "17000","Illinois",3,SAGDP6N,1,"...","All industry total ","Thousands of dollars",29452859,30119643,32419068,33893959,34754575,36185259,38054243,40604056,43859706,46400475,47894920,49319106,48391467,47992857,49642957,52348898,54190308,57646232,60735845,61666591,64249195,67304222,68906174,67431958,75310670,81314452
 "17000","Illinois",3,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",29452202,30119004,32418397,33893327,34753951,36184644,38053636,40603389,43859029,46399759,47894149,49318246,48390895,47992276,49641940,52347818,54189128,57644881,60734555,61665376,64247935,67302913,68904859,67430627,75309316,81312938
 "17000","Illinois",3,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",307212,299542,335108,331211,325631,364832,409979,365591,333538,363173,355881,384554,396490,412608,425028,433744,449503,522266,496601,462439,497165,494485,514798,544814,567962,630382
 "17000","Illinois",3,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",298026,290321,326229,321620,315468,354675,399335,353925,321009,348837,341827,368152,381120,398042,408472,416736,432009,501606,477542,442782,474933,471429,492524,521489,543354,603482
 "17000","Illinois",3,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",9186,9221,8879,9592,10163,10157,10644,11666,12530,14335,14054,16403,15369,14566,16556,17008,17495,20661,19059,19657,22232,23056,22274,23325,24608,26900
 "17000","Illinois",3,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",141688,137574,135933,131777,120063,124401,124637,135652,152669,169876,175587,175656,177143,178020,184321,231836,255801,295210,256668,246778,255804,250454,272339,235958,286695,314089
 "17000","Illinois",3,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",20573,19488,17342,22278,24936,26607,24555,29731,41973,52757,51370,56747,46132,46121,43160,57983,70379,90634,61085,57371,73318,71404,102166,88301,125319,140834
 "17000","Illinois",3,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",114241,111681,112498,103110,88744,91071,93435,98748,102590,107415,114406,106536,116681,118281,126542,156336,165930,183757,173893,170050,166652,166277,156547,134477,145929,157429
 "17000","Illinois",3,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",6874,6405,6092,6389,6383,6724,6648,7172,8106,9705,9811,12373,14330,13619,14619,17518,19492,20818,21690,19357,15834,12773,13626,13180,15447,15826
 "17000","Illinois",3,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",1890345,1949198,2242227,2432258,2304108,2362446,2421082,2665850,2786732,3002428,2977066,3058554,3123161,3073072,3215901,3297095,3286017,3256699,3259497,3266260,3336775,3361739,3485414,3422830,3453609,3753988
