GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "23000","Maine",1,SAGDP6N,1,"...","All industry total ","Thousands of dollars",2998124,3221811,3140226,3308351,3460151,3685659,3934383,4111826,4301492,4541260,4320422,4374025,4282883,4540659,4590446,4737639,4822857,5157458,5406487,5564751,5685404,6051346,6673578,7020893,7437453,7877707
 "23000","Maine",1,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",2998124,3221811,3140226,3308351,3460151,3685659,3934383,4111826,4301492,4541260,4320422,4374025,4282883,4540659,4590446,4737639,4822857,5157458,5406487,5564751,5685404,6051346,6673578,7020893,7437453,7877707
 "23000","Maine",1,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",24254,23447,26437,25979,24299,24368,26071,28410,32231,34474,37737,41297,37219,39039,43393,43697,44871,49779,48325,45659,49650,52080,55810,57300,58903,63925
 "23000","Maine",1,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",13587,12367,15497,14442,14261,13730,14823,15146,16012,17084,20312,22100,20447,20376,23645,24655,25754,30043,28557,26821,28784,28585,29922,31658,33010,36687
 "23000","Maine",1,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",10667,11080,10940,11537,10038,10638,11248,13264,16219,17390,17425,19197,16772,18663,19748,19042,19117,19736,19768,18838,20866,23494,25888,25642,25893,27238
 "23000","Maine",1,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",969,950,934,980,965,1084,1053,990,1023,1172,1700,2409,1337,2517,3065,3239,3427,4040,3973,4797,4838,5479,6145,7269,7348,8176
 "23000","Maine",1,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,729,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "23000","Maine",1,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",842,896,870,925,942,1064,1029,973,1023,1172,971,1209,1298,2409,2805,2993,3137,3572,3973,4797,4837,5233,6139,7269,7348,8176
 "23000","Maine",1,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",127,54,64,55,23,20,24,17,0,0,0,50,39,109,260,246,290,468,0,0,1,246,6,0,0,0
 "23000","Maine",1,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",119727,106283,95364,98525,98131,111433,111176,115626,145303,149125,145636,161206,152907,170794,168411,171999,175781,191936,195673,188094,204574,208674,234956,260989,256919,296639
