GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "35000","New Mexico",6,SAGDP6N,1,"...","All industry total ","Thousands of dollars",3676958,3669039,3854851,3997145,3985985,3952151,4107722,4636751,4685588,5439936,5874900,6198178,5643235,5518878,5587005,6034940,6265536,7065100,6689611,6565688,7039148,8047567,8801338,8423767,9664098,10788254
 "35000","New Mexico",6,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",3673920,3666198,3851746,3993953,3982918,3948870,4104541,4632735,4681243,5435071,5870357,6191518,5635494,5511710,5579851,6026880,6257333,7055832,6682151,6558059,7031010,8038512,8790695,8412478,9653096,10775036
 "35000","New Mexico",6,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",22709,24155,23851,25198,23861,24949,25166,25815,27123,30551,39533,39899,38311,38495,41619,41355,43310,48176,44616,43715,47305,47870,49703,51708,53248,58582
 "35000","New Mexico",6,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",19565,20252,20267,21376,20131,21189,21475,21727,23183,26201,34635,34248,33277,33358,36093,35858,37627,42627,39775,37839,40512,40148,41669,44236,45969,50942
 "35000","New Mexico",6,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",3144,3903,3584,3822,3730,3760,3690,4088,3940,4350,4897,5651,5034,5137,5526,5497,5683,5550,4841,5877,6793,7722,8034,7472,7280,7640
 "35000","New Mexico",6,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",548203,504462,453836,706437,744735,610299,729655,835731,1048285,1200041,1390104,1610772,888745,1026294,1089483,1086919,1163816,1527803,1297908,1046944,1348304,1769954,1939889,1707070,2518578,3534875
 "35000","New Mexico",6,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",440085,402923,357358,588358,622524,507040,614187,712025,906547,1037013,1204995,1393675,736724,858755,903408,875507,935356,1257817,1090358,871053,1135935,1482515,1618381,1425358,2058885,2861034
 "35000","New Mexico",6,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",92634,85886,82068,99372,103668,85632,96547,102193,117148,129745,148281,174592,112917,130836,137705,149600,161048,186403,131276,108855,141184,194846,215447,186448,363419,566491
 "35000","New Mexico",6,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",15484,15653,14410,18707,18543,17627,18920,21514,24590,33283,36828,42505,39104,36703,48370,61812,67413,83584,76273,67036,71185,92593,106061,95264,96274,107350
 "35000","New Mexico",6,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",148306,146731,153012,150881,151595,151217,152171,167174,159713,192791,210275,227270,254066,244965,248562,278127,284853,294457,265889,278260,284272,303481,332642,346239,349737,389148
 "35000","New Mexico",6,SAGDP6N,11,"23","  Construction ","Thousands of dollars",56589,59686,64056,63581,56088,55894,56431,65231,68483,90389,92810,89685,84645,68820,63831,68039,69026,79246,76499,83731,89234,105643,126626,134075,135904,155452
 "35000","New Mexico",6,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",51439,54032,56958,58818,59016,61375,61449,60558,58402,69760,78783,81331,84174,81091,96511,105074,118509,119011,120931,112776,113427,122074,135258,140545,134793,145570
 "35000","New Mexico",6,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",34204,36356,38072,38777,38516,40165,39840,38460,36620,39847,44159,44464,45815,42383,48176,49650,55624,55961,54566,45842,42215,48025,51983,54832,50149,55050
 "35000","New Mexico",6,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",1103,1198,1363,1239,880,908,918,1067,1071,1331,1294,1269,1210,1054,1091,1137,1072,1104,1191,1334,1390,1602,1848,1851,1880,1986
 "35000","New Mexico",6,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",2444,2760,2778,2824,2444,2585,2559,2609,2651,3094,3503,3581,3934,3459,3510,3346,3242,3509,3599,3744,3954,4462,4487,4841,4755,4858
 "35000","New Mexico",6,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",3185,3095,2998,2333,1485,1413,1061,1203,1039,1126,1302,1395,1486,1355,1375,1413,1351,1207,1583,1567,1563,1733,1885,1975,1773,1906
 "35000","New Mexico",6,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",2108,2130,2289,2271,2037,2079,1923,2129,2074,2352,2765,3080,3073,2880,3100,3296,3401,3534,3709,3840,3556,4309,5053,5104,4547,5356
 "35000","New Mexico",6,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",1596,1738,1903,2029,1761,1743,1631,1577,1570,1813,2093,2182,2439,2176,2086,2266,2221,2278,2222,2063,2617,3132,3313,2885,2923,3540
