GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "36000","New York",2,SAGDP6N,1,"...","All industry total ","Thousands of dollars",53173154,53811227,55811868,56854308,58380325,60399978,66521619,73414795,81479057,85615107,88308928,86216899,86811578,96036599,99424316,103447677,108817914,113596830,117879433,120200361,121935399,128376931,132151857,131613653,138047562,146333547
 "36000","New York",2,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",53139015,53778654,55776054,56820164,58345989,60361506,66485242,73377179,81439435,85575427,88268835,86177408,86768477,95990214,99376959,103399698,108764116,113545850,117834074,120152632,121886298,128315532,132085280,131548270,137978690,146260830
 "36000","New York",2,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",116719,105975,131048,122189,121342,116072,123777,125246,135419,144419,165777,184041,170493,175292,199850,207013,215352,246092,234339,220536,236509,236150,246286,259862,270152,298408
 "36000","New York",2,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",105987,95205,120955,111038,110709,105318,114189,115981,121404,129402,150395,166012,153171,152985,177811,185760,193049,225419,213770,200076,214828,213441,223826,236638,246928,274596
 "36000","New York",2,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",10732,10771,10093,11151,10633,10753,9588,9266,14016,15017,15383,18029,17322,22307,22040,21252,22304,20673,20569,20460,21681,22709,22460,23224,23224,23812
 "36000","New York",2,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",41633,43284,43014,46050,39792,39762,49420,52339,70100,86967,98609,111649,97764,113521,163867,151900,136046,177327,140380,137739,117299,133357,132211,141544,167823,187900
 "36000","New York",2,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",2264,2912,3707,4567,7229,6973,11292,8938,24819,35771,43199,53614,44597,59626,105841,85484,66183,95704,55033,40952,20105,29543,28929,32073,44413,53447
 "36000","New York",2,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",35108,36271,35621,37334,29508,29443,34498,39353,40609,45520,49150,48112,45808,46246,49839,56052,60386,71897,75892,87304,88878,95424,95815,101397,114674,126832
 "36000","New York",2,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",4261,4101,3686,4149,3055,3346,3629,4048,4673,5677,6260,9923,7359,7649,8187,10363,9477,9726,9456,9484,8316,8390,7467,8075,8736,7620
 "36000","New York",2,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",3192681,3192085,3106652,3184440,2947896,3086638,3182020,3300449,3503531,3751913,3827625,3892956,4092352,4404056,4554596,4757204,4755584,4965129,4982197,5186601,5250493,5351971,5412587,5508099,5770466,6043617
 "36000","New York",2,SAGDP6N,11,"23","  Construction ","Thousands of dollars",234453,265119,290213,320017,320761,336284,354661,403868,391984,423030,424783,447485,461757,557795,599999,630437,668158,697337,778308,823033,827219,862415,891222,873742,914336,927485
 "36000","New York",2,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",2987108,2922087,3044246,2531631,3251565,3258543,3450145,3707620,4418285,4481066,5094698,4593536,5936556,7616076,7665682,7559744,7600961,8029972,7957057,7776211,7657791,7388132,7001947,6858345,7086404,6906904
 "36000","New York",2,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",854655,890285,877729,906543,1058555,1091305,1150291,1225993,1239801,1278842,1282359,1298232,1379758,1403901,1475499,1525852,1631623,1638018,1738356,1674836,1609080,1610458,1630113,1583115,1583648,1665230
 "36000","New York",2,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",13229,13644,13867,14797,12564,12758,12891,14601,15456,16551,17159,17294,18608,19039,19529,21384,22852,23088,25356,26070,23804,23723,24286,23423,23763,25544
 "36000","New York",2,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",59914,60863,51491,55354,50613,49612,51229,56068,56531,59273,62536,67004,75663,79496,81299,84499,84182,88883,91939,96121,93943,96139,99002,97419,103145,109457
 "36000","New York",2,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",81003,83611,80048,79735,70080,70052,71882,76140,75005,77821,82684,88197,100632,97037,100801,103937,100310,108065,112483,119926,116354,117145,119109,123870,127117,133023
 "36000","New York",2,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",112292,113070,120430,118837,106183,107383,112204,126737,113166,124146,114367,139045,117804,134621,167550,164665,221360,205198,200436,196859,201739,201333,217710,195640,191512,199006
 "36000","New York",2,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",154139,162479,166221,167419,172937,173187,171591,180578,177645,182189,182889,186525,208999,219190,230973,228676,232067,231112,254993,243217,225940,215742,217817,218685,217188,216025
 "36000","New York",2,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",197582,216503,209590,232857,372083,391130,426572,452729,489002,491416,491771,486978,534622,520274,527755,574327,554047,580849,638819,629436,600246,603884,583475,559107,547806,599929
 "36000","New York",2,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",41902,42908,39581,38581,46663,47528,48824,47725,47865,49542,49316,49295,54087,58182,59018,61794,59497,62336,63509,67247,62772,64721,67937,80125,84328,85903
