GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "44000","Rhode Island",1,SAGDP6N,1,"...","All industry total ","Thousands of dollars",2425281,2479374,2581080,2778516,2891480,3016927,3282732,3515771,3710117,3790990,3782509,3817496,3909135,3995371,4148287,4271755,4424875,4580603,4717907,4838768,4880719,5053300,5299409,5300127,5673093,6022493
 "44000","Rhode Island",1,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",2425279,2479372,2581080,2778516,2891478,3016926,3282730,3515758,3710111,3790981,3782504,3817492,3909131,3995366,4148282,4271751,4424870,4580598,4717903,4838764,4880715,5053295,5299404,5300122,5673087,6022487
 "44000","Rhode Island",1,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",3623,3492,4128,4171,3663,3488,3999,4507,5077,5689,6789,7503,6907,7210,8158,8317,8464,9438,9022,8707,9238,9367,9690,10295,10608,11492
 "44000","Rhode Island",1,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",2330,2057,2600,2415,2292,2149,2574,2866,3327,3808,4905,5425,4988,5014,5813,6062,6293,7346,7022,6561,7044,6999,7338,7758,8095,9002
 "44000","Rhode Island",1,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",1293,1435,1527,1756,1370,1339,1425,1641,1750,1881,1884,2079,1919,2195,2345,2256,2171,2092,2000,2146,2194,2369,2352,2537,2513,2490
 "44000","Rhode Island",1,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1844,2088,2269,2484,1882,2007,1727,1843,2303,2626,2969,2721,2451,2239,2400,3155,3551,4267,4065,4424,4108,4158,4166,4600,4462,5171
 "44000","Rhode Island",1,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,7,7,8,9,9,47,32,19,13,10,345,508,487,211,49,0,0,0,0,0,0
 "44000","Rhode Island",1,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",1355,1562,1740,1919,1704,1812,1553,1701,2281,2603,2908,2672,2431,2226,2390,2810,3043,3780,3854,4375,4108,4158,4166,4600,4462,5171
 "44000","Rhode Island",1,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",489,526,529,565,178,187,166,134,13,14,14,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",107904,101566,95463,116533,111379,103894,111744,114002,126325,147846,148770,155064,176339,167528,179212,177917,183168,185049,182357,191277,197012,196914,215405,225486,225015,277502
 "44000","Rhode Island",1,SAGDP6N,11,"23","  Construction ","Thousands of dollars",11546,13348,15339,16005,14913,16536,18682,20293,21079,20935,21519,20998,22146,20496,20580,21271,21048,21935,21712,23497,23109,24242,25565,26618,27767,29434
 "44000","Rhode Island",1,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",132470,136495,144238,150927,161115,167690,172462,185840,187342,186031,202328,197964,209460,201751,215180,223876,241515,250152,259562,262807,271841,272399,273043,284951,285061,289738
 "44000","Rhode Island",1,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",80359,82207,86853,92708,99493,100880,99251,105174,104192,98641,105289,105276,112041,107320,108322,109940,122596,125770,126756,122497,123034,127773,131755,135200,137323,142681
 "44000","Rhode Island",1,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",1110,1065,1111,1261,1083,1132,1201,1168,1099,1079,1280,1460,1844,1501,1567,1686,1729,1275,1251,1466,1424,1383,1487,1366,1224,1227
 "44000","Rhode Island",1,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",2853,2638,2897,2995,2295,2250,2184,1985,2078,2273,2309,2500,3023,3067,3276,3323,3267,3796,3587,3651,3558,3821,4068,4248,4337,5026
 "44000","Rhode Island",1,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",11994,12064,13150,12821,9955,9271,9008,9043,8366,8084,10197,11280,13013,13033,13592,13834,14410,13707,13888,14688,14137,13773,14000,15029,14828,15241
 "44000","Rhode Island",1,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",14663,15076,15411,16161,14138,14330,13603,14358,13943,13264,13562,13708,15270,14765,14579,14808,14802,15905,15789,15408,15472,14517,14938,14947,14771,15559
 "44000","Rhode Island",1,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",6432,6984,7446,8113,7437,6782,6606,7076,6967,6716,6777,6731,7196,7058,7177,7533,7627,7871,8215,9842,9402,9186,9203,9494,10067,10118
 "44000","Rhode Island",1,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",12755,13874,15232,17524,21057,22310,23969,26891,26152,24928,25564,26322,28034,25855,24536,25521,26063,27722,27342,29546,29799,31809,35775,35873,34797,35148
 "44000","Rhode Island",1,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",4579,4606,5065,5458,7684,7627,7840,7807,7952,6637,7692,5953,6396,5722,6096,5801,6658,6471,6278,6061,6507,6634,6864,6960,5509,5892
 "44000","Rhode Island",1,SAGDP6N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",1250,1154,1041,711,606,564,538,563,459,443,458,496,527,552,563,576,644,739,737,818,707,1517,1587,1670,1843,2045
 "44000","Rhode Island",1,SAGDP6N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",3622,4419,5192,6142,7473,8555,8658,9288,9678,8800,9989,10457,10887,10839,11084,12435,13149,16004,17528,17455,19346,22678,21574,23106,25695,27913
 "44000","Rhode Island",1,SAGDP6N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",1587,1679,1967,2160,1923,2220,2236,2561,2723,2651,2732,2693,2804,2625,2631,2602,2651,2895,2925,3032,2831,2753,2810,3225,3363,3542
 "44000","Rhode Island",1,SAGDP6N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",19514,18650,18342,19364,25842,25839,23409,24436,24775,23767,24728,23675,23046,22304,23220,21819,31596,29384,29215,20532,19851,19703,19450,19285,20890,20971
 "44000","Rhode Island",1,SAGDP6N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",52111,54288,57385,58220,61622,66810,73211,80667,83150,87390,97040,92689,97419,94431,106858,113936,118918,124382,132806,140310,148807,144627,141288,149751,147738,147057
 "44000","Rhode Island",1,SAGDP6N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",8406,8272,8808,8911,8782,8941,8606,9223,9566,9692,10400,9800,10550,10579,11006,10638,13543,14039,16056,18898,20273,21399,23316,25104,31861,27994
 "44000","Rhode Island",1,SAGDP6N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",14241,14550,14348,14142,11232,10995,10998,10908,10675,10228,10159,10517,11200,10696,10489,10536,10258,10289,10502,10811,10706,10761,11338,12411,11869,11939
 "44000","Rhode Island",1,SAGDP6N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",532,555,661,756,568,514,464,461,563,512,505,487,467,469,428,427,418,403,421,486,501,627,706,854,920,980
 "44000","Rhode Island",1,SAGDP6N,29,"322","    Paper manufacturing ","Thousands of dollars",5997,5534,5692,6015,5348,5386,5222,5333,5174,5330,5659,7053,6693,6742,6624,6964,6782,6771,7913,8328,7516,7340,7668,7196,7315,7799
 "44000","Rhode Island",1,SAGDP6N,30,"323","    Printing and related support activities ","Thousands of dollars",3989,4185,4215,4233,3608,3538,3223,3404,3621,3499,3602,3688,3806,3560,3742,3918,3878,3966,4182,4261,4212,4430,4529,4957,5159,5839
 "44000","Rhode Island",1,SAGDP6N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",343,370,360,365,1033,573,1244,1239,1224,1195,676,657,948,1189,1170,1613,1422,1856,2106,2473,2785,3318,3693,4197,3954,3381
 "44000","Rhode Island",1,SAGDP6N,32,"325","    Chemical manufacturing ","Thousands of dollars",12161,13622,15865,16147,24324,30193,36675,42858,45208,49967,57904,52393,54350,52502,64131,70407,73199,78295,82600,85324,93110,87759,80714,84619,76919,78286
