GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "96000","Southwest",6,SAGDP6N,1,"...","All industry total ","Thousands of dollars",68283297,71337941,77560359,82811300,85210614,89680233,94203027,99851717,108139881,117195307,127651405,129424019,124886316,128033777,135093447,143756052,149160330,159584265,164599052,166690773,177209263,195112737,204525462,201619461,221284349,249514082
 "96000","Southwest",6,SAGDP6N,2,"..."," Private industries ","Thousands of dollars",68223452,71278389,77495714,82748178,85145944,89611561,94130055,99771126,108053701,117100614,127550728,129313345,124776344,127918487,134968359,143621146,149020894,159428766,164453233,166538373,177033512,194921442,204325793,201407652,221065732,249258985
 "96000","Southwest",6,SAGDP6N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",462367,474930,547626,522135,520681,545869,623845,618443,623436,704822,818165,911915,963279,1009728,1066929,1088020,1114885,1262534,1201363,1139130,1233371,1243188,1292090,1360663,1433260,1596612
 "96000","Southwest",6,SAGDP6N,4,"111-112","   Farms ","Thousands of dollars",408391,418943,487509,461618,462705,484100,554828,542393,540748,614635,716522,801772,874091,906907,957084,985663,1008944,1166899,1109713,1043029,1119310,1111536,1163311,1230867,1283373,1426230
 "96000","Southwest",6,SAGDP6N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",53976,55987,60117,60517,57976,61769,69018,76050,82688,90187,101643,110143,89188,102822,109845,102358,105942,95635,91650,96101,114061,131652,128779,129796,149887,170382
 "96000","Southwest",6,SAGDP6N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",6404777,6111031,6125149,7667242,7921989,8214512,9774505,11732775,15204231,17605596,18436229,20418849,15805403,16641147,18371372,20047007,20606047,26192336,23871647,22490081,24198074,27913369,28373676,26351141,32731912,41086348
 "96000","Southwest",6,SAGDP6N,7,"211","   Oil and gas extraction ","Thousands of dollars",5720626,5429461,5416060,6945343,7257409,7533965,9047157,10951474,14292131,16570458,17224537,19071934,14542761,15328705,16883401,18205386,18803788,24272518,22022977,20667743,22265854,25785813,26109437,24176368,30306982,38213241
 "96000","Southwest",6,SAGDP6N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",299676,288498,294124,307002,286274,270923,292953,313105,332295,367345,439364,508056,406748,432205,484159,536182,582102,606960,534209,534416,616537,758305,806811,740763,984324,1324031
 "96000","Southwest",6,SAGDP6N,9,"213","   Support activities for mining ","Thousands of dollars",384476,393071,414965,414898,378306,409625,434396,468197,579805,667792,772328,838859,855894,880237,1003812,1305439,1220156,1312858,1314460,1287922,1315683,1369251,1457429,1434010,1440606,1549076
 "96000","Southwest",6,SAGDP6N,10,"22","  Utilities ","Thousands of dollars",3384982,3532109,3932682,4280466,4368225,4731207,4732763,4911797,5006558,5549691,6060517,5932338,6180554,6447411,6449644,6676442,6645782,6431038,6398066,6574422,6912460,7259873,7739257,7678923,7861303,8664127
 "96000","Southwest",6,SAGDP6N,11,"23","  Construction ","Thousands of dollars",598124,676167,749020,786480,762248,815139,857518,937918,1067403,1161244,1191914,1093422,1004908,959901,972416,1031209,1084047,1126790,1180343,1232250,1326186,1442871,1568319,1638780,1789437,1945188
 "96000","Southwest",6,SAGDP6N,12,"31-33","  Manufacturing ","Thousands of dollars",3557359,3739746,3933919,4031118,4167926,4439937,4612247,4781425,4744867,5016019,5544754,5407443,5810148,5920130,6312275,6247236,6647426,5815401,6310872,6091141,6852178,7353025,7778717,7809515,7814636,8204233
 "96000","Southwest",6,SAGDP6N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",1642614,1809236,1950589,2068433,2198516,2342775,2402104,2423018,2441900,2573328,2868645,2809105,2940709,2889482,2924914,2841788,3054117,2637628,2725135,2551955,2787596,3006157,3269888,3333438,3396151,3547481
 "96000","Southwest",6,SAGDP6N,14,"321","    Wood product manufacturing ","Thousands of dollars",47534,51768,55338,53141,46881,47934,47632,49827,52021,53711,54932,52407,54727,51240,48738,48539,47090,42182,45436,50422,55758,61212,65849,70086,73621,81679
 "96000","Southwest",6,SAGDP6N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",107475,114398,128137,131990,117211,134674,136248,141902,144717,152855,165514,163540,170238,161073,155139,152445,159087,159667,167518,177978,196761,205689,220707,231607,243690,256897
 "96000","Southwest",6,SAGDP6N,16,"331","    Primary metal manufacturing ","Thousands of dollars",135904,136835,137859,140448,123965,134482,135117,140690,130034,138045,160619,167013,179174,174409,171430,166111,168752,150968,158251,152232,163687,171336,190642,200613,202807,220857
 "96000","Southwest",6,SAGDP6N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",183430,191618,205855,219134,205444,227743,237767,251967,245412,267228,320876,337339,332593,317531,337369,341616,394544,366757,363572,357809,389522,421450,456588,435525,527662,492944
 "96000","Southwest",6,SAGDP6N,18,"333","    Machinery manufacturing ","Thousands of dollars",172432,185557,204605,220821,238447,258506,264847,273209,271669,295682,348706,337489,381352,393183,410001,419074,420123,354981,359053,332811,360972,399613,435951,428385,402710,441265
 "96000","Southwest",6,SAGDP6N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",638772,746562,791413,862656,980354,997090,984395,977508,996520,1040326,1141863,1066943,1082315,1064156,1092787,1039283,1093682,937371,984507,875911,946588,985044,1075900,1089265,1040302,1101207
 "96000","Southwest",6,SAGDP6N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",45295,48061,52674,57870,65051,69180,74925,63825,84010,71654,73828,74804,74305,72155,72207,69497,69118,60499,64538,66017,75081,83350,90824,90248,94187,107515
 "96000","Southwest",6,SAGDP6N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",67076,72630,83094,80247,86105,94782,98651,99793,93962,105544,112013,122311,139747,146543,148568,143444,143599,126333,134734,141975,163770,178223,196781,213848,223038,240280
