GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "06000","California",8,SAGDP7N,1,"...","All industry total ","Thousands of dollars",428090220,448831456,485290777,507233209,511891286,538026279,582161671,606412159,669729742,717820340,751585738,777266220,767583136,802380596,820964812,863471244,920966213,962693553,1009062353,1048498226,1113553228,1176918835,1232346863,1251175361,1394698678,1477081529
 "06000","California",8,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",401155279,420627942,455967362,475996564,481342155,507731259,551295160,574697261,635860914,681811930,712798254,735937898,726296956,760757846,777768517,817801152,874033989,911510868,954460150,993680985,1061610246,1118193443,1173126841,1192124942,1332034564,1408203851
 "06000","California",8,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",11122554,9646861,9481044,9990859,9854212,10617991,12883359,15925719,15853716,13515305,17490191,14016873,12964023,15844100,20133851,20385643,23341635,25779575,22231334,20782151,20690527,21599368,17654275,20659274,23711430,23582219
 "06000","California",8,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",9846794,8406099,8244676,8717920,8674539,9414062,11246689,14338401,14110726,11617564,15428787,12096473,11171287,13983302,18367694,18511690,21386859,23689556,19993471,18481677,18344513,19079444,14838249,17381957,20515441,20289533
 "06000","California",8,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",1275760,1240762,1236367,1272939,1179673,1203930,1636670,1587318,1742989,1897741,2061404,1920401,1792736,1860798,1766157,1873953,1954775,2090019,2237863,2300475,2346014,2519924,2816027,3277317,3195989,3292686
 "06000","California",8,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",4263826,2183690,2713341,4998242,3944160,3579843,4509379,6031075,9326122,13648597,16830616,20158370,13027467,12897522,15124194,15243548,13682973,10938854,3136593,2441784,5480654,4957289,3804499,3449708,6019739,7408713
 "06000","California",8,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",3588230,1467070,1921023,3972505,2903380,2682580,3657237,4978708,8246536,11877705,15014744,18394899,11442189,11557008,13655686,13713764,12228269,9120422,2084007,1526796,3799692,2773430,1833881,1133069,3286091,4811999
 "06000","California",8,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",600358,627794,772708,773847,602963,656314,622513,826888,787660,1167459,1173110,1013888,1201919,817382,804400,889839,748568,862355,639385,790737,1163989,1446923,1299535,1928521,2328385,2152097
 "06000","California",8,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",75237,88827,19610,251891,437817,240950,229630,225480,291927,603434,642762,749583,383359,523132,664108,639945,706136,956077,413201,124251,516973,736935,671083,388118,405264,444618
 "06000","California",8,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",9687824,8898171,10026559,10101422,12762299,11188266,10781159,9830807,9645563,12540998,11623558,10387371,12212607,13458227,14084343,13970139,14919579,16193708,16514778,16612957,19825968,21253916,20928183,21282150,22486486,29338531
