GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "09000","Connecticut",1,SAGDP7N,1,"...","All industry total ","Thousands of dollars",50705386,51704720,53537495,59729307,62158924,64228155,65507914,75718491,80359893,90850390,95606124,97607290,98902507,99022272,93303224,95560030,94182716,96136120,105229570,107976032,114927693,117126094,118805328,117606282,125627914,132502088
 "09000","Connecticut",1,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",48637626,49489356,51159635,57283815,59512334,61284109,62512122,72475378,76486359,86458147,90928180,92638523,94099528,94406749,88786852,90788373,89237206,91089961,100028633,102620445,109136589,111296339,112954788,111771218,119528257,125859679
 "09000","Connecticut",1,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",153005,169370,187077,236051,196038,125272,161484,206674,229421,192885,191677,202146,176915,212055,218679,195978,255328,164172,219994,144427,192299,174627,229866,(D),242116,(D)
 "09000","Connecticut",1,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",107125,127070,142944,179834,137865,72607,109296,160210,183174,139081,147133,156776,138397,169532,186964,164743,226172,120913,167718,88718,150369,153002,203679,186055,210343,304261
 "09000","Connecticut",1,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",45881,42300,44133,56217,58173,52666,52188,46464,46247,53804,44544,45370,38518,42523,31716,31235,29156,43259,52276,55710,41931,21625,26188,(D),31774,(D)
 "09000","Connecticut",1,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",21867,26655,21158,36126,45813,47614,60811,56677,59021,86369,99809,56899,49213,98189,81443,102776,89073,103912,145221,188070,91470,90073,87389,(D),102268,(D)
 "09000","Connecticut",1,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",66,-95,-197,-234,0,0,0,(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,(D)
 "09000","Connecticut",1,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",23015,27402,21595,35075,(D),44817,57411,53364,58135,84235,99317,55895,49039,96841,78712,100731,86072,98599,141976,187286,86588,87313,84413,140872,99396,(D)
 "09000","Connecticut",1,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",-1214,-652,-240,1285,(D),2797,3400,(D),(D),(D),(D),(D),(D),(D),2731,2045,3002,5312,3245,784,4881,2760,2976,(D),2872,(D)
 "09000","Connecticut",1,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",1369375,1223563,1387060,1252455,1204706,1076808,1206807,1283066,1903419,2483141,2671714,2907749,3151923,2906065,2551311,3053912,3046366,3423676,2990293,2544413,2514732,2616557,2693997,2867598,3359434,3226423
