GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "11000","District of Columbia",2,SAGDP7N,1,"...","All industry total ","Thousands of dollars",14861393,15384983,16376259,16272748,17729988,19305518,19993884,22408084,23843116,24177385,26280086,28396256,28514335,30305405,31258307,32213833,33077604,34514928,35599649,37322624,38296613,40171591,41454315,44147457,47516524,49161213
 "11000","District of Columbia",2,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",10950388,11444819,12313980,12193368,13358709,14793100,15414249,17827153,19033230,19425285,21312577,23028809,22839043,24531135,25216604,25984638,26672942,28034203,29049084,30743807,31561433,32997633,34075641,35551307,38186103,38764024
 "11000","District of Columbia",2,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",484,571,601,609,(D),(D),599,694,565,741,256,70,78,335,389,526,491,434,596,1341,1925,1697,3173,5161,(D),(D)
 "11000","District of Columbia",2,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",484,571,601,609,(D),(D),599,694,565,741,256,70,78,335,389,526,491,434,596,1341,1925,1697,3173,5161,(D),(D)
 "11000","District of Columbia",2,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",3020,237,1411,-490,(D),(D),-837,-1648,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",1193,231,-109,-1386,1353,4153,(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",1827,6,1457,769,887,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,63,127,(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",343766,311468,353718,374269,(D),(D),360759,384058,471363,548380,633164,660280,837416,1038056,884725,724282,677319,659386,658498,621520,713003,816060,842372,(D),1256843,1072905
 "11000","District of Columbia",2,SAGDP7N,11,"23","  Construction ","Thousands of dollars",-2942,36161,65967,124174,179584,272017,243510,284278,(D),216630,184792,183812,164994,131177,121630,273957,337111,325692,326397,273240,(D),426882,553978,489391,388427,277768
 "11000","District of Columbia",2,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",66647,51474,-5483,-3969,8629,(D),61708,76964,64098,73211,81137,71507,83370,77746,115931,75738,80650,70147,92707,107051,(D),84024,73812,(D),(D),(D)
 "11000","District of Columbia",2,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",41100,26904,14210,12998,-14118,(D),26219,34101,32100,31558,28936,18490,22575,16343,18292,23401,36377,39604,50075,54137,(D),52789,51679,(D),(D),(D)
 "11000","District of Columbia",2,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",439,775,601,579,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),451,286,176,700,1780,2046,1566,175
 "11000","District of Columbia",2,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",1861,1207,936,1355,1690,2521,3155,4123,5251,(D),4878,5700,6731,5391,6344,8516,15806,22059,25952,29704,24510,18692,20815,23933,22236,21241
 "11000","District of Columbia",2,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",-312,-276,-717,-828,-782,523,552,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1144,(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",1078,387,215,196,65,962,905,812,752,445,(D),(D),(D),1330,1292,1875,1539,2157,2127,2192,2351,2091,1250,1303,1095,1478
