GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "15000","Hawaii",8,SAGDP7N,1,"...","All industry total ","Thousands of dollars",13541346,12780778,13548593,14191047,14579827,15307087,16777107,18452399,20562867,21905268,22978632,23378678,23367058,24825038,24903781,25897379,27404881,27732472,29684894,30624475,31789468,33134535,33884845,31951171,36625116,36771272
 "15000","Hawaii",8,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",12332595,11531998,12207575,12890990,13317751,14044359,15416297,16933516,18967793,20214954,21307796,21588409,21567051,22819648,22794236,23680865,25096369,25432362,27341225,27955548,29023269,30452418,31295484,29448427,33854312,33760423
 "15000","Hawaii",8,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",126751,116405,116419,123610,122326,142046,173794,179059,193706,204173,185993,178682,208914,242036,321776,201632,208440,152254,188026,100325,201946,165432,122140,163882,(D),189003
 "15000","Hawaii",8,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",108961,100767,97705,107795,106168,123925,152258,162947,180115,188402,171159,165912,193630,225529,303557,181739,186685,130205,162269,71970,169094,137573,96121,139833,173365,165580
 "15000","Hawaii",8,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",17790,15638,18714,15814,16158,18121,21536,16112,13590,15771,14834,12771,15284,16508,18219,19893,21755,22049,25756,28356,32852,27859,26019,24049,(D),23423
 "15000","Hawaii",8,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",15892,16788,22013,23041,20109,16097,14939,13068,9471,32432,60871,62921,67622,54636,37405,36598,30993,26088,19170,29250,25897,38166,30380,39904,48660,47941
 "15000","Hawaii",8,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,(D),(D),0,0
 "15000","Hawaii",8,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",15892,16788,22013,23041,20109,16097,(D),(D),(D),(D),(D),62774,67519,54581,37243,36244,30750,25905,19019,29317,(D),(D),30270,(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",487867,435950,492250,536816,511311,429924,501675,592182,588618,726585,729783,872201,796936,1013233,1281023,1293174,1243425,1228550,981347,918854,988824,976793,931462,931220,1261724,1495802
 "15000","Hawaii",8,SAGDP7N,11,"23","  Construction ","Thousands of dollars",414526,385345,431784,520123,590185,638591,831681,1090051,1446991,1583530,1831686,1702874,1736845,1380612,1210900,1205543,1123857,1234841,1493709,1754060,1875468,1786296,1950466,2326616,2007488,1778279
 "15000","Hawaii",8,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",187272,164025,215467,196185,260914,344329,430511,362582,417237,432235,409466,566651,573983,531183,509408,574996,587024,778986,726844,623689,618971,728640,517946,561408,(D),750275
 "15000","Hawaii",8,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",48176,30038,28812,30916,(D),(D),(D),3135,44933,60390,66496,57036,66803,71774,74692,75426,81372,81593,68632,100376,113792,116633,129321,168945,(D),165376
 "15000","Hawaii",8,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",2602,2624,3211,3495,(D),(D),(D),(D),3459,3305,(D),(D),(D),4192,2747,2812,3020,(D),2247,2421,3791,3148,4944,(D),7402,4046
 "15000","Hawaii",8,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",12435,10609,14114,14736,16690,18157,10924,1047,28891,48333,52490,36248,20952,22490,27988,39369,46033,48148,52117,56203,57036,48081,53494,83399,73108,73460
 "15000","Hawaii",8,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",454,515,533,575,480,567,735,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",9137,7798,6635,8663,7630,7464,8711,8761,9097,7447,7493,5911,(D),5366,4144,4997,5131,5183,7751,11163,8064,7015,4989,12395,10009,9825
 "15000","Hawaii",8,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",384,475,570,405,-116,412,263,311,1083,1340,2654,1347,2279,2034,2414,(D),(D),(D),(D),(D),(D),(D),(D),3999,3631,2463
 "15000","Hawaii",8,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",5641,1393,309,2245,-5012,(D),(D),(D),2188,2326,5794,7840,11721,13009,6816,9001,8554,7069,9583,10853,11719,9552,14288,15881,21674,23524
 "15000","Hawaii",8,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",639,59,143,162,(D),(D),(D),(D),(D),(D),(D),(D),(D),963,1354,570,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",800,-65,-7,364,(D),(D),(D),(D),751,405,(D),(D),(D),(D),(D),-24,-2,(D),204,237,133,189,294,473,843,105
 "15000","Hawaii",8,SAGDP7N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",2080,147,2217,5701,(D),(D),(D),(D),7479,5683,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),20487,32538,24554,35327,39118
 "15000","Hawaii",8,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",6736,6032,6195,8172,7306,6403,4911,4283,3171,3635,379,-2966,-955,-2009,-3646,-4011,-3271,-3613,-3845,-3950,3928,9494,10624,12274,8875,7649
 "15000","Hawaii",8,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",7269,452,-5107,-13601,-15288,-6365,-16218,-18042,-12847,-14827,-21346,-11676,-6311,-6299,-9068,-8664,-9271,12233,-7176,2985,10164,14753,4422,5492,8690,2632
 "15000","Hawaii",8,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",139096,133986,186655,165269,(D),(D),(D),359447,372304,371845,342970,509614,507180,459409,434716,499571,505652,697393,658212,523313,505178,612006,388624,392463,492812,584900
 "15000","Hawaii",8,SAGDP7N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",-5956,-5977,26317,-5229,12086,58379,83125,-9596,45774,82644,7520,39447,96731,78339,46244,64967,76765,95427,142900,169432,55660,120982,40466,125082,136528,95542
 "15000","Hawaii",8,SAGDP7N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",3045,1720,1733,1832,411,(D),344,1733,3666,4804,10335,4734,(D),3059,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAGDP7N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",7489,6469,11385,-2483,1210,1590,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1159,3260,3734,997
 "15000","Hawaii",8,SAGDP7N,29,"322","    Paper manufacturing ","Thousands of dollars",3659,2905,3818,3201,2368,2035,1865,2256,1818,2816,1840,1422,1449,1056,325,765,522,1038,1655,1577,1025,1043,1688,2005,(D),1719
 "15000","Hawaii",8,SAGDP7N,30,"323","    Printing and related support activities ","Thousands of dollars",-2817,-3784,24882,18749,9703,7785,7854,10862,5126,12364,9085,7147,7075,7465,7871,10768,12793,31899,28146,31231,27331,27004,20109,13354,17085,14661
