GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "17000","Illinois",3,SAGDP7N,1,"...","All industry total ","Thousands of dollars",151763948,154634424,162139289,169782570,173160397,178190923,188450036,203629971,215916550,229228848,235169175,227622224,241643070,256275876,267715171,283980197,291355225,304069465,312470034,317333679,318234077,334381507,345489775,335940638,374469002,396619873
 "17000","Illinois",3,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",145519729,148411656,155658765,162971546,166124718,170675957,180724362,195911979,207758604,220368928,226419664,218509662,232216897,246390027,257865644,273619793,280807827,293037807,301114005,305377719,304917829,320873825,330982098,321547875,359656283,379802327
 "17000","Illinois",3,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",3435397,2842943,2408416,3095052,2914727,2170676,3116707,4935436,3088986,3519109,4522194,6008265,4182512,4354044,7104226,5304205,10258281,6518865,3466575,5552044,5138626,6143157,5129150,7053943,11397744,14491562
 "17000","Illinois",3,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",3330057,2731092,2300738,2970939,2783834,2051731,3000560,4852224,2986534,3383537,4393211,5881379,4081999,4193544,6962413,5153613,10123899,6360556,3276026,5359744,4957648,5967152,4918089,6783734,11083928,14168062
 "17000","Illinois",3,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",105340,111851,107678,124113,130893,118945,116147,83211,102453,135571,128983,126886,100513,160500,141813,150592,134382,158309,190549,192300,180977,176005,211061,270209,313817,323499
 "17000","Illinois",3,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",248597,420402,608768,445591,509809,479400,544567,624996,845199,976778,1122553,1134815,1188120,1114583,1132071,1252622,1210250,1079674,1058461,670250,849292,934700,689854,463394,657024,1279373
 "17000","Illinois",3,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",5192,-8919,6602,-1224,-8760,18747,34708,66857,68051,59774,62279,114000,63081,93552,130414,152889,104967,18342,-958,3923,20223,32859,-16807,10188,35873,64766
 "17000","Illinois",3,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",242747,428925,600805,446089,504779,457522,505865,548541,762486,881038,1018151,955888,1086499,963944,925417,1018433,1026498,962273,1015161,666671,812384,871742,676066,435979,592909,1195321
 "17000","Illinois",3,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",658,396,1361,726,13790,3130,3995,9598,14661,35966,42123,64927,38540,57087,76239,81301,78785,99059,44258,-345,16684,30098,30595,17227,28241,19286
 "17000","Illinois",3,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",4881088,4342150,4952739,4447037,4565233,4019334,4198694,4838668,4515031,4632493,4420951,4788042,4924956,6078679,6124485,5443821,5470977,6435328,6241964,5917321,6281051,6691815,7048083,7770276,9813771,11320943
 "17000","Illinois",3,SAGDP7N,11,"23","  Construction ","Thousands of dollars",4694723,4949970,5944385,6407359,6630240,6881329,8020683,9797894,11170059,10996129,11012206,8762780,6407914,6613406,6183223,5643745,8092043,8585226,9478859,9998109,10933115,9885857,10357824,11951040,12885003,11264665
 "17000","Illinois",3,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",25623782,25950216,25882245,28160186,27467024,25410908,28790490,31957532,32956346,33969640,34706992,30079520,37499330,40098321,45859598,52629230,45418576,46695694,44089644,41856214,42562033,49979965,47901165,44475339,53299797,62033211
 "17000","Illinois",3,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",13208313,13064649,12411035,13430206,11237384,11636961,12739912,15274978,16085760,17636621,17964510,16832883,15529604,19524500,21215972,24113803,21129427,19934065,17981502,16937884,16736989,17623105,18826784,18276859,17257821,20757388
 "17000","Illinois",3,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",87636,89185,111578,97609,115405,98053,171178,32854,79223,68634,73408,96925,120964,143542,150056,126896,193402,114156,147956,111186,81106,151711,193671,203461,274402,225765
 "17000","Illinois",3,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",610353,518694,575492,505672,524076,527654,702088,494869,518656,483044,354445,365482,548156,530682,595471,721746,778940,650470,769332,988144,956324,1012761,968497,1193617,1181571,1166940
 "17000","Illinois",3,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",707030,537424,388343,635024,55825,298101,449665,1987799,1898101,1573153,901690,1637720,298166,355947,844807,913343,728979,802621,322465,522212,451735,679959,516951,755750,1870415,2614499
 "17000","Illinois",3,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",2959486,2557509,3048260,3175886,2522582,2258155,2487530,2690422,2764498,2506698,2792430,2345193,2597766,2827389,2567823,2979740,2973474,2681104,2988959,2908968,3296566,3263991,3230002,3748077,2779580,3169873
 "17000","Illinois",3,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",3556656,4847037,3784124,2908010,3248402,2730656,3051319,3608561,4292207,5255337,6304600,6369777,6819804,7872067,10145869,13313453,9022781,9186756,7190937,5597386,4780652,5406565,5725065,4669185,4730155,6706410
