GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "26000","Michigan",3,SAGDP7N,1,"...","All industry total ","Thousands of dollars",102013632,101620363,114470725,115331191,113451205,126530444,132952946,138324040,145547230,142892005,147071390,131367276,127681835,145885847,152120671,161732429,170596608,175186611,185216687,190459655,188358049,194662402,198605033,213094716,228533136,239704249
 "26000","Michigan",3,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",96525735,96086066,108426963,108983966,106987604,119803900,126363808,131909599,138331198,135563758,139719404,123466639,119805156,137989029,144028865,153132247,161760079,165808842,175700051,181038250,178655106,184658466,187541927,200977544,215277296,224815290
 "26000","Michigan",3,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1021101,993570,1215159,984898,1016165,907351,1174260,1734758,1710690,1861201,1667052,1843490,1256869,1981571,3117593,2049631,2710774,1891935,1802845,1306161,1766949,1789716,1550589,2799147,3698852,4628881
 "26000","Michigan",3,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",916571,886609,1109106,861801,898611,799793,1047985,1621130,1575441,1726418,1550084,1750201,1170613,1882261,3031863,1952663,2603452,1758424,1646794,1138698,1600962,1636478,1422087,2638307,3542353,4475393
 "26000","Michigan",3,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",104530,106961,106054,123097,117553,107559,126276,113628,135249,134784,116968,93289,86256,99309,85730,96969,107323,133511,156051,167462,165987,153238,128502,160840,156499,153487
 "26000","Michigan",3,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",170152,109057,73324,116156,147633,163639,149449,244738,329776,600629,561099,728403,731568,1062724,1555534,1352294,1144767,1055196,769082,738160,770097,682165,706111,899532,1156422,1121328
 "26000","Michigan",3,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",124709,31651,1269,14952,5145,8576,12324,8023,30215,117673,63421,104243,37133,44497,89628,118307,130916,108979,11999,8272,30489,14055,2148,5918,22452,25509
 "26000","Michigan",3,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",36214,67307,72935,84019,94464,124540,108206,198380,255735,399394,404869,528080,653290,970597,1410772,1184110,945678,840164,707137,716464,677452,565986,632618,847955,1077469,1039271
 "26000","Michigan",3,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",9228,10099,-880,17184,48024,30523,28918,38335,43826,83562,92808,96080,41146,47630,55134,49877,68173,106053,49945,13424,62157,102123,71345,45658,56501,56549
 "26000","Michigan",3,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",3385916,3017919,3459711,3149717,2864613,2552878,2668518,2828943,2677453,3166776,3274703,3937001,3772463,4505441,4618627,4897420,4723385,4695573,4519699,4932488,4974228,4783612,4963999,4942271,5249317,6358120
 "26000","Michigan",3,SAGDP7N,11,"23","  Construction ","Thousands of dollars",3690939,4166413,4453372,4998117,4930239,4823195,5466665,6397412,6927142,6437127,5749297,3891960,3679328,3614937,3408439,4814973,5313943,5531004,5830557,6162064,6353604,6540718,6092999,7266622,7017891,6902358
 "26000","Michigan",3,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",25891433,25600963,32473652,30264008,26598111,32860788,33730388,29522808,30155021,28088552,31630942,22503653,18005826,29919610,31787363,34835700,39503677,38672522,40829079,41611292,40673105,40963761,39342968,41028559,42604201,42698165
 "26000","Michigan",3,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",20827631,19998425,25308853,24771552,21593863,25936690,27283772,22959445,24917854,20620796,25321236,17058047,10904393,22762243,24568582,27824198,31393773,30973404,31919107,32910606,31254046,30609884,29216183,29339916,30820151,30162112
 "26000","Michigan",3,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",159219,175235,171842,210168,147901,116261,167467,206567,247719,63764,112376,-105961,45154,140508,113022,162950,258083,213489,205131,294648,260189,234544,333731,380688,933829,896772
 "26000","Michigan",3,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",720506,600547,558208,688265,647295,730166,805596,756435,836178,751572,582474,627750,615360,829185,722639,628620,681228,693538,877455,727066,687844,768983,1191010,1294795,1181226,1280348
