GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "91000","New England",1,SAGDP7N,1,"...","All industry total ","Thousands of dollars",181275494,183848663,189753601,202544621,210585550,222751916,232497547,249855280,265953075,286337080,297382024,301272800,316780561,332208857,329431388,340705612,343297128,349148604,371975586,384568216,391410775,406958998,425137052,440679924,478114557,507508918
 "91000","New England",1,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",166968516,169433060,174873781,187226099,194774641,206198955,215506126,232069092,246515441,265688770,274906310,277541526,293244589,308949662,304214994,317673049,319971275,325617075,348175933,360433514,366152367,380717769,398797351,413809140,449581835,476247420
 "91000","New England",1,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1316606,1363788,1493393,1700258,(D),(D),(D),1561973,1656067,1671536,1563071,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1853006,(D)
 "91000","New England",1,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",576651,622664,672871,744486,641174,450026,581293,818602,878334,736020,814792,961924,756556,1009426,1155531,975296,1101176,819349,820793,515175,702469,717099,964130,968533,1099103,1475748
 "91000","New England",1,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",739955,741124,820522,955772,(D),(D),(D),743371,777733,935516,748279,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),753903,(D)
 "91000","New England",1,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",48481,73548,81694,113968,(D),(D),(D),169727,183252,259556,389102,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),374430,(D)
 "91000","New England",1,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",176,-105,-203,-238,0,(D),(D),537,365,375,1869,(D),(D),400,755,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",49808,73547,80501,110401,122912,(D),153500,164984,181382,255472,384227,(D),(D),(D),(D),(D),(D),(D),(D),(D),378355,360275,(D),439689,368992,350759
 "91000","New England",1,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",-1502,107,1395,3805,(D),3103,(D),4207,1504,3710,3007,4209,2003,(D),(D),5936,(D),7929,1991,352,(D),7538,17255,(D),(D),4977
 "91000","New England",1,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",4766788,4275448,4804835,4443571,(D),(D),4475742,4801985,5503327,7408876,7639095,8718442,8229343,8747277,8114832,8437702,9023181,9546709,9295881,8282502,8982362,9668391,10035438,11831563,14687446,(D)
 "91000","New England",1,SAGDP7N,11,"23","  Construction ","Thousands of dollars",6432340,6693962,7396203,8181034,8717022,(D),9388420,11050437,12524014,12730765,11947253,9097930,9892344,9200901,8873262,9353039,9192373,8961063,9539378,10406508,(D),11424940,12282180,14031744,13275447,11679203
 "91000","New England",1,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",24841923,23957859,21758674,23559391,20296349,26315095,30158043,31981117,32180370,41185928,42747259,40912194,33535846,37052726,34847996,35760638,36177887,35647458,38660921,36401772,34058562,39937971,40516701,42335645,46479939,51208524
 "91000","New England",1,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",17080730,16213368,12450580,14279630,12312893,13787092,18633309,(D),16559645,18401881,19058729,16721444,17194353,23177528,22396181,22723590,21647079,19371300,21807444,20561300,18163967,21292069,22002376,21280511,23187307,26523715
 "91000","New England",1,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",158674,115084,102939,105024,-8084,(D),105748,(D),(D),(D),81838,(D),72335,(D),(D),(D),292374,267434,(D),(D),(D),293440,191173,(D),516374,431326
 "91000","New England",1,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",368716,349769,392846,298481,220035,366711,337876,371867,446570,612109,623351,357780,344315,462836,466147,672787,785102,547164,604660,643104,570523,578084,594980,785986,680747,674132
 "91000","New England",1,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",145119,213000,233356,125616,118434,123632,9888,291935,242587,(D),(D),(D),(D),(D),(D),(D),(D),375219,251615,257089,257515,390963,520851,470440,582233,(D)
 "91000","New England",1,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",2804717,2713265,2569023,2992053,2545594,1845875,1866742,2087702,2283906,2093189,2078833,2119010,3129716,3669693,3406356,3927030,4082351,3451146,3842266,4003214,3299704,2786704,3228005,3425791,2866487,3057059
 "91000","New England",1,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",1445393,1578491,1564560,1178525,1245751,991550,846960,902282,1101336,1763279,905601,916240,652907,974050,1142010,1013750,1556216,1090417,943491,968613,1220607,1355729,1290769,1562522,(D),1840261
 "91000","New England",1,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",7201682,6145741,3690881,5672121,2511885,4521507,8616653,6965921,6511021,6110579,7867701,6893399,5801140,8282759,8783396,8249892,7573477,6848282,6821421,5925813,4930838,6238533,5738596,4799893,5648597,5624028
 "91000","New England",1,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1376694,1075709,1043087,1087778,939156,(D),1400174,850310,905419,1283977,878054,1393530,1184245,1089091,852876,792342,1296543,1139540,(D),983693,987866,1152095,1198348,(D),1134124,1312952
 "91000","New England",1,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",421444,419239,372010,397040,312019,348154,370143,386465,(D),291281,(D),(D),-121070,114124,224875,236728,(D),(D),372407,(D),(D),(D),406742,408358,(D),(D)
 "91000","New England",1,SAGDP7N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",104626,103473,-737688,-502495,1504910,(D),2354503,1925501,(D),(D),(D),(D),2600541,4177008,3384599,3857484,2336830,2014788,3406549,(D),2315052,4363284,5084369,4029566,6078588,8294920
 "91000","New England",1,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",156135,152705,112004,157288,107568,182077,130886,-4262,82703,105107,112655,(D),(D),57996,49446,45230,110710,(D),120348,124908,124946,(D),101760,173362,73499,12319
 "91000","New England",1,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",2897530,3346892,3107561,2768199,2815625,2600296,2593738,2128941,1673899,2204487,1977307,2359738,3022484,3629908,3158822,2986116,2931276,3203273,3758677,4596218,3763286,3693803,3646783,3970796,4019576,4327230
 "91000","New England",1,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",7761193,7744491,9308095,9279762,7983456,12528003,11524733,(D),15620725,22784048,23688529,24190750,16341493,13875199,12451816,13037048,14530807,16276158,16853477,15840472,15894595,18645902,18514325,21055135,23292632,24684808
 "91000","New England",1,SAGDP7N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",937938,870119,1136407,1243315,1075913,1279610,1252080,1108091,1615944,2484360,1926310,1916064,2612748,2282442,1863447,1737511,2047956,2429070,2902410,2444534,2293493,2333609,2579582,2915584,2688213,2073819
 "91000","New England",1,SAGDP7N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",270578,97211,222746,330277,223710,151212,-121640,89153,(D),(D),(D),63949,53427,(D),(D),(D),(D),(D),(D),198209,(D),(D),(D),62439,(D),(D)
 "91000","New England",1,SAGDP7N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",446288,284893,338586,315331,264694,(D),27592,(D),(D),(D),(D),(D),(D),(D),115491,(D),(D),121828,144104,(D),(D),(D),(D),293582,246692,185094
 "91000","New England",1,SAGDP7N,29,"322","    Paper manufacturing ","Thousands of dollars",1688368,1548451,1957837,1744540,1001535,(D),654209,754495,636176,887682,876883,626058,832843,600573,455180,406660,(D),520485,550400,498343,776717,827484,814970,1187800,1148145,1159438
 "91000","New England",1,SAGDP7N,30,"323","    Printing and related support activities ","Thousands of dollars",202960,291385,321805,268809,212092,343028,377745,380696,520136,618470,704428,565101,532319,664626,(D),592514,539727,540031,709912,685333,614442,731370,677630,723818,714848,688533
 "91000","New England",1,SAGDP7N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",145829,242770,157011,176307,244484,(D),555154,574347,448276,392576,364209,507806,389279,385649,403006,441016,399387,(D),(D),(D),(D),(D),(D),328893,(D),(D)
 "91000","New England",1,SAGDP7N,32,"325","    Chemical manufacturing ","Thousands of dollars",3134006,3432243,4051067,4026979,4108658,8445542,7730028,11942619,11648269,17573497,19015291,19776718,10838406,8805052,8111148,8484598,9731266,11292338,10870933,10462136,10711352,13404366,13110279,14768732,17492753,19214146
 "91000","New England",1,SAGDP7N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",935225,977419,1122636,1174204,852370,1047658,1049565,891349,751729,883792,(D),(D),(D),962181,(D),1079578,939061,582103,1026951,1045433,(D),683124,768024,774287,480227,560754
 "91000","New England",1,SAGDP7N,34,"42","  Wholesale trade ","Thousands of dollars",8052027,8134086,8267879,8893775,8463410,8102354,8983119,9669818,10655955,11953478,13148765,14707005,15232514,17218285,17446034,18824165,19602901,19518899,20915386,20038563,19135471,18655010,19519730,21102473,22822143,24923765
 "91000","New England",1,SAGDP7N,35,"44-45","  Retail trade ","Thousands of dollars",8910283,9682267,10037200,10310469,10999236,11404509,12202118,12084981,12463157,12379762,11044120,10763444,12074866,12974071,12112364,12205090,13295929,13337703,14545087,15999439,16729792,17636156,18707601,21143121,24620576,25848896
 "91000","New England",1,SAGDP7N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",2499125,2542868,2555762,2834020,(D),(D),3272203,3688283,4158049,4402336,4322071,4456665,4372943,4713373,4849247,4809290,5029490,5856788,7669308,7533473,8199711,7993950,8158303,7443759,9390318,10184954
 "91000","New England",1,SAGDP7N,37,"481","   Air transportation ","Thousands of dollars",428366,299610,244093,116690,-375086,-197633,90702,144460,370220,268618,529217,428547,560012,699608,832879,872524,891609,1030372,1254326,1358021,1292390,1148221,1358311,353227,987414,1190952
 "91000","New England",1,SAGDP7N,38,"482","   Rail transportation ","Thousands of dollars",80649,69373,72218,82550,(D),(D),(D),151455,(D),181326,167406,223505,260415,317190,251542,228491,242003,(D),269084,283364,331854,378614,357988,(D),437415,(D)
 "91000","New England",1,SAGDP7N,39,"483","   Water transportation ","Thousands of dollars",111376,141874,141703,252488,272424,195374,(D),236293,(D),228315,530265,452966,(D),(D),(D),(D),215803,251006,773728,493124,(D),812659,1020435,693440,867974,902847
 "91000","New England",1,SAGDP7N,40,"484","   Truck transportation ","Thousands of dollars",889819,929057,1009237,1155334,1154721,1139833,1205888,1247778,1259565,1329156,1183491,1147558,1052278,1109693,1123094,1109638,1139121,1314329,1521668,1620663,1806736,1821205,1727146,1979515,2291240,2614915
 "91000","New England",1,SAGDP7N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",387335,396027,421056,461055,485384,486078,571021,573216,570635,663466,655949,726016,747549,858403,996023,1084803,1121558,1221013,1272438,1198706,1367585,1438775,1663997,1325731,1638564,1829432
 "91000","New England",1,SAGDP7N,42,"486","   Pipeline transportation ","Thousands of dollars",3688,37784,29550,7846,11272,13509,19233,25381,28506,27300,32565,42240,49115,(D),(D),(D),167309,449137,(D),(D),(D),(D),(D),895693,(D),(D)
 "91000","New England",1,SAGDP7N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",503053,462799,392300,528834,(D),709740,780466,1045500,1219690,1216874,830074,1013695,(D),945220,914155,838606,(D),1021807,(D),(D),1232036,(D),(D),(D),(D),(D)
 "91000","New England",1,SAGDP7N,44,"493","   Warehousing and storage ","Thousands of dollars",94840,206345,245605,229222,167332,176597,208968,264200,388713,487280,393105,422138,425890,429079,412087,365144,(D),(D),307702,285101,180565,206058,142444,122201,109959,108080
 "91000","New England",1,SAGDP7N,45,"51","  Information ","Thousands of dollars",9179553,9504986,10092496,7039354,9285535,(D),13074624,16141204,18150114,18229862,20196361,23740401,22984982,24886283,24564581,22755665,25089680,24500143,26508849,27922742,27644539,27407958,32160952,32623170,34336004,37252289
 "91000","New England",1,SAGDP7N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",3250367,3201023,4647375,2641604,2675845,4773301,4875336,5975023,7370350,6098117,7715996,7915627,7438489,8781895,9196729,9035474,9715345,9395007,9193059,9600746,9344983,9033380,10753383,11373055,11493058,12689360
 "91000","New England",1,SAGDP7N,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",187157,344368,715831,391888,1204850,886242,531368,722224,306664,502764,646180,879983,1228050,1061092,913243,983316,1181187,1086711,1252943,1415982,1575055,1500673,1273461,1132081,1365072,1372090
 "91000","New England",1,SAGDP7N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",5146104,5258488,4635685,5080638,5301275,5250672,5834089,6545878,7657016,8516246,9351005,10068170,9245636,9284578,8685909,8376008,9582081,9552494,11593028,12336348,12687272,13189517,15480317,14087461,14612494,15257602
 "91000","New England",1,SAGDP7N,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",595926,701107,93605,-1074776,103565,(D),1833831,2898079,2816084,3112735,2483180,4876622,5072807,5758719,5768700,4360867,4611068,4465932,4469819,4569666,4037229,3684387,4653790,6030572,6865379,7933237
 "91000","New England",1,SAGDP7N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",69797843,72693290,74186403,82473028,88397023,87632921,87487061,93189060,99182376,103706717,108541622,102271186,122329713,124386671,122795338,132456335,129706985,133587554,141982911,151147825,155884232,159938552,164538623,171200586,180259902,192740281
 "91000","New England",1,SAGDP7N,51,"52","   Finance and insurance ","Thousands of dollars",19618864,21796626,19528123,24200585,24840645,21647055,21166235,22955781,23881103,27933383,26042577,10530725,28182120,25575172,21620948,31690907,26765924,30994544,38439013,44557676,47821739,45602025,44453405,44385250,44527664,47077126
 "91000","New England",1,SAGDP7N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Thousands of dollars",5376651,6262065,7295577,7858576,(D),(D),8159722,6401483,(D),6980150,6655117,(D),7852103,7581992,(D),11301262,(D),(D),(D),12409074,(D),(D),(D),(D),(D),18086364
 "91000","New England",1,SAGDP7N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Thousands of dollars",2410154,1293599,65441,-1637056,(D),3081793,1829017,921356,(D),3839330,-1503875,(D),1363746,-89972,-4410851,3030964,(D),-97741,-202717,2891407,(D),(D),(D),(D),(D),(D)
