GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "00000","United States *", ,SAGDP7N,1,"...","All industry total ","Thousands of dollars",3286528000,3384009000,3592861000,3733603000,3866608000,4067108000,4337596000,4666186000,5079951000,5378760000,5602614000,5703999000,5742406000,6108737000,6322003000,6600522000,6910942000,7168861000,7369222000,7580439000,7873027000,8295055000,8601459000,8857004000,9848221000,10606096000
 "00000","United States *", ,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",3016877000,3109565000,3309308000,3442433000,3573142000,3763371000,4025338000,4341104000,4734976000,5012331000,5215175000,5293706000,5314193000,5670131000,5862686000,6120545000,6419577000,6659001000,6846996000,7050066000,7327389000,7724343000,8015429000,8240987000,9194171000,9879342000
 "00000","United States *", ,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",83123000,78445000,76857000,83184000,83982000,70100000,91665000,114415000,110069000,95619000,107026000,105993000,88813000,105922000,138000000,130324000,165484000,146091000,129867000,114986000,119689000,123114000,115265000,134451000,178000000,205302000
 "00000","United States *", ,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",72914000,68201000,66680000,72345000,73555000,60154000,80875000,104511000,99852000,84012000,96392000,96282000,79802000,95763000,128959000,120990000,156165000,136114000,118904000,103892000,108581000,111506000,103172000,120574000,164735000,191963000
 "00000","United States *", ,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",10209000,10243000,10177000,10839000,10427000,9945000,10790000,9904000,10217000,11607000,10634000,9712000,9011000,10159000,9041000,9334000,9318000,9977000,10963000,11095000,11108000,11608000,12094000,13876000,13265000,13339000
 "00000","United States *", ,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",46971000,33611000,37785000,60097000,70383000,61950000,84707000,104649000,152198000,186228000,217871000,277513000,181167000,204210000,239851000,229951000,253121000,271006000,130682000,99977000,151393000,184588000,163298000,94924000,217416000,315811000
 "00000","United States *", ,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",33531000,18204000,23475000,44316000,50879000,45482000,65942000,81232000,117464000,133299000,155784000,208789000,123087000,135273000,158593000,158149000,182292000,192135000,80457000,66924000,100192000,123471000,105737000,42691000,156752000,245841000
 "00000","United States *", ,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",9621000,11956000,12699000,12235000,11742000,12149000,13625000,16831000,24590000,31883000,37218000,38911000,41175000,47865000,52550000,42136000,36605000,32460000,24852000,23523000,29480000,27488000,28215000,35246000,42191000,48823000
 "00000","United States *", ,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",3819000,3450000,1611000,3546000,7762000,4319000,5139000,6586000,10144000,21046000,24868000,29814000,16905000,21072000,28707000,29666000,34224000,46411000,25373000,9530000,21720000,33630000,29346000,16987000,18472000,21148000
 "00000","United States *", ,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",97609000,88245000,99227000,94722000,99481000,86515000,92336000,102416000,97996000,117842000,117430000,122186000,136135000,154915000,159377000,152289000,155992000,165154000,164121000,161997000,170362000,171814000,176879000,184996000,223541000,266374000
 "00000","United States *", ,SAGDP7N,11,"23","  Construction ","Thousands of dollars",106712000,122015000,134280000,147997000,155297000,160360000,183127000,219474000,256070000,267533000,267492000,207539000,189759000,174794000,171119000,181584000,198996000,219173000,247932000,281407000,309683000,320092000,342794000,407089000,396304000,378169000
 "00000","United States *", ,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",552767000,553741000,575553000,584861000,542588000,570263000,623527000,678077000,737726000,808279000,838243000,802726000,785858000,865473000,902433000,925720000,955306000,953223000,979886000,937731000,968072000,1070643000,1046516000,995990000,1123187000,1284917000
 "00000","United States *", ,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",293800000,284764000,281064000,290259000,231109000,259868000,292940000,310274000,343427000,365771000,378629000,356742000,310328000,382865000,403647000,422336000,443375000,438647000,451870000,445100000,453371000,469266000,482243000,475128000,481188000,540925000
 "00000","United States *", ,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",7055000,6479000,7058000,5491000,5125000,5169000,6395000,8716000,9204000,6155000,4750000,3668000,4188000,6782000,6758000,8501000,11810000,10286000,10346000,11891000,12656000,12574000,11316000,18472000,31855000,29729000
 "00000","United States *", ,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",16815000,16556000,17723000,15555000,14177000,14931000,15078000,17493000,19464000,20013000,19277000,15661000,14761000,14747000,14941000,18044000,21438000,21623000,24493000,25547000,27458000,27039000,29496000,32406000,33594000,35535000
 "00000","United States *", ,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",13633000,13638000,10444000,10500000,6796000,10495000,8826000,22977000,23518000,28647000,29869000,33557000,13084000,21866000,30596000,32191000,29470000,30318000,26432000,24468000,25463000,31214000,30598000,23965000,38403000,51536000
 "00000","United States *", ,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",37362000,35493000,37828000,38932000,31830000,29937000,32831000,35151000,38882000,38902000,43331000,39820000,37175000,39400000,40558000,44857000,46279000,43423000,43898000,42960000,41922000,42970000,47869000,52594000,39065000,44635000
 "00000","United States *", ,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",27900000,36664000,32704000,30378000,27962000,26835000,26155000,29619000,36094000,39655000,43681000,44349000,41271000,48875000,58274000,61206000,65150000,62297000,50789000,44996000,49184000,50624000,55000000,56514000,53621000,67512000
 "00000","United States *", ,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",82095000,69519000,53992000,71128000,31822000,47206000,71939000,75999000,81809000,88090000,89745000,94598000,92632000,98060000,91408000,90185000,92253000,91189000,96381000,89892000,89654000,92954000,95862000,97424000,100404000,104212000
 "00000","United States *", ,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",19100000,11689000,14282000,13527000,13216000,14598000,16763000,12463000,12911000,20022000,18137000,23645000,21250000,21387000,17708000,19990000,23761000,18959000,25853000,20108000,20200000,21111000,20772000,20809000,16840000,19620000
 "00000","United States *", ,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",47046000,50662000,55674000,55312000,49306000,58994000,64955000,60144000,57758000,55739000,49588000,23697000,-3100000,37313000,49048000,55987000,60969000,65029000,73418000,79904000,80095000,77509000,77439000,67747000,56395000,63809000
 "00000","United States *", ,SAGDP7N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",14846000,15634000,21526000,19240000,23927000,20536000,19807000,17984000,30681000,32432000,46274000,44060000,48174000,51913000,55666000,53105000,57008000,60638000,67773000,66906000,69205000,72978000,74852000,58054000,65712000,78523000
 "00000","United States *", ,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",8017000,8116000,8644000,9267000,7981000,8452000,7695000,7400000,9688000,10139000,8312000,5271000,4690000,4763000,4762000,4739000,5616000,6300000,7788000,7916000,6521000,6937000,7523000,9335000,6543000,5839000
 "00000","United States *", ,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",19929000,20317000,21190000,20928000,18967000,22714000,22496000,22329000,23417000,25977000,25665000,28416000,36203000,37760000,33929000,33531000,29621000,28585000,24699000,30510000,31013000,33356000,31517000,37808000,38758000,39976000
 "00000","United States *", ,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",258967000,268976000,294488000,294602000,311479000,310394000,330587000,367803000,394299000,442508000,459613000,445984000,475530000,482608000,498786000,503384000,511932000,514576000,528016000,492631000,514701000,601378000,564273000,520862000,641999000,743992000
 "00000","United States *", ,SAGDP7N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",57026000,57879000,76956000,74035000,83266000,82582000,82332000,77346000,77572000,91229000,88381000,92182000,122295000,103938000,90965000,97107000,104515000,111211000,133168000,132952000,131740000,123680000,122003000,139457000,144414000,134258000
 "00000","United States *", ,SAGDP7N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",6401000,6625000,7204000,6863000,5712000,5826000,1280000,5002000,4438000,4646000,4182000,3690000,3559000,3975000,3452000,4213000,4614000,5001000,5094000,5566000,4401000,3437000,3668000,4706000,4023000,3705000
 "00000","United States *", ,SAGDP7N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",6819000,5331000,5507000,5956000,4777000,5111000,3139000,2389000,2208000,1581000,875000,807000,969000,1701000,1689000,1555000,1761000,1282000,1253000,1285000,1268000,1259000,1660000,3470000,3315000,1941000
 "00000","United States *", ,SAGDP7N,29,"322","    Paper manufacturing ","Thousands of dollars",22039000,22245000,24994000,27195000,19323000,20518000,17556000,19746000,18650000,25144000,22547000,18380000,28894000,25669000,22885000,22296000,25510000,25571000,28102000,27052000,23688000,27076000,28262000,31885000,30339000,32103000
 "00000","United States *", ,SAGDP7N,30,"323","    Printing and related support activities ","Thousands of dollars",4739000,5582000,7158000,7700000,7722000,8710000,9295000,9686000,10990000,13014000,13487000,12077000,11502000,12555000,12046000,12085000,12880000,12664000,13578000,14258000,13598000,14143000,14024000,13738000,15341000,15014000
