GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "49000","Utah",7,SAGDP7N,1,"...","All industry total ","Thousands of dollars",21744308,22953826,24269931,25469043,26458080,28796632,30443970,33888814,38684201,44136117,47412551,47373672,46612979,50261262,53245474,53671446,55871522,59431180,61677248,66008608,72586394,79841439,87112129,91333597,102548767,111583523
 "49000","Utah",7,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",19288179,20573605,21790770,22945803,23915752,26291354,27950145,31367425,35833937,40966128,44172395,43803739,43165863,46815118,49504248,49958892,52104327,55431700,57547105,61581609,67701366,75055627,82146091,86210133,97345703,105858444
 "49000","Utah",7,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",357912,382978,378501,353565,450763,315094,347981,446720,393869,273745,298427,304140,125095,339247,542127,460033,682281,778667,749484,528070,554680,604748,675094,689575,757339,1481717
 "49000","Utah",7,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",292541,321531,321076,293717,389696,261804,312190,437591,384699,259866,279167,291138,111191,326037,529937,448459,663922,759646,730445,508271,534488,578197,643544,647744,724730,1451466
 "49000","Utah",7,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",65371,61447,57426,59848,61067,53290,35790,9129,9170,13880,19260,13002,13904,13211,12189,11573,18358,19021,19039,19799,20192,26551,31550,41831,32610,30251
 "49000","Utah",7,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",448666,359734,365109,453243,562258,450198,591338,878772,1562146,2056977,2358054,2793475,2483817,2843444,3173687,2554677,2684029,3133469,1606057,1442433,2096741,2129105,2220624,2390546,3389189,3620252
 "49000","Utah",7,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",63862,50873,74109,161126,229459,224139,357959,525927,841846,884817,1119713,1336150,838666,902162,961723,815659,868960,784112,155393,91767,178968,202578,93811,-75061,277777,528251
 "49000","Utah",7,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",372628,298469,292543,273330,265147,188988,189470,281224,595432,867783,834209,976533,1435094,1699989,1905025,1414381,1472212,1932698,1249263,1279240,1763203,1711755,1944123,2343122,2943440,2880887
 "49000","Utah",7,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",12176,10392,-1544,18786,67653,37071,43909,71620,124868,304377,404131,480793,210058,241294,306939,324636,342857,416659,201401,71427,154570,214772,182690,122484,167972,211114
 "49000","Utah",7,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",448635,409197,455278,430118,434001,381517,396317,459586,428372,516320,548138,595707,662303,757278,796548,889717,967866,1072773,1184534,1218522,1390544,1543690,1826539,2631652,3964885,4872627
 "49000","Utah",7,SAGDP7N,11,"23","  Construction ","Thousands of dollars",1181874,1452578,1530624,1506863,1405847,1373490,1551286,1894689,2319557,2717378,3228230,2652069,1866587,1714838,1623605,2295359,2667009,3364967,3987294,4725487,5367289,5775811,6509242,8421388,8583755,9271714
 "49000","Utah",7,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",3166377,3263144,2989626,3528302,2494933,2986640,3532298,3803381,4468535,5606785,6170571,5777898,8437527,9958376,10285907,7870554,7665211,7119611,7445251,6540688,7916554,9657897,10044100,9329723,11774729,14620751
 "49000","Utah",7,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",2246406,2069003,1757526,2087346,1222884,1817139,2226410,2400290,2996235,3775243,4251147,4015308,5379137,6490452,6359889,4999996,4318722,3835327,4352490,3995854,4524003,5054481,4761200,5375630,5415914,6096032
 "49000","Utah",7,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",8502,14051,19997,24608,33133,-3748,87383,3921,17793,43127,34080,8040,2786,(D),(D),11922,17632,6180,5441,14551,31687,88325,(D),(D),114661,85552
 "49000","Utah",7,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",114568,132405,138741,98778,36804,98767,110420,224093,217632,232674,282955,216562,203664,308442,257790,380829,328278,273775,249168,240340,378049,433672,372466,452673,435231,491257
 "49000","Utah",7,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",440797,503227,515471,646618,338337,416452,251379,674923,909459,1459796,1567222,1220185,2823063,3474909,3328247,1573815,1365797,1174623,901632,828553,819624,1017337,1082164,1193077,1279171,1582370
 "49000","Utah",7,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",227341,123924,161185,180373,139813,131564,181071,184932,252136,260197,315863,294852,334886,271597,230371,299936,245874,322399,352838,326253,298258,343351,358253,557862,287846,418220
 "49000","Utah",7,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",106768,118352,52424,33703,79732,67402,67338,58159,74151,32118,115196,62021,136054,44604,31477,155740,231738,161861,209729,164132,154726,221555,195680,242996,305384,342201
 "49000","Utah",7,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",239403,229646,18668,274671,-231027,133830,294935,78304,53026,35664,559611,724417,611350,598251,376067,686607,381763,254085,590227,375761,610236,578430,571434,688618,680192,709289
 "49000","Utah",7,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",65242,43699,19012,19819,10567,43026,67372,61157,64347,120404,103743,178051,132836,156379,150285,151027,178343,135911,197275,95465,128757,181325,206525,243153,232226,337845
 "49000","Utah",7,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",538738,405800,229475,202570,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),443274,423741,377200,645141,449915,(D),(D),(D),(D),(D),(D)
 "49000","Utah",7,SAGDP7N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",222748,108643,146478,205381,(D),(D),(D),(D),(D),(D),(D),(D),(D),568953,346698,242557,290911,175873,234271,401716,(D),(D),462084,381798,(D),(D)
 "49000","Utah",7,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",51662,73100,68566,92641,103972,108803,155415,143166,239530,310581,198206,101808,192889,231393,246257,172820,204068,239636,290776,281938,257907,237548,275513,365102,417473,383503
 "49000","Utah",7,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",230636,316156,387509,308183,201884,249818,351394,279698,379240,379954,422767,526863,617439,667402,1053772,881469,650577,713784,675994,817229,913156,973235,823712,906841,1105784,1117348
 "49000","Utah",7,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",919971,1194141,1232099,1440955,1272050,1169501,1305888,1403090,1472301,1831542,1919424,1762590,3058390,3467924,3926018,2870558,3346490,3284284,3092761,2544835,3392551,4603417,5282899,3954092,6358815,8524718
 "49000","Utah",7,SAGDP7N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",169344,172026,251867,247942,230475,261523,240179,176091,115590,109639,164369,178563,450372,483468,439914,524846,691974,776653,859890,807458,855185,829510,1087431,1338256,1484994,1225650
 "49000","Utah",7,SAGDP7N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",6762,3903,10745,19415,5805,3132,-4454,1317,-3444,-2756,-2098,3157,6281,5373,1910,11391,22900,23465,49233,34014,18090,12022,7972,11390,20512,20478
 "49000","Utah",7,SAGDP7N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",765,1411,512,268,374,1161,-43,632,-849,-2393,-782,-2656,-1475,-337,107,701,4500,-209,1894,4493,2404,6326,6729,39085,24074,12749
