GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "50000","Vermont",1,SAGDP7N,1,"...","All industry total ","Thousands of dollars",5201876,5327179,5752504,6109474,6372131,6826049,7147023,7870036,7927351,8137517,7932498,8651799,9090061,9955886,10316138,10515028,9982306,10431006,10408067,10667532,10766130,10936805,11374841,12173324,13287442,14049275
 "50000","Vermont",1,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",4819454,4929874,5340783,5664228,5915053,6356975,6669774,7372033,7403545,7584887,7361410,8051832,8496261,9367448,9685551,9858694,9311037,9744919,9744523,9953917,10040717,10188289,10594611,11333644,12429592,13073974
 "50000","Vermont",1,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",181026,204739,210476,220241,217538,161935,192114,263421,288377,217889,299967,312513,209320,278403,377746,310912,358891,391087,281327,241505,261316,243928,323203,326619,361684,527234
 "50000","Vermont",1,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",142879,166521,171847,175106,168933,116605,150943,220684,240521,160985,254663,270294,169510,235839,335320,270930,319655,347612,237795,201834,221412,204635,281875,285880,322015,489832
 "50000","Vermont",1,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",38147,38217,38629,45135,48604,45330,41171,42737,47856,56904,45304,42218,39810,42564,42426,39982,39236,43475,43532,39671,39904,39293,41328,40739,39669,37403
 "50000","Vermont",1,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",14135,12500,13580,16998,20915,28575,49883,47554,78434,87760,83015,97854,160450,187521,183842,139572,115887,112213,106428,88469,115630,48327,35701,92777,87228,92135
 "50000","Vermont",1,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",81,-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "50000","Vermont",1,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",14054,12529,13891,17048,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",0,0,-311,-50,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",219683,199729,223939,209319,205778,179731,179762,213920,188207,208635,212271,226751,328395,373604,284155,307877,339473,326756,319522,295868,298567,329266,326714,375619,470103,520583
 "50000","Vermont",1,SAGDP7N,11,"23","  Construction ","Thousands of dollars",165831,179492,220249,271294,325082,353527,342181,387687,388550,388936,326738,241320,332069,309145,304822,298076,244525,188938,175336,205245,219960,205235,216173,300015,260310,183441
 "50000","Vermont",1,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",628041,486995,548711,594129,545475,619451,692249,716898,586046,827731,307731,571936,470647,808492,896188,954993,333647,298431,444940,380177,551422,632134,561498,836721,867634,767276
 "50000","Vermont",1,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",438493,329567,265092,331919,411648,471552,567775,557018,448436,551626,17649,240878,221600,564757,646181,828134,214365,146350,165817,141945,310394,373032,244536,408839,527629,589364
 "50000","Vermont",1,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",28771,26519,1214,11733,13377,31143,33434,38919,49343,35047,13608,10298,4607,11626,6556,47716,68328,72028,55831,62510,59073,62009,40380,51533,63751,55028
 "50000","Vermont",1,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",18793,3188,17261,16243,29408,33228,16287,44586,47705,34139,23815,29720,23620,23832,34773,33288,34222,48851,30658,29648,17747,19725,23478,31083,36322,38920
 "50000","Vermont",1,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",6187,4191,5890,7400,7964,9428,6515,11619,9923,10267,5981,8217,4429,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "50000","Vermont",1,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",66019,62090,53919,73722,137365,15903,76866,57841,-53750,46542,57097,53601,3525,-6097,4105,28427,29679,40075,50097,31536,11552,14375,60415,82262,16521,25121
 "50000","Vermont",1,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",33532,52214,41968,19772,62894,-20320,-26419,-26351,-4055,17833,7479,-5629,138,36136,34593,41327,59945,55658,102778,94543,141540,149873,126273,170873,147723,186561
