GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 "55000","Wisconsin",3,SAGDP7N,1,"...","All industry total ","Thousands of dollars",50591712,53902379,57261584,58951536,61741933,64508768,67963729,73017863,78913043,83052868,85562774,82088882,85918942,94001358,96422764,101721982,104244849,111421306,117358124,120044381,119756355,123455349,129641640,134775205,142718542,148691406
 "55000","Wisconsin",3,SAGDP7N,2,"..."," Private industries ","Thousands of dollars",48259087,51480609,54632112,56144147,58836713,61490504,64864860,69759491,75422977,79208723,81161293,77345128,81176842,88889828,91159120,96167613,98544116,105600425,111476742,113952593,113538638,116941391,122849569,127845305,135060943,140174940
 "55000","Wisconsin",3,SAGDP7N,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",1928073,2196188,2147867,1824164,2245533,1940100,2486908,3040389,2875059,2645430,3209185,2536228,1712259,2692270,4112933,3729060,4234845,4142503,4158250,3130117,3253531,3327002,3174967,(D),5242662,(D)
 "55000","Wisconsin",3,SAGDP7N,4,"111-112","   Farms ","Thousands of dollars",1751616,2032075,1990067,1641655,2053546,1762616,2294778,2853377,2657691,2416074,3022927,2365200,1575021,2519959,3949947,3535574,4030260,3902870,3876489,2834657,2964685,3066125,2918196,4407579,4924297,6324700
 "55000","Wisconsin",3,SAGDP7N,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",176457,164114,157800,182509,191987,177484,192130,187012,217368,229356,186259,171027,137237,172311,162985,193485,204585,239633,281761,295460,288846,260877,256771,(D),318364,(D)
 "55000","Wisconsin",3,SAGDP7N,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",66505,48286,87734,107218,82067,118459,133468,194631,184049,281021,260324,263801,301709,428727,321245,237451,297723,607656,948050,285062,279874,622868,371839,(D),236712,(D)
 "55000","Wisconsin",3,SAGDP7N,7,"211","   Oil and gas extraction ","Thousands of dollars",173,120,122,148,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0
 "55000","Wisconsin",3,SAGDP7N,8,"212","   Mining (except oil and gas) ","Thousands of dollars",66882,48808,88314,107420,81042,116704,131785,193618,182728,277742,257218,261477,299863,428067,321040,235906,296443,607263,948343,286904,278871,622193,370614,208209,231073,459791
 "55000","Wisconsin",3,SAGDP7N,9,"213","   Support activities for mining ","Thousands of dollars",-550,-642,-702,-351,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1226,(D),5639,(D)
 "55000","Wisconsin",3,SAGDP7N,10,"22","  Utilities ","Thousands of dollars",1661053,1508830,1698269,1641792,1669572,1511113,1634595,1730814,1682536,2040114,2109376,2292188,2301045,2654829,2847455,2773121,2870492,3175506,3088484,3283192,3230973,2981390,2961613,2838289,3061479,3741470
 "55000","Wisconsin",3,SAGDP7N,11,"23","  Construction ","Thousands of dollars",1571691,1827151,1943510,2191491,2371941,2390003,2690594,3179541,3446101,3273004,3193297,2780855,2906640,2450992,2319299,2706958,2939856,3169320,3512546,3944165,4306913,4496637,4883793,5872021,5611005,5219600
 "55000","Wisconsin",3,SAGDP7N,12,"31-33","  Manufacturing ","Thousands of dollars",12621049,13506879,14280626,14634179,14260803,14725722,15033370,15102219,16093972,18579675,17613820,14260138,15725248,18449531,18653860,21290769,22378670,22369861,22921787,22963475,20042856,19899577,21345595,22640229,22795860,22950679
 "55000","Wisconsin",3,SAGDP7N,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",7211641,7147716,6844446,7294624,6639272,6619078,7822677,7807884,9091992,10031615,9641585,7544441,5908760,8768465,10243376,11862539,13152695,11514173,11671830,10984156,10657680,10338454,11178675,10727122,11479650,11265661
 "55000","Wisconsin",3,SAGDP7N,14,"321","    Wood product manufacturing ","Thousands of dollars",232804,223388,191336,223270,162536,245245,225219,313943,287934,169738,234538,146065,154985,293313,241082,359109,425733,278835,330054,481062,353663,234367,354334,658012,628558,518580
 "55000","Wisconsin",3,SAGDP7N,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",416321,316006,369379,420678,480369,486975,583513,602312,700311,713745,588350,693906,719879,671894,767640,883936,993476,1010218,1132432,1203203,907873,822045,810330,795248,732430,750290
 "55000","Wisconsin",3,SAGDP7N,16,"331","    Primary metal manufacturing ","Thousands of dollars",245687,172191,73531,91916,123870,286108,198827,476496,500180,428459,442047,465588,24002,-56878,254034,632467,605335,680208,716133,584627,687823,704566,445568,169813,228574,289148
 "55000","Wisconsin",3,SAGDP7N,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",1810064,1605679,1608130,1661273,1339409,1270892,1589386,1721083,1367637,1387337,1566557,1477145,1304162,1498302,1485043,1764946,1764585,1602100,1411238,1508873,1629933,1668078,1895129,2114771,3297060,1605701
 "55000","Wisconsin",3,SAGDP7N,18,"333","    Machinery manufacturing ","Thousands of dollars",1321834,1942093,1477034,1182262,1529527,705184,746312,839770,1067064,1434629,1396045,1599540,1530983,2068834,2869689,3163456,3232083,2946856,2496585,2287957,2535448,2383670,2881202,2933496,2838777,3942427
 "55000","Wisconsin",3,SAGDP7N,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",484471,452903,293584,316753,7085,337592,761272,852183,3083528,2828424,2548667,187127,344036,1218128,710382,889054,1019529,914340,939219,817023,965178,818701,954789,811841,698499,697146
 "55000","Wisconsin",3,SAGDP7N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1500912,1155319,1054995,1207600,1324872,1019644,1540755,1011916,651920,1428632,1268369,1463025,1389966,1327275,1118573,1392540,1600747,1274905,1730217,1257011,1114332,1257306,1058607,813997,628488,670604
 "55000","Wisconsin",3,SAGDP7N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",819733,799520,1141765,1080602,500122,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1080784,(D),(D),(D),1556159,1240627,1205961,1481205
 "55000","Wisconsin",3,SAGDP7N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",21440,69940,236943,714414,710498,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1313493,(D),(D),(D),618591,445968,529107,655523
 "55000","Wisconsin",3,SAGDP7N,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",131656,180518,114327,105415,122148,173392,221467,165579,171578,146874,178684,278379,47726,122978,100418,165552,153230,239443,227774,176941,162505,122244,102708,183341,77037,44490
 "55000","Wisconsin",3,SAGDP7N,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",226719,230159,283423,290441,338835,383009,303331,193690,197956,279756,224633,262772,249859,330376,269032,447513,818677,395025,293900,349171,431741,591846,501258,560008,615157,610547
 "55000","Wisconsin",3,SAGDP7N,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",5409408,6359163,7436180,7339555,7621530,8106644,7210693,7294335,7001980,8548060,7972234,6715697,9816488,9681066,8410484,9428230,9225975,10855689,11249957,11979319,9385175,9561123,10166920,11913107,11316210,11685017
 "55000","Wisconsin",3,SAGDP7N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",1222202,1449696,1713110,1361918,1823048,1800464,1552497,1519713,1539584,1851126,2126726,2069403,3386401,2961246,2673696,3323707,3506488,3600110,4052097,4516875,4100324,3862239,3827841,4452488,4242828,3865370
 "55000","Wisconsin",3,SAGDP7N,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",29890,46218,40224,38362,52342,15132,-4922,41438,9239,126428,53553,10516,86391,118275,71267,90024,69323,67681,61298,62780,84983,97193,148234,157224,177415,105374
 "55000","Wisconsin",3,SAGDP7N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",70082,79719,52446,73844,75857,52988,20268,4495,-4888,-7718,-1116,22662,18838,36519,24620,22313,19642,323,-3876,-10497,8757,3549,10346,40425,9891,5168
 "55000","Wisconsin",3,SAGDP7N,29,"322","    Paper manufacturing ","Thousands of dollars",1985443,2137193,2591797,2856121,2444221,2758834,2492292,2108033,2000162,2414205,2026540,1466423,2531151,1961624,1635045,1853442,1664167,1901939,2078223,2042998,1730817,2025430,2756336,3469005,2837539,2902150
 "55000","Wisconsin",3,SAGDP7N,30,"323","    Printing and related support activities ","Thousands of dollars",127914,221963,187162,238942,230864,529747,658281,566274,632457,815012,924690,866955,869805,770562,795784,950827,910989,952881,817128,814022,782341,764859,941777,651473,780404,826958
 "55000","Wisconsin",3,SAGDP7N,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",41518,64034,34201,37759,52924,51404,106110,96097,140573,113412,164385,269221,220866,233983,326022,313070,383615,596251,472349,300257,450202,132489,106432,76604,116855,210043
 "55000","Wisconsin",3,SAGDP7N,32,"325","    Chemical manufacturing ","Thousands of dollars",1254258,1653457,1950952,1896568,1962551,2034083,1782794,2135221,1773861,2251319,1785818,1352289,1747019,2595407,2192743,2018897,1747750,2911122,2732977,3189886,1328415,1775026,1367962,2076456,2436824,2820860
 "55000","Wisconsin",3,SAGDP7N,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",678101,706883,866289,836041,979723,863993,603372,823063,910992,984275,891638,658227,956017,1003448,691308,855949,924001,825382,1039761,1062997,899337,900339,1007992,989432,714454,949095
 "55000","Wisconsin",3,SAGDP7N,34,"42","  Wholesale trade ","Thousands of dollars",2459947,2426524,2390924,2411645,2231880,2221999,2424261,3069373,3336581,3566101,3866649,4273809,4129773,4626100,4629265,5107894,5539023,5757098,6376816,6194989,6320767,6730783,6721393,8122676,8163205,8887571
 "55000","Wisconsin",3,SAGDP7N,35,"44-45","  Retail trade ","Thousands of dollars",2482227,2819290,2822608,2897879,2970179,3131072,3313373,3116295,3268076,3315601,3008691,2935498,3152288,3288673,3201208,3398870,3996133,4243224,4843243,5340229,5544258,5709993,5957605,7458649,8397699,8835966
 "55000","Wisconsin",3,SAGDP7N,36,"48-49","  Transportation and warehousing ","Thousands of dollars",1266368,1445973,1481939,1644923,1674503,1709600,1863889,2052863,2216106,2458788,1930470,2067071,1887626,2349770,2339743,2268399,2626048,2917458,3222596,3277946,3599848,3653704,3557478,3665885,4344912,4875221
 "55000","Wisconsin",3,SAGDP7N,37,"481","   Air transportation ","Thousands of dollars",50536,33166,27664,18517,5472,825,28908,15132,27011,63144,58461,36538,89130,195575,122916,106046,149557,159131,196076,182765,198123,163306,168013,68020,181843,210016
 "55000","Wisconsin",3,SAGDP7N,38,"482","   Rail transportation ","Thousands of dollars",88460,94313,92362,107436,104932,100102,119588,135043,169480,210831,204604,256314,(D),(D),(D),(D),(D),(D),(D),(D),489521,515745,500667,498019,593468,691849
 "55000","Wisconsin",3,SAGDP7N,39,"483","   Water transportation ","Thousands of dollars",2697,988,160,2342,(D),(D),(D),-1784,829,(D),(D),(D),4261,3693,3140,2434,4595,3098,3163,4166,5800,9334,11264,(D),(D),5279
 "55000","Wisconsin",3,SAGDP7N,40,"484","   Truck transportation ","Thousands of dollars",821233,932731,984943,1099385,1080297,1087986,1193227,1326417,1386435,1472756,1108218,1090314,956931,1198907,1264471,1317429,1341232,1584089,1837997,1944644,2204434,2272373,2170215,2267590,2565879,2901255
 "55000","Wisconsin",3,SAGDP7N,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",95133,106139,116373,130729,141037,140914,158420,171989,166153,177451,141272,163221,162057,177768,193017,198625,195957,209908,211849,186098,193603,175523,159270,157670,221850,265738
 "55000","Wisconsin",3,SAGDP7N,42,"486","   Pipeline transportation ","Thousands of dollars",1702,16896,11586,3896,3912,7354,9908,9755,9027,10459,15994,24552,26608,41822,26756,42659,(D),(D),(D),(D),34082,30944,23959,21968,48320,53764
 "55000","Wisconsin",3,SAGDP7N,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",154401,160020,131323,176774,(D),(D),(D),258847,290682,(D),(D),(D),(D),(D),(D),(D),(D),(D),351188,360247,366536,366168,365579,(D),(D),670123
 "55000","Wisconsin",3,SAGDP7N,44,"493","   Warehousing and storage ","Thousands of dollars",52208,101721,117527,105844,100097,110944,129169,137464,166488,204396,180205,215682,212498,214868,195566,197303,170012,136553,112056,121054,107749,120310,158512,87540,75233,77197
 "55000","Wisconsin",3,SAGDP7N,45,"51","  Information ","Thousands of dollars",2023278,2130718,1962188,1323738,1722659,2377715,2392180,2992314,3339972,3366122,3792475,4263641,4209647,4519110,4465678,4209890,4607404,4574928,4884135,5244393,5359852,5315522,6447730,6586783,6941107,7627110
 "55000","Wisconsin",3,SAGDP7N,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",667483,669217,831937,501975,501347,797427,786857,1040154,1196979,968254,1301228,1379545,1266176,1461251,1546641,1683625,1861869,1919682,1968364,2334139,2385252,2347434,2736317,2892127,2791708,(D)
