GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "04000","Arizona",6,SAGDP8N,1,"...","All industry total ","Quantity index",54.126,59.289,64.333,67.466,69.314,71.527,76.176,79.553,85.202,88.990,92.048,90.747,83.282,84.735,87.185,89.186,89.721,90.580,92.640,95.770,100.000,103.993,107.970,108.858,117.324,121.127,124.369
 "04000","Arizona",6,SAGDP8N,2,"..."," Private industries ","Quantity index",51.152,56.535,61.962,65.268,66.986,69.204,74.066,77.638,83.536,87.467,90.689,88.847,81.114,82.515,85.350,87.668,88.409,89.734,92.219,95.556,100.000,104.623,108.945,110.132,119.408,123.444,126.682
 "04000","Arizona",6,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",66.274,76.901,80.812,88.367,82.159,92.946,84.803,100.070,105.346,99.021,92.098,68.857,68.142,74.494,85.856,66.306,77.327,68.578,84.917,108.732,100.000,97.974,102.951,78.453,67.939,73.482,77.723
 "04000","Arizona",6,SAGDP8N,4,"111-112","   Farms ","Quantity index",66.399,77.810,82.246,93.027,79.034,92.389,81.529,101.577,108.528,93.423,85.259,59.314,59.133,69.331,83.079,59.221,73.857,61.948,81.023,112.580,100.000,95.990,103.148,68.233,54.937,61.604,(NA)
 "04000","Arizona",6,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",63.581,71.286,73.487,72.081,88.351,90.765,91.501,88.969,88.266,107.953,105.503,94.750,92.408,87.844,90.552,89.549,84.630,89.232,95.988,98.730,100.000,103.196,102.707,103.496,101.221,101.446,(NA)
 "04000","Arizona",6,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",85.904,81.549,87.349,90.632,77.441,69.610,74.485,90.876,112.509,137.231,139.764,133.577,109.014,128.860,141.703,126.661,120.807,120.921,90.765,80.854,100.000,94.254,90.616,110.093,140.561,112.646,120.609
 "04000","Arizona",6,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",22.900,39.461,26.887,17.951,2.806,3.786,2.227,1.305,1.257,1.876,2.173,2.997,9.966,10.833,24.174,91.619,84.582,71.074,126.350,145.790,100.000,74.659,76.169,158.866,71.239,53.412,(NA)
 "04000","Arizona",6,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",86.664,82.619,88.565,91.422,78.763,70.521,75.782,92.767,114.952,139.918,142.527,135.171,109.508,129.569,142.510,126.210,120.717,120.673,90.052,80.741,100.000,91.802,89.184,108.725,139.826,111.444,(NA)
 "04000","Arizona",6,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",51.686,37.764,40.648,58.062,34.557,39.638,32.192,28.685,31.424,51.837,51.269,104.075,127.450,142.857,147.035,168.875,141.206,158.286,118.869,71.914,100.000,248.582,178.602,178.979,188.834,208.182,(NA)
 "04000","Arizona",6,SAGDP8N,10,"22","  Utilities ","Quantity index",64.055,61.141,73.524,75.986,64.028,64.576,64.079,68.424,67.420,73.996,80.976,85.306,80.950,89.071,93.729,96.126,95.099,88.937,90.228,99.184,100.000,99.320,102.573,113.192,102.653,92.492,99.922
 "04000","Arizona",6,SAGDP8N,11,"23","  Construction ","Quantity index",104.873,116.721,124.040,131.596,131.608,129.202,134.157,146.708,169.446,183.200,176.902,140.415,92.333,78.919,76.417,72.594,79.422,79.401,82.321,89.681,100.000,109.730,118.112,127.642,133.954,133.792,139.291
