GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "09000","Connecticut",1,SAGDP8N,1,"...","All industry total ","Quantity index",75.204,77.501,79.912,85.394,86.294,85.553,86.433,92.261,94.278,98.395,101.683,101.431,96.953,97.407,95.502,96.266,94.536,95.155,98.172,97.926,100.000,100.258,100.126,94.432,98.164,101.020,103.141
 "09000","Connecticut",1,SAGDP8N,2,"..."," Private industries ","Quantity index",73.649,76.015,78.415,84.145,84.843,83.861,84.883,91.135,93.016,97.600,101.062,100.608,96.082,96.829,94.797,95.910,93.985,94.697,97.969,97.735,100.000,100.604,100.807,94.869,99.080,102.165,104.719
 "09000","Connecticut",1,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",77.990,88.561,100.585,127.781,113.401,111.026,105.301,103.227,115.551,115.848,96.702,96.780,112.529,103.590,79.992,84.783,90.018,81.644,102.651,102.114,100.000,95.580,105.940,92.835,80.026,86.059,(D)
 "09000","Connecticut",1,SAGDP8N,4,"111-112","   Farms ","Quantity index",71.534,83.660,96.944,125.041,105.184,103.980,97.446,96.985,112.572,108.637,90.675,90.543,110.970,101.440,77.174,82.579,89.424,76.974,98.912,97.447,100.000,100.894,112.225,96.085,79.974,87.058,(NA)
 "09000","Connecticut",1,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",112.558,113.943,119.416,142.884,155.718,147.074,145.925,134.032,126.367,148.172,123.728,125.114,114.496,108.915,90.913,90.923,83.920,104.924,119.408,123.313,100.000,71.121,77.095,77.165,80.378,79.668,(NA)
 "09000","Connecticut",1,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",89.735,121.957,127.975,151.755,160.312,154.323,173.413,143.347,117.533,130.158,128.509,86.892,70.442,91.674,73.493,86.483,86.414,102.491,141.094,177.915,100.000,95.642,93.476,118.997,79.513,68.735,(D)
 "09000","Connecticut",1,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NA)
 "09000","Connecticut",1,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",91.704,126.901,131.833,155.897,165.514,159.064,179.733,146.433,123.015,134.077,133.906,88.400,72.032,92.670,71.873,86.908,86.186,101.498,145.175,187.931,100.000,97.837,95.483,122.589,80.724,69.136,(NA)
 "09000","Connecticut",1,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",32.948,33.324,47.494,64.243,68.721,68.310,68.374,69.927,25.951,59.145,40.929,56.317,40.239,70.568,99.166,76.274,86.510,113.047,82.929,42.184,100.000,62.537,63.334,63.606,65.162,68.540,(NA)
 "09000","Connecticut",1,SAGDP8N,10,"22","  Utilities ","Quantity index",90.889,87.586,101.050,101.348,81.151,78.606,81.755,90.757,101.764,104.422,112.067,124.269,114.079,111.420,105.138,121.484,118.898,118.621,108.510,103.387,100.000,100.080,101.362,108.303,99.844,87.562,96.219
 "09000","Connecticut",1,SAGDP8N,11,"23","  Construction ","Quantity index",134.035,134.252,138.187,146.372,144.379,132.729,134.397,143.206,141.587,138.738,137.160,123.299,112.884,108.312,105.796,106.378,102.684,98.888,101.263,102.372,100.000,99.341,99.240,87.895,95.135,86.277,85.682
 "09000","Connecticut",1,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",96.298,96.416,100.176,103.531,104.686,114.714,117.019,138.543,138.676,162.688,167.621,161.576,110.856,113.922,109.717,108.874,111.801,106.178,104.850,95.381,100.000,110.779,113.371,106.710,113.004,118.895,121.764
 "09000","Connecticut",1,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",80.532,81.966,80.160,83.138,84.476,77.516,83.702,84.963,88.663,94.492,96.207,99.452,93.038,105.747,104.365,107.583,108.575,102.772,102.285,94.735,100.000,113.258,118.470,107.709,118.270,127.466,128.626
 "09000","Connecticut",1,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",119.617,117.250,93.178,73.616,102.165,136.704,114.853,93.377,105.200,123.090,145.880,159.730,118.252,80.652,100.798,110.953,115.973,101.302,118.553,112.039,100.000,90.658,97.671,84.125,62.153,57.833,(NA)
 "09000","Connecticut",1,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",147.441,125.653,176.996,166.911,148.152,117.386,106.998,121.751,120.056,96.848,125.595,132.561,98.600,99.447,120.329,132.156,107.434,110.098,108.178,105.442,100.000,99.638,85.484,94.103,102.623,98.108,(NA)
 "09000","Connecticut",1,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",106.719,105.920,117.752,109.041,109.132,113.178,60.115,87.992,69.504,71.650,73.474,70.255,91.133,84.183,87.463,93.265,105.582,92.366,93.966,110.176,100.000,113.717,132.374,119.824,83.778,90.960,(NA)
 "09000","Connecticut",1,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",118.266,119.238,107.374,108.563,90.178,90.737,90.779,99.915,108.988,106.754,110.092,106.075,82.064,91.134,98.377,103.837,110.464,98.685,97.106,96.651,100.000,99.406,100.113,88.923,90.584,86.218,(NA)
 "09000","Connecticut",1,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",184.012,171.234,168.507,162.224,191.240,155.651,144.746,147.515,141.653,152.365,151.379,150.964,116.965,112.315,103.159,126.870,134.789,129.147,108.032,99.072,100.000,95.532,88.447,86.324,91.059,94.413,(NA)
 "09000","Connecticut",1,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",10.980,14.058,16.421,25.893,25.980,25.290,30.314,33.082,37.716,43.770,50.635,66.985,70.823,74.813,83.265,87.635,96.233,113.658,107.344,99.280,100.000,108.709,112.666,98.157,96.633,99.072,(NA)
 "09000","Connecticut",1,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",153.570,132.124,115.530,140.631,138.551,131.872,174.538,131.073,143.249,153.137,121.566,165.438,154.867,154.452,161.034,151.587,170.046,157.131,126.759,109.045,100.000,103.475,112.161,107.136,105.477,102.862,(NA)
 "09000","Connecticut",1,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",75.845,84.764,83.093,87.177,78.290,80.177,81.903,98.234,95.199,110.146,100.363,90.949,34.800,75.995,97.641,92.528,99.342,101.609,102.036,94.666,100.000,101.101,99.976,89.267,89.754,107.673,(NA)
 "09000","Connecticut",1,SAGDP8N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Quantity index",63.475,64.916,55.175,62.209,71.885,69.144,82.838,82.255,85.514,94.441,97.977,96.566,101.090,121.934,110.699,114.683,101.487,90.565,104.425,88.350,100.000,131.234,143.281,126.665,150.337,173.402,(NA)
 "09000","Connecticut",1,SAGDP8N,23,"337","    Furniture and related product manufacturing ","Quantity index",111.356,121.848,115.532,140.695,133.781,118.150,103.011,117.877,129.194,146.022,145.359,120.411,92.543,94.204,95.390,93.032,98.657,104.580,98.058,103.455,100.000,109.650,97.520,102.739,108.641,102.498,(NA)
 "09000","Connecticut",1,SAGDP8N,24,"339","    Miscellaneous manufacturing ","Quantity index",83.585,88.851,103.585,72.606,67.985,48.861,51.496,52.472,56.121,57.025,60.192,62.042,66.422,86.154,87.937,77.724,93.820,97.574,85.144,95.002,100.000,100.417,100.183,99.739,110.391,114.906,(NA)
 "09000","Connecticut",1,SAGDP8N,25,"311-316,322-326","   Nondurable goods manufacturing ","Quantity index",130.188,125.687,147.193,151.166,151.550,212.998,202.997,283.947,273.093,349.274,363.348,330.587,157.773,134.623,123.065,111.990,119.753,114.582,111.169,96.959,100.000,104.821,101.093,104.487,100.731,99.247,105.887
 "09000","Connecticut",1,SAGDP8N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Quantity index",111.197,112.533,114.475,124.638,120.199,132.369,145.229,128.273,155.403,175.099,155.481,117.414,107.296,98.158,100.005,97.392,112.100,101.240,107.523,100.263,100.000,109.146,115.755,104.245,107.811,115.749,(NA)
 "09000","Connecticut",1,SAGDP8N,27,"313-314","    Textile mills and textile product mills ","Quantity index",84.373,80.547,94.335,97.983,85.385,62.255,54.254,64.507,86.829,93.735,118.922,123.678,75.876,72.303,62.496,66.197,71.958,91.463,91.271,104.518,100.000,70.218,64.100,63.653,75.382,73.042,(NA)
 "09000","Connecticut",1,SAGDP8N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Quantity index",252.049,215.105,112.878,133.225,104.153,87.282,111.629,176.578,116.116,59.319,119.450,102.849,44.089,46.448,69.860,76.672,88.316,90.429,98.842,106.348,100.000,41.492,40.104,48.982,45.647,41.110,(NA)
 "09000","Connecticut",1,SAGDP8N,29,"322","    Paper manufacturing ","Quantity index",229.882,211.629,227.925,186.036,171.458,160.265,186.490,169.610,151.931,148.060,130.451,116.558,110.663,72.368,91.534,83.778,101.467,88.385,76.796,56.670,100.000,73.150,87.925,114.768,123.549,115.094,(NA)
 "09000","Connecticut",1,SAGDP8N,30,"323","    Printing and related support activities ","Quantity index",116.090,111.500,108.975,116.079,104.630,105.362,110.376,117.811,117.036,122.405,117.521,112.885,96.026,104.856,109.500,96.048,91.731,91.082,95.668,99.480,100.000,103.630,100.832,85.656,95.322,89.181,(NA)
 "09000","Connecticut",1,SAGDP8N,31,"324","    Petroleum and coal products manufacturing ","Quantity index",111.725,133.072,103.906,85.894,73.342,141.311,153.855,152.292,79.864,60.175,61.317,91.963,113.630,86.467,56.247,63.763,85.950,131.768,105.830,122.151,100.000,91.812,86.791,100.292,60.985,46.359,(NA)
 "09000","Connecticut",1,SAGDP8N,32,"325","    Chemical manufacturing ","Quantity index",117.073,113.361,153.710,160.173,172.258,287.311,256.503,415.671,391.190,531.745,565.166,519.947,206.988,170.901,147.119,127.637,135.298,129.933,121.544,99.971,100.000,112.402,102.553,109.814,101.106,101.320,(NA)
 "09000","Connecticut",1,SAGDP8N,33,"326","    Plastics and rubber products manufacturing ","Quantity index",104.494,101.804,109.203,120.697,105.225,110.592,117.433,114.581,118.796,114.014,113.490,97.141,88.207,95.755,95.513,108.044,96.770,81.355,97.480,91.355,100.000,92.000,95.075,96.357,96.101,78.707,(NA)
 "09000","Connecticut",1,SAGDP8N,34,"42","  Wholesale trade ","Quantity index",72.810,77.860,77.969,84.336,87.393,86.329,91.365,94.007,101.040,106.343,109.952,114.217,102.436,109.471,109.763,115.243,112.591,110.019,111.214,105.373,100.000,97.354,93.217,91.331,93.460,91.010,87.836
 "09000","Connecticut",1,SAGDP8N,35,"44-45","  Retail trade ","Quantity index",73.140,78.766,81.371,84.496,88.432,91.516,95.164,94.546,95.191,91.015,88.025,85.201,82.349,84.175,85.585,87.712,89.633,91.331,94.068,97.062,100.000,103.796,103.944,97.585,97.284,92.997,101.937
 "09000","Connecticut",1,SAGDP8N,36,"48-49","  Transportation and warehousing ","Quantity index",68.462,70.546,69.916,72.885,67.849,65.837,69.452,74.068,77.739,80.432,90.084,86.162,81.078,77.259,78.003,80.334,79.467,88.576,105.684,100.898,100.000,98.223,94.265,95.830,104.619,104.454,110.234
 "09000","Connecticut",1,SAGDP8N,37,"481","   Air transportation ","Quantity index",78.657,80.757,81.138,68.348,43.284,49.492,53.512,64.368,76.223,82.952,119.542,105.669,94.053,101.700,110.925,104.452,96.754,98.202,100.177,100.998,100.000,105.281,98.383,61.180,102.220,131.721,(NA)
 "09000","Connecticut",1,SAGDP8N,38,"482","   Rail transportation ","Quantity index",70.823,84.705,96.158,95.355,87.905,79.344,82.312,79.005,71.182,67.633,64.097,76.222,85.942,82.712,78.056,85.007,86.227,82.340,84.811,92.974,100.000,104.893,99.609,73.707,58.957,69.332,(NA)
 "09000","Connecticut",1,SAGDP8N,39,"483","   Water transportation ","Quantity index",85.754,97.065,85.799,103.272,101.232,72.007,71.320,68.057,57.887,81.566,258.058,188.567,238.047,139.518,156.999,144.891,146.978,145.278,193.788,110.813,100.000,75.061,60.709,45.363,68.538,53.137,(NA)
 "09000","Connecticut",1,SAGDP8N,40,"484","   Truck transportation ","Quantity index",90.943,89.323,92.427,99.130,95.492,90.152,88.250,87.743,87.279,87.883,87.593,81.070,73.660,78.081,83.636,82.160,83.410,87.152,91.312,97.474,100.000,95.007,95.552,97.136,107.371,98.522,(NA)
 "09000","Connecticut",1,SAGDP8N,41,"485","   Transit and ground passenger transportation ","Quantity index",89.180,88.550,99.039,103.580,101.883,102.947,103.697,106.785,105.721,107.586,107.476,111.033,99.306,98.940,100.810,106.992,106.277,111.644,112.290,98.077,100.000,99.092,108.001,85.390,100.194,120.879,(NA)
 "09000","Connecticut",1,SAGDP8N,42,"486","   Pipeline transportation ","Quantity index",3.958,9.355,6.704,4.942,4.183,5.144,6.738,6.806,6.495,5.826,5.930,7.203,7.447,9.453,7.810,19.395,17.864,47.100,115.990,105.477,100.000,98.713,72.207,75.832,77.375,79.122,(NA)
 "09000","Connecticut",1,SAGDP8N,43,"487-488,492","   Other transportation and support activities ","Quantity index",104.194,104.378,99.623,106.034,104.206,106.137,111.551,125.365,137.099,136.344,119.118,125.408,103.179,95.463,86.304,84.447,83.871,91.061,98.013,100.764,100.000,96.982,94.841,111.212,108.259,102.629,(NA)
 "09000","Connecticut",1,SAGDP8N,44,"493","   Warehousing and storage ","Quantity index",51.913,54.029,49.566,49.320,41.011,42.990,57.533,66.493,78.953,82.064,79.641,78.448,81.470,83.609,86.602,91.239,90.656,94.253,93.657,100.763,100.000,106.118,117.799,151.422,172.482,162.492,(NA)
 "09000","Connecticut",1,SAGDP8N,45,"51","  Information ","Quantity index",30.749,32.991,34.326,32.927,35.000,36.570,38.834,43.286,48.982,52.577,61.167,66.030,64.785,66.432,66.122,64.212,73.531,75.885,89.330,97.679,100.000,105.710,118.468,114.915,126.914,135.957,142.302
 "09000","Connecticut",1,SAGDP8N,46,"511","   Publishing industries (except Internet) ","Quantity index",63.877,67.582,80.700,64.879,59.577,64.692,66.506,69.672,74.068,65.239,81.240,82.030,72.334,72.192,77.852,74.131,88.202,90.463,94.438,100.872,100.000,99.788,105.719,105.480,115.274,126.047,(NA)
