GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "11000","District of Columbia",2,SAGDP8N,1,"...","All industry total ","Quantity index",64.435,65.606,68.576,69.073,71.620,73.727,75.183,79.336,81.076,81.049,83.610,86.534,86.111,89.646,91.316,92.010,92.402,94.479,96.137,98.450,100.000,102.798,103.402,102.579,106.238,107.246,108.336
 "11000","District of Columbia",2,SAGDP8N,2,"..."," Private industries ","Quantity index",56.619,59.032,62.669,64.196,66.699,68.553,70.651,75.982,77.569,78.599,82.655,85.511,82.862,86.035,88.234,89.689,90.658,93.862,96.224,98.152,100.000,103.337,104.957,102.045,106.878,109.293,111.213
 "11000","District of Columbia",2,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",45.273,59.094,57.619,62.913,51.938,46.160,45.256,50.180,40.925,50.884,18.087,7.439,6.920,20.700,24.432,31.699,28.400,25.037,32.600,70.718,100.000,87.518,160.690,168.395,272.253,206.752,(D)
 "11000","District of Columbia",2,SAGDP8N,4,"111-112","   Farms ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NA)
 "11000","District of Columbia",2,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",45.273,59.094,57.619,62.913,51.938,46.160,45.256,50.180,40.925,50.884,18.087,7.439,6.920,20.700,24.432,31.699,28.400,25.037,32.600,70.718,100.000,87.518,160.690,168.395,272.253,206.752,(NA)
 "11000","District of Columbia",2,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM)
 "11000","District of Columbia",2,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NA)
 "11000","District of Columbia",2,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NA)
 "11000","District of Columbia",2,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NA)
 "11000","District of Columbia",2,SAGDP8N,10,"22","  Utilities ","Quantity index",67.187,67.368,82.901,91.137,74.938,78.096,80.708,84.778,92.765,95.050,103.551,110.385,109.953,120.601,110.698,101.327,96.995,89.762,92.872,96.278,100.000,109.351,106.788,113.972,121.179,98.927,111.380
 "11000","District of Columbia",2,SAGDP8N,11,"23","  Construction ","Quantity index",61.380,65.778,69.706,81.918,87.496,100.928,99.770,96.461,87.877,78.706,74.748,77.491,69.313,68.843,77.257,94.099,96.873,95.747,92.487,89.817,100.000,101.375,102.315,94.464,92.290,81.444,81.768
 "11000","District of Columbia",2,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",125.871,130.380,119.238,127.994,138.767,138.063,147.461,166.089,138.665,126.540,126.253,121.927,122.601,113.548,119.830,94.030,98.402,86.038,95.642,102.628,100.000,98.976,91.916,93.926,120.808,120.509,(D)
 "11000","District of Columbia",2,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",45.463,49.682,55.392,61.809,63.597,80.972,86.042,104.153,88.069,79.213,67.885,64.424,62.926,55.819,56.228,59.363,72.244,72.150,85.849,99.882,100.000,107.266,100.228,109.220,112.517,108.916,(D)
 "11000","District of Columbia",2,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",765.613,1246.951,1054.648,364.920,355.290,381.865,662.459,856.019,336.912,694.880,162.705,170.564,321.750,279.432,529.298,996.321,746.523,412.375,258.439,162.539,100.000,341.343,893.683,833.147,435.157,55.698,(NA)
 "11000","District of Columbia",2,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",39.198,32.834,28.736,32.731,31.749,34.357,40.975,46.872,52.092,41.438,41.030,46.634,43.320,36.106,43.644,52.393,77.208,100.480,109.181,116.925,100.000,77.933,82.376,86.583,79.839,69.892,(NA)
 "11000","District of Columbia",2,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",27.834,34.790,38.952,42.763,58.375,58.494,67.346,103.358,67.544,64.785,60.223,47.096,68.358,22.434,21.924,29.296,35.337,16.878,48.070,23.164,100.000,193.534,126.413,189.041,149.952,150.193,(NA)
 "11000","District of Columbia",2,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",135.939,160.009,164.271,159.506,34.621,149.374,152.066,155.052,115.906,128.227,179.956,183.771,163.042,157.759,135.069,148.759,120.628,98.232,109.467,96.543,100.000,127.612,120.956,103.625,101.732,99.913,(NA)
 "11000","District of Columbia",2,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",38.687,71.421,69.072,74.584,78.812,95.722,69.349,61.709,48.751,48.834,42.930,18.417,18.556,7.043,9.169,15.738,41.814,29.822,36.233,70.881,100.000,97.957,82.040,86.660,101.380,103.578,(NA)
 "11000","District of Columbia",2,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",15.021,17.808,22.695,27.092,48.323,64.607,71.918,92.524,83.773,61.818,58.700,55.108,58.211,54.244,47.449,47.270,62.431,64.317,74.528,84.152,100.000,108.692,101.629,106.598,118.558,128.841,(NA)
 "11000","District of Columbia",2,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",133.761,113.115,115.128,117.238,144.092,15.422,47.411,78.440,66.482,46.256,15.965,21.387,16.748,23.215,40.067,16.516,24.271,11.592,37.333,58.075,100.000,68.058,35.612,59.457,49.580,52.648,(NA)
 "11000","District of Columbia",2,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NA)
 "11000","District of Columbia",2,SAGDP8N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Quantity index",263.460,237.053,283.160,308.951,313.057,566.697,526.215,579.330,362.556,691.402,161.885,123.117,0.000,0.000,0.000,0.000,0.000,0.000,32.368,78.152,100.000,62.852,0.000,449.594,572.489,392.065,(NA)
 "11000","District of Columbia",2,SAGDP8N,23,"337","    Furniture and related product manufacturing ","Quantity index",94.659,103.593,113.027,115.371,105.001,94.524,95.196,103.986,108.756,113.535,111.319,96.315,97.078,98.237,129.377,123.266,105.145,78.617,126.580,144.986,100.000,102.657,100.555,101.303,90.287,83.291,(NA)
 "11000","District of Columbia",2,SAGDP8N,24,"339","    Miscellaneous manufacturing ","Quantity index",336.808,280.536,248.420,251.971,164.619,163.757,157.533,167.662,78.032,81.659,66.505,90.105,87.424,85.685,73.910,72.069,101.868,98.101,94.088,180.413,100.000,196.093,209.431,87.561,108.247,142.632,(NA)
 "11000","District of Columbia",2,SAGDP8N,25,"311-316,322-326","   Nondurable goods manufacturing ","Quantity index",245.014,244.925,194.418,202.439,227.442,187.873,201.534,213.593,176.568,162.837,177.625,172.982,176.271,166.190,178.197,125.605,122.122,98.579,104.464,105.092,100.000,91.550,84.470,80.253,127.504,129.995,(D)
 "11000","District of Columbia",2,SAGDP8N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Quantity index",145.673,131.360,149.158,147.216,101.442,103.868,103.588,111.832,97.690,58.429,52.548,46.766,42.953,46.525,80.854,99.856,91.857,79.751,110.750,118.109,100.000,84.923,80.931,77.427,113.391,155.710,(NA)
 "11000","District of Columbia",2,SAGDP8N,27,"313-314","    Textile mills and textile product mills ","Quantity index",125.313,112.666,115.189,128.653,56.158,60.430,48.649,66.809,60.480,67.065,73.628,89.215,69.824,51.194,28.363,42.612,44.031,56.309,75.405,77.779,100.000,106.014,106.050,59.728,45.828,88.058,(NA)
 "11000","District of Columbia",2,SAGDP8N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Quantity index",144.402,115.711,75.839,115.547,50.772,62.694,69.476,53.938,64.203,53.674,61.016,73.985,84.565,92.186,119.510,145.319,158.415,173.008,218.906,174.701,100.000,98.044,114.674,71.789,33.468,194.400,(NA)
 "11000","District of Columbia",2,SAGDP8N,29,"322","    Paper manufacturing ","Quantity index",262.167,339.798,271.980,354.773,314.246,362.842,297.779,172.446,110.693,98.855,63.798,51.985,61.983,63.314,61.233,64.925,77.256,80.494,82.986,81.023,100.000,73.985,78.096,139.015,242.029,215.872,(NA)
 "11000","District of Columbia",2,SAGDP8N,30,"323","    Printing and related support activities ","Quantity index",189.174,197.720,105.032,111.946,121.960,115.852,122.690,133.676,135.550,134.406,144.121,158.903,138.348,125.861,92.925,100.001,108.138,104.710,105.786,113.177,100.000,94.614,73.948,38.857,38.865,33.946,(NA)
 "11000","District of Columbia",2,SAGDP8N,31,"324","    Petroleum and coal products manufacturing ","Quantity index",180222.038,197772.337,128717.753,164263.010,308859.370,198068.263,224914.585,412418.409,248639.473,230991.241,254214.221,209266.814,210319.235,229819.644,220310.208,2909.669,238.275,1887.875,3161.019,59.957,100.000,204.317,866.247,314.892,512.308,519.087,(NA)
 "11000","District of Columbia",2,SAGDP8N,32,"325","    Chemical manufacturing ","Quantity index",158.445,156.026,148.859,148.687,178.915,137.597,151.269,106.061,100.269,100.019,115.174,118.181,139.461,120.979,152.214,154.381,148.005,105.709,100.357,96.504,100.000,92.147,88.422,100.459,178.106,164.239,(NA)
 "11000","District of Columbia",2,SAGDP8N,33,"326","    Plastics and rubber products manufacturing ","Quantity index",341.989,223.122,197.904,1.514,160.911,166.448,233.386,43.098,37.505,40.731,72.450,48.222,43.208,50.934,47.989,53.576,49.116,52.748,80.196,67.744,100.000,89.819,96.127,117.438,83.203,48.591,(NA)
 "11000","District of Columbia",2,SAGDP8N,34,"42","  Wholesale trade ","Quantity index",62.838,64.012,69.367,67.308,64.497,64.190,74.308,75.726,78.523,77.349,81.451,83.270,75.755,83.821,82.991,91.420,92.325,97.855,101.281,99.212,100.000,96.691,108.624,114.252,111.087,105.429,106.543
 "11000","District of Columbia",2,SAGDP8N,35,"44-45","  Retail trade ","Quantity index",51.447,55.715,56.390,55.252,56.273,59.092,64.820,66.567,68.768,70.051,69.225,67.605,65.188,73.363,73.729,74.400,77.029,81.607,86.765,95.508,100.000,103.597,104.651,92.351,84.696,81.730,88.184
 "11000","District of Columbia",2,SAGDP8N,36,"48-49","  Transportation and warehousing ","Quantity index",80.463,87.347,92.552,94.809,96.762,80.275,80.415,79.719,76.780,74.646,73.103,77.346,73.988,76.730,80.693,90.260,81.780,86.188,98.420,100.839,100.000,95.478,90.583,62.962,59.732,67.206,71.528
 "11000","District of Columbia",2,SAGDP8N,37,"481","   Air transportation ","Quantity index",138.760,187.710,186.633,86.897,70.049,48.869,51.302,50.193,55.640,49.713,66.649,98.350,66.525,72.689,76.963,72.775,74.750,87.805,143.140,173.995,100.000,37.262,40.204,23.569,34.561,46.103,(NA)
 "11000","District of Columbia",2,SAGDP8N,38,"482","   Rail transportation ","Quantity index",71.575,72.221,79.063,85.678,101.582,83.872,89.489,91.724,84.943,78.725,78.420,82.061,80.556,80.027,80.805,100.156,86.915,94.062,96.406,99.723,100.000,96.135,98.199,55.093,44.671,57.361,(NA)
 "11000","District of Columbia",2,SAGDP8N,39,"483","   Water transportation ","Quantity index",397.584,368.983,302.900,299.435,314.403,214.115,220.587,268.618,301.751,419.173,428.353,520.925,796.327,549.817,498.859,337.574,649.610,117.120,344.707,107.094,100.000,101.809,111.425,169.102,183.139,98.530,(NA)
 "11000","District of Columbia",2,SAGDP8N,40,"484","   Truck transportation ","Quantity index",70.847,64.745,66.402,63.273,61.494,64.266,63.267,54.535,53.249,56.823,58.301,49.998,51.133,69.041,58.771,49.499,48.944,43.887,99.797,108.729,100.000,136.456,37.657,26.174,23.498,23.099,(NA)
 "11000","District of Columbia",2,SAGDP8N,41,"485","   Transit and ground passenger transportation ","Quantity index",63.078,68.666,80.807,111.974,77.340,70.976,72.486,69.580,70.776,75.166,77.080,72.931,66.178,64.789,74.623,84.257,82.854,90.625,90.318,91.859,100.000,102.155,102.260,86.533,86.281,98.701,(NA)
 "11000","District of Columbia",2,SAGDP8N,42,"486","   Pipeline transportation ","Quantity index",25.618,56.842,44.817,33.817,305.159,118.049,84.700,26.345,5.939,6.182,16.041,20.149,20.915,97.236,235.355,345.014,98.413,84.272,168.672,101.309,100.000,81.900,65.412,54.778,105.668,22.036,(NA)
 "11000","District of Columbia",2,SAGDP8N,43,"487-488,492","   Other transportation and support activities ","Quantity index",89.651,94.601,96.628,100.152,92.764,80.836,81.138,79.691,74.050,72.016,57.605,68.434,65.216,75.373,72.509,61.300,67.143,70.999,83.525,85.274,100.000,97.994,92.097,79.168,79.399,83.394,(NA)
 "11000","District of Columbia",2,SAGDP8N,44,"493","   Warehousing and storage ","Quantity index",573.004,856.034,857.272,972.202,1081.041,1104.905,591.471,625.514,677.377,493.791,296.091,40.667,40.062,36.703,39.194,50.107,65.110,135.763,160.668,90.291,100.000,87.952,136.081,30.800,49.448,116.378,(NA)
 "11000","District of Columbia",2,SAGDP8N,45,"51","  Information ","Quantity index",38.798,38.425,43.334,37.708,42.340,50.562,54.738,62.309,70.200,67.976,73.794,75.139,72.027,75.957,76.914,71.190,77.721,77.146,83.517,89.827,100.000,108.519,123.172,139.105,159.246,171.592,178.309
