GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "10000","Delaware",2,SAGDP8N,1,"...","All industry total ","Quantity index",73.707,81.211,87.507,91.134,94.492,91.585,92.468,97.383,95.436,98.356,97.954,94.559,99.469,98.183,102.225,101.447,98.708,106.335,109.569,103.430,100.000,101.870,107.249,104.305,107.017,108.075,106.767
 "10000","Delaware",2,SAGDP8N,2,"..."," Private industries ","Quantity index",72.943,80.899,87.568,91.288,94.843,91.051,92.060,97.453,94.847,98.369,97.591,93.614,98.847,97.745,102.135,101.506,98.721,107.565,111.208,104.254,100.000,101.763,107.844,104.727,107.508,108.436,107.374
 "10000","Delaware",2,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",32.165,40.585,43.037,49.190,57.981,36.926,52.281,66.344,81.973,68.288,53.445,51.356,80.003,65.442,48.189,52.820,67.240,79.993,75.399,78.973,100.000,107.273,93.921,54.960,80.212,111.594,76.100
 "10000","Delaware",2,SAGDP8N,4,"111-112","   Farms ","Quantity index",29.925,38.480,40.766,47.690,57.790,35.695,50.970,65.336,81.882,67.433,52.718,50.286,80.372,64.455,45.903,50.449,65.418,78.267,73.124,76.777,100.000,107.307,93.405,51.831,79.082,111.647,(NA)
 "10000","Delaware",2,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",76.352,81.373,87.038,80.884,66.764,64.229,82.333,89.755,86.189,86.172,68.602,74.358,75.728,84.935,95.735,101.551,97.904,105.325,113.038,115.155,100.000,106.714,102.135,103.376,90.434,88.047,(NA)
 "10000","Delaware",2,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",652.723,704.599,704.174,595.307,517.044,436.422,226.295,177.509,48.910,34.506,9.390,16.642,14.363,15.857,1.470,7.143,48.634,54.759,67.445,71.722,100.000,115.161,108.197,111.919,120.655,121.376,113.051
 "10000","Delaware",2,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NA)
 "10000","Delaware",2,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",319.829,333.445,349.380,348.068,511.448,395.015,197.776,140.882,19.960,11.913,8.845,13.703,14.162,2.675,1.634,7.938,53.157,60.942,75.061,79.820,100.000,104.908,93.296,121.400,130.876,131.658,(NA)
 "10000","Delaware",2,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",351.187,303.754,321.095,396.611,5.832,72.373,23.817,8.771,29.442,7.482,5.127,26.239,0.000,0.000,0.000,0.000,9.151,0.000,0.000,0.000,100.000,216.245,257.904,0.000,0.000,0.000,(NA)
 "10000","Delaware",2,SAGDP8N,10,"22","  Utilities ","Quantity index",80.451,77.937,89.650,83.090,70.510,77.638,73.525,78.013,72.307,85.953,88.653,88.630,82.430,94.076,90.832,89.746,88.306,92.579,97.362,102.615,100.000,93.976,94.179,105.534,98.507,95.638,97.014
 "10000","Delaware",2,SAGDP8N,11,"23","  Construction ","Quantity index",117.016,118.724,127.339,125.625,116.671,114.085,115.282,129.094,129.729,126.079,111.198,107.077,86.348,76.466,81.259,80.537,83.566,87.873,95.259,97.661,100.000,101.288,105.610,103.965,107.191,97.186,97.639
 "10000","Delaware",2,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",103.637,104.310,113.702,112.226,109.349,88.040,93.184,126.124,121.188,128.829,140.666,115.000,106.666,99.765,99.007,86.940,90.361,89.514,104.301,86.845,100.000,105.843,121.363,124.346,123.914,120.399,122.570
 "10000","Delaware",2,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",56.221,72.396,76.360,71.346,62.147,57.163,59.832,75.730,78.604,86.604,97.892,102.173,89.387,95.966,92.820,103.930,92.820,87.438,92.387,88.721,100.000,106.847,110.904,106.272,107.136,108.497,111.101
 "10000","Delaware",2,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",245.145,242.434,238.172,179.775,87.295,87.317,99.563,76.381,83.923,88.691,93.300,107.128,97.679,89.861,105.393,100.813,94.835,85.127,96.080,102.006,100.000,73.704,88.725,76.324,71.139,59.586,(NA)
 "10000","Delaware",2,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",117.761,131.120,115.430,87.351,82.947,98.093,110.828,162.809,135.912,139.985,108.092,104.121,68.663,87.673,78.548,72.866,55.467,61.825,53.301,67.831,100.000,94.638,99.701,103.767,105.245,100.879,(NA)
 "10000","Delaware",2,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",165.774,175.816,196.477,140.473,181.143,180.475,166.892,117.160,108.484,126.006,111.166,137.861,189.292,133.977,149.296,206.266,202.683,85.194,104.893,104.036,100.000,63.380,93.707,85.516,57.577,65.676,(NA)
 "10000","Delaware",2,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",148.373,138.473,166.631,150.352,141.467,133.370,130.621,119.768,104.791,125.208,99.655,118.915,110.522,99.959,111.152,119.030,114.149,96.000,85.356,93.418,100.000,106.040,104.044,81.538,74.856,66.880,(NA)
 "10000","Delaware",2,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",74.929,124.105,91.600,73.240,51.772,35.407,34.251,38.435,52.052,46.271,79.348,76.379,64.858,65.589,69.723,72.259,76.127,87.751,100.762,90.736,100.000,101.460,110.352,140.115,168.049,149.712,(NA)
 "10000","Delaware",2,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",8.045,10.306,10.571,12.692,10.673,12.924,24.216,45.670,47.259,44.128,60.320,68.278,69.964,84.106,76.949,112.590,91.852,86.146,89.444,86.601,100.000,111.566,111.451,102.083,98.968,105.200,(NA)
 "10000","Delaware",2,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",90.767,71.973,123.827,128.652,152.613,148.221,148.315,106.694,105.555,140.495,158.063,184.226,141.454,147.886,139.886,74.090,79.202,89.884,168.745,88.125,100.000,88.396,104.670,83.595,73.658,77.606,(NA)
 "10000","Delaware",2,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",1988.570,3904.533,4088.843,3558.461,2744.348,1857.775,826.988,894.783,882.009,2101.053,2310.522,1385.702,422.154,358.896,316.515,46.502,61.309,66.177,98.037,92.564,100.000,197.609,211.948,70.663,81.761,101.957,(NA)
 "10000","Delaware",2,SAGDP8N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Quantity index",38.457,42.167,35.918,24.233,46.643,35.684,29.436,53.169,113.519,107.139,159.539,176.983,143.905,137.574,128.944,123.046,208.888,187.698,119.021,122.914,100.000,157.958,170.083,137.670,123.932,147.054,(NA)
 "10000","Delaware",2,SAGDP8N,23,"337","    Furniture and related product manufacturing ","Quantity index",179.612,179.347,191.107,175.920,135.937,105.532,113.599,160.630,189.094,87.611,89.505,60.411,40.533,45.530,48.868,49.243,68.076,73.207,68.676,78.682,100.000,113.181,132.790,187.283,198.490,186.097,(NA)
 "10000","Delaware",2,SAGDP8N,24,"339","    Miscellaneous manufacturing ","Quantity index",49.861,52.109,56.292,60.372,53.236,60.927,64.011,65.774,72.733,91.911,92.647,104.521,94.460,108.646,105.126,103.675,58.847,67.435,72.263,86.779,100.000,103.249,98.028,104.067,118.741,126.181,(NA)
 "10000","Delaware",2,SAGDP8N,25,"311-316,322-326","   Nondurable goods manufacturing ","Quantity index",135.496,120.064,133.286,135.166,137.915,105.328,111.991,155.470,145.274,152.411,164.292,121.291,115.401,101.642,102.035,79.405,89.274,90.448,109.595,86.013,100.000,105.410,125.795,132.189,131.224,125.803,127.857
 "10000","Delaware",2,SAGDP8N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Quantity index",57.197,58.354,56.480,40.971,59.665,49.798,42.803,43.800,53.871,60.909,72.439,70.257,83.050,69.139,69.600,68.043,80.251,79.951,78.483,75.773,100.000,95.319,97.108,99.485,108.470,117.125,(NA)
 "10000","Delaware",2,SAGDP8N,27,"313-314","    Textile mills and textile product mills ","Quantity index",116.118,117.055,123.648,115.804,108.304,85.341,92.600,101.894,107.228,110.151,128.558,144.471,134.785,112.265,90.186,95.891,93.512,101.555,94.206,104.266,100.000,97.528,94.099,95.426,92.446,94.281,(NA)
 "10000","Delaware",2,SAGDP8N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Quantity index",742.662,672.301,717.149,509.232,467.654,417.937,158.475,107.766,113.928,82.484,68.444,62.646,60.234,75.948,57.571,57.015,49.139,33.370,32.933,31.776,100.000,98.581,68.667,111.061,75.256,73.411,(NA)
 "10000","Delaware",2,SAGDP8N,29,"322","    Paper manufacturing ","Quantity index",223.272,190.626,267.242,259.923,165.667,246.210,202.907,231.527,168.428,143.261,157.619,119.010,106.809,88.991,70.002,66.785,61.058,61.919,86.335,94.361,100.000,84.559,91.209,104.223,97.342,103.175,(NA)
 "10000","Delaware",2,SAGDP8N,30,"323","    Printing and related support activities ","Quantity index",160.184,159.776,151.775,156.689,155.370,144.336,131.749,132.406,128.828,130.263,132.802,137.038,132.945,136.210,144.959,148.811,146.642,146.792,140.630,122.661,100.000,98.981,96.834,102.189,109.479,102.475,(NA)
 "10000","Delaware",2,SAGDP8N,31,"324","    Petroleum and coal products manufacturing ","Quantity index",51.164,73.250,52.697,54.628,60.445,74.775,83.575,73.364,40.780,32.179,42.259,57.700,68.694,27.572,27.851,49.322,75.552,99.691,96.126,93.125,100.000,118.063,157.464,161.569,109.266,55.612,(NA)
 "10000","Delaware",2,SAGDP8N,32,"325","    Chemical manufacturing ","Quantity index",273.572,215.034,252.738,288.800,298.517,175.898,223.214,372.258,355.836,388.748,403.495,250.376,210.379,198.040,203.590,102.457,102.222,100.139,160.909,91.008,100.000,116.326,159.452,183.054,190.895,199.186,(NA)
 "10000","Delaware",2,SAGDP8N,33,"326","    Plastics and rubber products manufacturing ","Quantity index",102.746,113.500,107.067,94.670,98.952,77.902,72.789,85.315,76.414,63.186,71.110,64.527,68.017,86.732,90.871,114.338,126.494,95.590,101.889,88.756,100.000,103.814,102.021,59.660,58.976,55.472,(NA)
 "10000","Delaware",2,SAGDP8N,34,"42","  Wholesale trade ","Quantity index",83.033,90.061,94.516,103.445,105.660,109.577,130.308,141.160,143.652,158.364,152.258,147.255,128.372,132.303,131.921,129.159,123.906,126.707,118.772,118.284,100.000,101.206,102.712,107.578,106.723,103.841,100.455
 "10000","Delaware",2,SAGDP8N,35,"44-45","  Retail trade ","Quantity index",65.766,72.920,76.753,78.419,74.707,80.370,86.264,90.540,92.138,92.302,89.943,85.373,81.905,84.468,84.702,84.478,87.826,88.330,90.937,96.180,100.000,102.953,104.592,101.086,101.936,96.274,103.636
