GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "93000","Great Lakes",3,SAGDP8N,1,"...","All industry total ","Quantity index",75.377,78.010,81.057,83.306,82.529,84.056,86.044,88.522,90.227,90.876,91.794,90.029,85.591,88.736,90.713,92.276,93.873,96.243,97.627,98.611,100.000,101.971,103.191,99.246,104.472,105.834,107.108
 "93000","Great Lakes",3,SAGDP8N,2,"..."," Private industries ","Quantity index",72.754,75.570,78.752,80.970,80.014,81.576,83.726,86.477,88.330,88.996,90.304,88.267,83.469,86.819,89.256,91.132,93.092,95.773,97.473,98.579,100.000,102.220,103.501,99.439,105.182,106.510,107.913
 "93000","Great Lakes",3,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",64.771,60.494,52.093,61.454,61.887,66.563,72.748,85.280,71.902,85.721,82.252,89.577,92.842,88.396,99.625,81.413,110.310,96.086,87.156,101.165,100.000,110.082,90.352,112.871,131.599,129.927,(D)
 "93000","Great Lakes",3,SAGDP8N,4,"111-112","   Farms ","Quantity index",64.404,58.975,49.486,59.138,57.553,63.556,70.989,86.115,71.090,85.228,82.630,90.643,94.990,89.750,102.377,81.681,113.312,96.607,85.555,101.400,100.000,111.796,88.329,113.675,134.970,133.075,(NA)
 "93000","Great Lakes",3,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",66.314,71.467,71.121,78.859,93.621,88.023,84.287,73.349,74.543,85.444,75.394,76.287,71.023,72.446,71.431,77.900,78.486,89.100,98.091,99.650,100.000,98.873,102.560,107.999,109.143,109.396,(NA)
 "93000","Great Lakes",3,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",73.220,86.892,92.780,86.217,88.585,89.224,82.369,78.113,71.692,75.183,74.837,69.556,76.426,71.948,73.278,74.114,85.777,100.485,124.471,108.480,100.000,100.171,103.601,109.967,90.438,82.458,(D)
 "93000","Great Lakes",3,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",40.156,42.365,33.732,21.076,24.198,41.513,27.138,26.355,23.653,26.670,25.574,22.664,35.281,24.780,25.320,30.715,45.538,62.217,117.612,130.259,100.000,85.763,121.164,193.701,116.633,81.212,(NA)
 "93000","Great Lakes",3,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",123.024,152.440,169.541,164.143,160.649,144.620,145.901,132.400,119.666,116.729,113.199,104.798,108.391,109.910,111.533,107.366,113.420,118.382,131.710,107.884,100.000,102.157,92.040,84.716,81.992,90.446,(NA)
 "93000","Great Lakes",3,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",24.665,21.978,22.520,28.795,41.119,36.559,37.485,50.515,55.848,80.205,98.026,100.865,79.939,73.684,76.919,80.206,97.903,137.949,103.567,66.600,100.000,130.171,117.039,78.362,88.614,94.792,(NA)
 "93000","Great Lakes",3,SAGDP8N,10,"22","  Utilities ","Quantity index",93.179,87.810,104.128,102.774,84.486,83.539,80.011,83.924,80.061,82.178,85.077,92.495,83.946,95.116,98.482,100.888,99.457,96.418,96.351,102.435,100.000,97.508,98.217,103.077,97.182,95.197,99.373
 "93000","Great Lakes",3,SAGDP8N,11,"23","  Construction ","Quantity index",129.407,132.457,137.061,139.545,132.920,126.856,127.511,128.238,121.560,111.187,105.569,96.741,82.209,79.224,80.067,83.935,88.115,89.170,92.848,95.638,100.000,99.995,100.328,97.388,101.435,94.215,96.260
 "93000","Great Lakes",3,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",79.449,82.945,86.181,89.070,83.610,86.005,90.110,94.002,94.378,95.828,100.589,93.324,79.498,90.111,94.813,96.023,98.236,101.262,98.255,98.304,100.000,103.577,102.838,96.924,105.308,106.802,106.186
 "93000","Great Lakes",3,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",74.804,79.040,82.117,86.550,79.233,82.024,87.014,90.151,93.877,95.476,100.145,92.731,67.225,85.133,93.435,97.786,99.568,99.224,98.347,98.028,100.000,102.003,101.614,92.494,101.657,106.270,106.704
 "93000","Great Lakes",3,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",98.378,101.888,97.128,104.975,98.735,100.522,95.433,90.105,97.781,91.454,104.275,95.324,84.460,88.293,96.675,93.935,90.935,83.376,94.298,102.014,100.000,92.475,105.523,97.538,89.630,85.106,(NA)
 "93000","Great Lakes",3,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",122.554,114.599,114.136,117.486,113.047,113.342,121.416,114.511,112.065,99.518,95.359,99.098,85.482,92.499,99.741,101.797,105.838,101.927,100.640,97.483,100.000,102.027,107.423,104.051,106.487,101.649,(NA)
 "93000","Great Lakes",3,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",86.769,93.664,94.148,94.556,83.762,86.978,82.701,90.418,80.137,61.451,71.421,75.204,58.693,70.865,72.302,88.751,103.805,102.686,118.876,124.208,100.000,102.082,107.578,110.781,116.721,144.332,(NA)
 "93000","Great Lakes",3,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",115.863,112.867,116.046,121.800,104.797,102.332,109.421,113.053,111.301,113.440,116.386,109.541,76.772,90.572,97.714,100.032,97.015,99.144,95.564,91.666,100.000,101.375,99.677,87.346,95.966,81.510,(NA)
 "93000","Great Lakes",3,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",104.562,113.560,105.028,99.440,92.647,81.397,82.417,92.760,100.703,105.380,110.502,113.744,89.885,103.092,122.221,130.356,122.026,118.439,107.332,97.384,100.000,105.308,102.119,89.689,99.949,108.498,(NA)
 "93000","Great Lakes",3,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",11.154,14.734,17.559,25.976,28.779,27.797,37.859,46.398,64.766,72.513,84.358,81.238,81.539,94.664,93.544,88.125,99.057,92.018,94.169,90.562,100.000,108.309,110.757,100.011,103.986,103.484,(NA)
 "93000","Great Lakes",3,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",108.839,89.180,99.453,100.488,91.252,95.705,109.524,98.270,94.449,106.441,99.388,104.566,83.988,88.467,85.363,88.206,95.053,88.689,102.957,95.612,100.000,94.298,91.497,87.180,91.625,81.474,(NA)
 "93000","Great Lakes",3,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",64.289,71.406,77.042,81.407,72.332,83.906,90.850,89.818,93.578,100.061,103.225,77.268,33.508,70.585,83.454,90.723,95.292,97.517,94.178,98.750,100.000,103.228,101.925,90.845,107.942,125.639,(NA)
 "93000","Great Lakes",3,SAGDP8N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Quantity index",61.305,68.136,76.256,86.231,83.470,79.128,71.537,77.243,79.413,81.128,95.058,88.918,79.952,75.759,86.244,78.619,81.757,82.881,87.475,95.516,100.000,85.123,87.177,74.976,79.239,85.589,(NA)
 "93000","Great Lakes",3,SAGDP8N,23,"337","    Furniture and related product manufacturing ","Quantity index",136.653,137.031,138.790,144.748,128.596,125.440,124.214,138.198,145.790,138.084,133.524,121.998,83.635,79.880,88.155,91.931,92.875,99.705,100.724,101.102,100.000,105.472,98.741,90.451,91.549,87.192,(NA)
 "93000","Great Lakes",3,SAGDP8N,24,"339","    Miscellaneous manufacturing ","Quantity index",64.468,63.054,66.943,70.342,70.552,75.368,74.419,79.510,85.382,86.488,87.606,90.926,94.025,104.766,101.926,94.170,86.575,89.982,85.638,92.164,100.000,106.376,105.961,104.482,112.206,117.970,(NA)
 "93000","Great Lakes",3,SAGDP8N,25,"311-316,322-326","   Nondurable goods manufacturing ","Quantity index",88.073,89.621,93.134,92.412,91.195,92.684,94.846,100.235,93.806,94.941,99.798,92.913,99.367,97.747,96.842,93.487,96.323,104.315,98.112,98.726,100.000,105.912,104.655,103.619,110.870,108.302,106.391
 "93000","Great Lakes",3,SAGDP8N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Quantity index",93.890,88.939,86.495,82.458,84.356,83.636,86.082,86.957,82.186,90.416,94.283,91.746,94.436,91.861,89.412,84.999,93.286,96.392,99.183,98.102,100.000,97.765,94.402,94.958,101.462,109.591,(NA)
 "93000","Great Lakes",3,SAGDP8N,27,"313-314","    Textile mills and textile product mills ","Quantity index",86.971,81.258,105.464,108.797,100.932,94.503,80.879,105.649,100.944,113.262,107.452,105.176,85.052,95.730,85.986,90.985,98.300,109.228,106.891,103.728,100.000,104.415,104.077,96.244,104.796,98.401,(NA)
 "93000","Great Lakes",3,SAGDP8N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Quantity index",138.312,121.960,115.773,122.886,116.229,101.855,93.705,101.881,97.855,91.936,91.591,104.685,92.408,102.614,102.416,96.003,98.118,98.457,100.192,96.115,100.000,108.873,116.845,118.156,127.010,139.726,(NA)
