GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "16000","Idaho",7,SAGDP8N,1,"...","All industry total ","Quantity index",53.220,56.049,61.454,68.270,66.765,68.335,70.669,75.597,81.349,83.278,84.749,87.582,84.014,85.866,85.972,85.017,88.805,91.568,92.946,96.582,100.000,106.467,111.416,113.551,120.645,125.706,130.135
 "16000","Idaho",7,SAGDP8N,2,"..."," Private industries ","Quantity index",49.217,52.105,57.745,64.952,63.231,64.857,67.376,72.635,78.858,80.894,82.652,85.732,81.886,84.370,84.767,83.585,88.035,91.364,92.640,96.544,100.000,107.312,112.538,115.165,123.011,128.425,132.889
 "16000","Idaho",7,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",53.518,60.853,67.253,73.643,74.796,82.009,67.888,82.331,83.631,89.736,88.596,88.628,83.036,86.538,86.955,85.078,85.660,95.415,104.955,117.315,100.000,116.711,122.812,122.698,98.693,112.848,104.401
 "16000","Idaho",7,SAGDP8N,4,"111-112","   Farms ","Quantity index",48.943,56.840,64.493,72.588,72.481,80.614,63.636,80.382,82.229,86.930,86.845,87.250,82.151,86.121,86.418,84.347,84.448,95.138,105.818,121.691,100.000,117.501,125.452,123.245,94.681,110.522,(NA)
 "16000","Idaho",7,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",81.511,85.692,85.756,84.429,92.149,94.695,95.891,95.867,93.873,107.539,100.456,98.079,89.621,90.840,91.990,91.478,95.643,98.830,101.665,96.861,100.000,112.974,110.698,119.747,118.584,120.659,(NA)
 "16000","Idaho",7,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",76.598,91.284,99.382,93.528,76.319,73.584,80.840,80.419,176.723,143.778,139.173,194.032,173.985,225.334,224.032,125.611,201.868,275.561,180.007,213.308,100.000,95.851,80.447,131.359,163.953,119.823,125.651
 "16000","Idaho",7,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",0.000,0.000,2.829,2.340,4.927,15.377,8.767,12.129,9.934,12.899,22.633,64.711,70.824,46.981,36.396,55.270,33.350,33.443,77.756,220.173,100.000,49.112,23.770,32.834,23.393,21.054,(NA)
 "16000","Idaho",7,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",82.197,98.415,107.336,100.054,81.156,77.794,85.996,84.634,189.820,152.135,143.937,197.623,178.034,230.520,227.286,119.781,202.622,280.428,179.009,214.819,100.000,94.287,80.096,134.175,166.937,119.692,(NA)
 "16000","Idaho",7,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",19.518,18.192,16.613,27.565,25.570,20.408,24.101,33.068,35.734,65.112,113.399,147.088,83.256,183.187,260.654,309.658,317.404,358.234,265.723,173.193,100.000,180.339,141.145,138.191,204.979,231.718,(NA)
 "16000","Idaho",7,SAGDP8N,10,"22","  Utilities ","Quantity index",54.323,51.556,60.409,61.890,53.093,61.058,53.234,57.169,51.924,57.309,57.912,67.228,69.559,87.056,90.152,96.469,99.526,91.698,92.527,98.086,100.000,94.612,94.972,104.960,91.254,92.018,99.971
 "16000","Idaho",7,SAGDP8N,11,"23","  Construction ","Quantity index",116.979,116.767,116.576,113.860,110.777,100.753,103.137,106.378,116.582,126.166,132.453,111.134,88.711,79.223,75.750,79.377,88.769,90.997,93.190,96.374,100.000,103.009,112.181,120.573,138.523,137.177,141.489
 "16000","Idaho",7,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",24.449,26.257,37.740,57.232,46.323,46.359,53.264,63.738,75.547,66.477,67.072,84.457,87.478,94.438,96.460,88.434,88.192,89.854,86.974,88.870,100.000,111.144,112.173,113.525,112.119,120.141,126.014
 "16000","Idaho",7,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",14.888,17.445,23.634,45.517,36.296,40.382,49.618,64.414,80.386,64.836,62.152,85.182,92.022,103.946,103.189,87.620,86.782,90.705,81.010,88.229,100.000,111.851,111.489,106.568,103.417,111.665,119.425
 "16000","Idaho",7,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",85.696,71.706,88.437,63.717,53.085,64.885,64.538,70.561,75.560,70.032,69.504,48.821,47.233,63.695,75.072,87.715,82.320,85.158,90.712,95.201,100.000,95.240,103.212,114.725,94.562,99.386,(NA)
