GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "24000","Maryland",2,SAGDP8N,1,"...","All industry total ","Quantity index",59.440,62.210,64.775,67.373,70.314,72.652,74.476,77.932,81.469,82.527,83.000,84.602,84.131,88.219,90.103,90.455,91.223,92.652,94.754,98.058,100.000,100.692,100.658,97.202,101.549,103.144,105.324
 "24000","Maryland",2,SAGDP8N,2,"..."," Private industries ","Quantity index",56.381,59.252,62.243,65.050,68.395,70.409,72.552,76.667,80.587,81.586,81.920,83.387,82.404,86.875,88.594,89.155,90.088,91.696,94.158,97.941,100.000,100.964,100.853,96.078,101.388,103.025,104.900
 "24000","Maryland",2,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",58.192,64.121,71.685,86.234,84.002,69.018,71.063,86.180,90.296,92.658,72.314,78.070,97.491,80.657,73.329,78.336,86.423,81.705,85.285,90.895,100.000,90.778,99.556,69.345,94.426,100.582,76.802
 "24000","Maryland",2,SAGDP8N,4,"111-112","   Farms ","Quantity index",58.354,64.592,72.470,88.296,83.696,66.318,68.869,83.971,88.910,88.712,68.569,75.378,98.737,79.928,72.348,77.542,86.765,80.951,83.975,89.718,100.000,89.725,99.610,65.027,94.358,100.975,(NA)
 "24000","Maryland",2,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",60.063,64.083,69.964,77.594,90.102,90.607,89.245,104.728,102.842,121.650,99.499,96.792,89.409,84.831,79.478,82.690,80.172,85.232,92.816,97.612,100.000,96.865,99.558,92.615,90.653,92.811,(NA)
 "24000","Maryland",2,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",128.766,148.800,149.976,171.586,180.561,185.791,186.910,187.867,179.981,189.389,191.569,149.886,79.709,146.619,109.293,102.069,91.303,92.582,103.449,91.896,100.000,87.729,108.259,103.962,99.492,89.699,115.907
 "24000","Maryland",2,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",336.005,474.128,396.712,356.562,2236.842,1450.242,920.604,359.146,209.288,119.110,35.161,23.342,39.844,29.119,15.376,17.144,48.390,136.619,337.373,470.632,100.000,78.721,175.268,961.959,869.451,735.098,(NA)
 "24000","Maryland",2,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",169.144,193.245,192.726,218.713,212.322,225.148,230.179,233.345,217.397,223.721,227.591,171.853,80.661,159.344,106.197,96.278,83.145,81.657,101.393,90.662,100.000,90.496,121.684,111.444,103.505,92.196,(NA)
 "24000","Maryland",2,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",3.624,6.863,10.254,15.577,17.551,17.970,19.943,28.604,45.544,64.043,63.704,68.333,70.853,90.985,117.150,120.486,117.409,125.452,107.092,91.906,100.000,78.585,60.645,71.055,81.930,80.596,(NA)
 "24000","Maryland",2,SAGDP8N,10,"22","  Utilities ","Quantity index",62.006,58.784,69.076,67.929,54.854,54.348,57.983,67.852,61.193,67.963,82.224,82.115,78.469,96.925,97.467,91.261,87.190,83.693,91.455,98.038,100.000,97.708,91.626,91.051,75.992,69.769,72.274
 "24000","Maryland",2,SAGDP8N,11,"23","  Construction ","Quantity index",78.605,79.696,83.314,87.931,89.890,87.451,88.562,94.039,90.587,86.629,83.090,78.611,70.401,67.851,68.640,70.364,73.726,77.947,83.327,92.674,100.000,98.733,98.572,95.603,96.022,88.213,89.694
 "24000","Maryland",2,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",62.864,64.671,67.064,66.934,73.080,76.587,74.111,79.771,77.311,82.700,89.387,92.394,94.658,98.878,97.663,88.891,94.405,92.973,92.399,98.069,100.000,101.954,102.240,106.458,108.930,104.733,105.584
 "24000","Maryland",2,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",42.154,45.814,45.058,44.627,48.996,56.593,58.910,63.653,63.035,65.973,70.387,86.580,84.148,84.616,91.028,84.307,86.644,85.628,86.032,94.088,100.000,104.211,105.996,101.949,106.749,104.262,104.242
 "24000","Maryland",2,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",84.066,88.058,83.335,102.740,90.869,143.543,113.378,102.874,112.874,127.893,127.430,117.636,123.818,97.445,122.505,90.456,85.935,89.092,97.664,95.824,100.000,99.691,138.616,138.481,120.478,120.547,(NA)
 "24000","Maryland",2,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",98.270,85.941,92.414,92.251,97.248,91.600,94.826,108.660,113.475,104.406,90.312,86.415,70.067,67.937,75.285,81.563,101.890,111.030,106.697,101.041,100.000,107.052,115.687,109.005,108.389,97.580,(NA)
 "24000","Maryland",2,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",621.413,569.155,515.825,453.022,380.627,503.850,456.309,287.148,208.205,144.986,131.226,138.717,190.231,218.295,221.900,92.182,31.547,48.711,60.029,80.416,100.000,72.354,97.046,95.010,54.133,89.904,(NA)
 "24000","Maryland",2,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",140.856,142.272,128.276,144.001,137.581,125.932,135.221,130.280,138.700,136.038,142.073,151.213,114.095,112.382,99.556,98.181,94.226,95.750,89.805,89.413,100.000,101.922,106.137,97.114,97.979,84.804,(NA)
 "24000","Maryland",2,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",106.042,111.951,113.684,94.130,97.674,121.307,81.037,112.960,80.393,110.321,83.125,75.317,62.035,73.831,85.829,73.061,69.814,68.418,68.232,90.954,100.000,103.833,75.991,65.638,72.316,77.584,(NA)
 "24000","Maryland",2,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",5.915,7.743,8.137,8.025,11.925,15.844,21.620,27.418,29.563,32.958,44.170,69.208,75.640,73.736,80.772,78.585,84.023,83.449,83.523,87.639,100.000,102.461,111.946,106.168,118.220,115.354,(NA)
 "24000","Maryland",2,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",95.429,72.992,94.615,129.366,142.124,80.978,103.786,71.802,87.898,96.867,132.546,159.313,102.303,95.189,81.084,82.184,95.564,81.023,103.759,94.926,100.000,98.515,86.933,101.725,84.506,75.290,(NA)
 "24000","Maryland",2,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",326.044,318.776,292.246,299.070,280.743,309.201,285.039,295.164,261.948,221.941,147.992,114.435,43.465,78.354,106.021,105.631,142.698,113.324,111.088,129.064,100.000,93.611,96.248,66.530,70.382,85.528,(NA)
 "24000","Maryland",2,SAGDP8N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Quantity index",80.939,97.646,89.881,89.304,130.677,134.919,136.993,134.460,133.335,109.664,123.228,161.176,168.011,176.995,192.467,158.616,140.940,99.834,105.304,128.146,100.000,131.434,116.931,129.541,131.200,135.769,(NA)
 "24000","Maryland",2,SAGDP8N,23,"337","    Furniture and related product manufacturing ","Quantity index",70.820,71.877,75.977,75.162,59.429,62.623,61.823,65.217,71.875,84.896,82.548,61.274,53.994,55.910,60.661,64.349,76.374,79.797,85.823,94.730,100.000,109.711,88.503,81.918,64.950,57.457,(NA)
 "24000","Maryland",2,SAGDP8N,24,"339","    Miscellaneous manufacturing ","Quantity index",31.713,36.515,30.789,34.706,29.215,40.596,48.360,43.615,54.371,62.512,59.951,61.374,57.659,51.978,57.023,63.477,66.445,85.300,83.007,100.300,100.000,100.553,109.765,116.697,124.658,120.347,(NA)
 "24000","Maryland",2,SAGDP8N,25,"311-316,322-326","   Nondurable goods manufacturing ","Quantity index",89.674,86.767,94.788,95.226,103.497,100.165,90.611,97.170,92.234,100.661,110.012,96.741,104.136,112.183,103.431,92.779,101.189,99.381,97.937,101.510,100.000,100.048,99.076,110.387,110.932,105.402,106.921
 "24000","Maryland",2,SAGDP8N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Quantity index",132.367,106.067,111.031,103.011,105.348,107.504,96.327,108.087,110.653,130.870,146.469,143.036,132.809,123.926,109.488,111.551,118.688,127.565,104.774,96.689,100.000,103.915,98.131,103.203,112.009,115.572,(NA)
