GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "23000","Maine",1,SAGDP8N,1,"...","All industry total ","Quantity index",73.531,76.410,80.349,84.060,85.818,87.946,90.289,93.546,94.586,95.215,95.289,94.991,93.288,95.171,94.332,93.938,93.672,94.586,96.131,98.471,100.000,102.866,105.318,107.016,112.491,114.941,117.111
 "23000","Maine",1,SAGDP8N,2,"..."," Private industries ","Quantity index",70.459,73.681,77.867,81.631,83.429,85.560,87.967,91.513,92.614,93.288,93.421,92.946,91.275,93.653,93.359,93.210,93.049,93.874,95.872,97.968,100.000,103.347,106.236,108.277,114.323,116.787,118.941
 "23000","Maine",1,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",82.825,96.742,108.890,124.461,127.147,120.538,119.192,107.656,109.915,117.804,96.390,94.464,101.494,105.391,93.129,90.465,83.824,84.759,103.297,102.903,100.000,98.293,100.529,96.502,95.687,106.215,140.578
 "23000","Maine",1,SAGDP8N,4,"111-112","   Farms ","Quantity index",64.309,94.556,109.683,130.174,115.333,106.536,98.853,98.431,112.884,123.524,99.852,102.541,126.800,135.575,102.016,100.953,93.400,85.256,106.845,105.163,100.000,104.791,120.088,103.095,106.907,122.355,(NA)
 "23000","Maine",1,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",93.954,97.697,108.129,121.150,133.388,128.095,130.540,111.757,106.126,112.342,92.647,87.613,84.236,85.386,86.882,83.001,77.019,84.838,101.511,101.788,100.000,95.047,91.053,93.027,89.746,97.042,(NA)
 "23000","Maine",1,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",19.283,25.566,39.756,41.574,47.966,45.288,39.288,40.764,29.446,29.699,34.701,50.032,35.491,40.845,40.324,62.163,71.915,61.239,82.066,83.739,100.000,114.638,82.767,150.714,116.485,74.249,(D)
 "23000","Maine",1,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NA)
 "23000","Maine",1,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",14.401,23.799,37.477,38.741,47.638,45.036,38.766,40.660,29.579,29.833,27.338,43.453,34.756,39.336,37.771,60.015,69.381,57.200,82.077,83.751,100.000,111.739,81.981,150.498,116.318,74.143,(NA)
 "23000","Maine",1,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",18185.360,7969.123,10793.578,12983.710,3040.562,2617.878,3640.291,1629.054,0.000,0.000,0.000,3963.201,3645.343,10062.245,19945.825,14181.395,16824.208,28862.602,0.000,0.000,100.000,23478.270,5847.293,0.000,0.000,0.000,(NA)
 "23000","Maine",1,SAGDP8N,10,"22","  Utilities ","Quantity index",115.550,102.163,114.718,101.374,100.495,94.454,85.861,90.793,90.969,99.412,106.117,107.540,95.568,104.211,101.688,103.943,104.112,98.307,96.030,100.900,100.000,97.343,96.999,105.323,99.518,107.940,(D)
