GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "91000","New England",1,SAGDP8N,1,"...","All industry total ","Quantity index",66.357,69.064,72.173,77.338,78.453,78.817,80.538,83.867,85.553,87.956,90.045,90.547,88.502,91.279,91.847,93.173,93.211,94.536,97.503,98.464,100.000,102.206,104.311,101.568,107.362,109.693,111.666
 "91000","New England",1,SAGDP8N,2,"..."," Private industries ","Quantity index",63.606,66.499,69.724,75.190,76.290,76.596,78.466,82.039,83.737,86.346,88.494,88.889,86.881,90.086,90.529,92.456,92.491,93.945,97.277,98.382,100.000,102.466,104.912,102.241,108.755,111.213,113.190
 "91000","New England",1,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",76.094,81.182,92.238,107.449,108.320,106.752,105.580,102.247,110.408,119.148,101.170,102.162,110.917,115.643,98.828,97.017,90.603,87.671,100.271,100.772,100.000,97.081,103.558,96.403,91.560,93.693,(D)
 "91000","New England",1,SAGDP8N,4,"111-112","   Farms ","Quantity index",74.551,83.133,95.239,113.859,99.813,99.004,93.680,96.889,111.054,110.668,94.650,102.483,112.663,111.918,90.995,91.366,91.253,88.187,100.864,100.944,100.000,100.862,115.734,97.779,86.829,92.635,(NA)
 "91000","New England",1,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",82.803,84.450,95.181,108.291,123.394,120.959,124.043,112.895,114.689,132.610,111.894,104.803,112.332,122.285,109.716,105.026,89.972,87.211,99.741,100.623,100.000,93.785,93.267,94.843,95.684,93.298,(NA)
 "91000","New England",1,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",73.435,95.448,108.553,121.849,132.343,131.359,138.156,125.122,104.200,109.813,122.243,88.317,87.166,87.114,74.399,76.554,76.935,88.984,109.859,130.122,100.000,95.491,96.457,105.044,81.435,74.128,(D)
 "91000","New England",1,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",227.841,267.176,78.639,43.417,0.000,6.805,106.351,105.200,69.179,46.481,141.378,120.179,82.447,55.089,82.729,133.724,135.265,120.530,262.786,582.270,100.000,66.255,301.197,177.098,113.237,68.643,(NA)
 "91000","New England",1,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",74.778,98.386,111.319,124.512,138.601,137.689,142.981,128.661,108.387,114.133,125.488,89.424,88.600,87.901,73.386,76.054,75.527,88.339,111.124,132.267,100.000,95.547,94.543,105.009,80.907,73.262,(NA)
 "91000","New England",1,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",33.334,34.150,47.495,58.870,33.880,32.103,48.119,52.614,28.887,34.417,54.453,58.193,54.560,70.201,94.298,80.897,99.375,99.714,82.154,78.837,100.000,95.673,126.426,99.314,90.047,95.603,(NA)
 "91000","New England",1,SAGDP8N,10,"22","  Utilities ","Quantity index",80.904,76.569,88.305,88.507,77.062,71.706,73.344,77.937,79.984,88.109,91.927,104.451,88.800,97.036,95.074,100.069,101.809,98.813,97.724,95.760,100.000,102.111,104.562,120.492,117.974,125.286,(D)
 "91000","New England",1,SAGDP8N,11,"23","  Construction ","Quantity index",112.705,115.106,121.480,129.370,131.051,125.589,124.827,127.670,122.950,115.737,109.522,99.189,90.301,88.364,88.376,90.993,91.171,89.849,93.972,97.342,100.000,102.314,104.257,97.117,102.996,94.349,94.887
 "91000","New England",1,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",63.996,67.814,71.488,80.813,79.042,83.164,90.191,96.494,96.928,108.740,116.165,112.726,94.104,102.466,101.677,101.602,102.165,101.628,103.577,99.950,100.000,106.787,107.020,104.949,110.896,111.281,109.222
 "91000","New England",1,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",49.607,54.712,57.140,67.497,67.742,67.914,77.345,79.347,81.128,87.314,94.369,94.335,86.955,101.924,104.348,104.735,102.925,99.562,102.086,100.717,100.000,106.455,107.207,100.856,109.161,110.777,109.561
 "91000","New England",1,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",91.686,91.582,87.478,100.498,83.884,103.201,91.205,99.050,107.514,103.617,102.829,103.236,82.449,89.611,101.883,101.005,104.103,94.184,94.117,102.134,100.000,93.246,89.006,90.724,76.464,72.859,(NA)
 "91000","New England",1,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",108.606,107.793,112.033,109.995,103.873,109.610,107.337,113.621,117.807,120.393,127.018,109.080,88.022,101.456,107.512,120.040,123.772,106.611,103.819,102.445,100.000,100.271,99.682,102.139,98.465,94.068,(NA)
 "91000","New England",1,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",92.889,101.911,120.635,113.977,113.836,104.126,91.772,93.508,80.756,81.809,76.589,80.093,106.970,97.065,102.088,114.809,102.071,94.444,99.797,113.338,100.000,101.173,126.462,145.729,114.440,122.289,(NA)
 "91000","New England",1,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",120.553,115.497,110.570,121.325,108.623,95.052,96.056,102.000,103.698,102.694,99.746,98.397,85.949,102.081,103.866,108.805,109.835,103.700,101.056,99.916,100.000,94.878,95.149,88.127,90.028,79.340,(NA)
