GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "41000","Oregon",8,SAGDP8N,1,"...","All industry total ","Quantity index",55.353,57.829,59.309,64.333,64.064,65.370,68.480,72.293,74.815,78.579,80.132,81.958,78.459,80.138,82.453,83.070,84.071,86.820,91.153,95.227,100.000,103.890,106.374,105.381,110.892,112.935,115.331
 "41000","Oregon",8,SAGDP8N,2,"..."," Private industries ","Quantity index",51.523,54.140,55.540,60.873,60.266,61.716,65.282,69.635,72.476,76.353,78.154,79.951,75.955,77.862,80.199,81.449,82.800,85.738,90.518,94.954,100.000,104.072,106.311,105.690,111.484,113.337,114.689
 "41000","Oregon",8,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",81.213,77.261,85.416,90.674,88.538,97.627,104.214,102.483,109.672,124.740,95.490,93.062,98.438,85.562,79.654,83.054,83.274,87.302,101.815,114.856,100.000,112.804,106.366,111.625,102.303,99.451,122.178
 "41000","Oregon",8,SAGDP8N,4,"111-112","   Farms ","Quantity index",77.964,73.900,82.381,93.718,85.979,94.750,97.831,96.897,110.597,131.453,94.894,92.132,106.597,85.863,77.085,77.741,79.034,84.032,104.070,128.430,100.000,112.381,104.198,103.453,87.990,88.756,(NA)
 "41000","Oregon",8,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",87.820,83.974,91.861,89.421,94.965,104.795,116.889,113.766,110.473,117.704,98.762,96.854,88.661,86.280,84.965,93.639,91.718,93.892,99.652,97.834,100.000,113.341,109.018,121.329,120.416,111.340,(NA)
 "41000","Oregon",8,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",95.212,121.386,153.224,152.069,151.199,161.396,165.906,175.858,165.488,164.096,187.382,128.228,114.419,89.691,79.112,66.866,71.516,74.029,73.201,98.722,100.000,101.517,93.993,114.900,122.263,112.204,130.834
 "41000","Oregon",8,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NM),(NA)
 "41000","Oregon",8,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",92.407,120.635,153.934,151.924,155.426,166.134,170.781,181.579,170.423,166.802,190.822,129.234,111.312,84.938,71.954,62.357,67.173,70.464,70.468,98.549,100.000,99.554,91.819,114.053,119.572,109.091,(NA)
 "41000","Oregon",8,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",71.093,63.625,65.810,82.753,31.099,30.803,31.781,25.590,30.150,60.875,55.959,54.945,128.382,155.815,241.950,178.474,176.598,148.321,127.235,93.445,100.000,152.327,148.607,128.613,199.865,212.617,(NA)
 "41000","Oregon",8,SAGDP8N,10,"22","  Utilities ","Quantity index",75.873,72.350,84.624,84.911,71.429,74.418,69.856,76.701,67.173,71.479,67.984,87.239,75.446,94.184,116.079,110.807,104.605,94.310,89.066,100.576,100.000,90.608,97.181,109.594,100.054,100.834,109.679
 "41000","Oregon",8,SAGDP8N,11,"23","  Construction ","Quantity index",126.395,121.166,115.716,116.495,102.528,94.485,92.063,96.531,100.994,106.742,107.986,97.686,77.599,67.120,65.786,72.974,76.598,79.856,82.743,91.723,100.000,108.139,111.427,112.438,116.228,111.494,113.910
 "41000","Oregon",8,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",24.819,28.894,29.648,39.057,38.714,43.428,50.958,61.270,62.834,69.624,73.226,79.053,74.434,78.977,87.236,84.025,86.351,86.391,91.002,93.151,100.000,102.180,100.327,103.634,103.232,104.943,98.732
 "41000","Oregon",8,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",18.694,22.396,23.249,32.180,32.449,36.901,46.018,55.890,57.253,64.042,68.314,77.139,69.946,77.296,87.903,85.472,86.088,85.641,89.895,93.203,100.000,101.106,100.200,103.354,102.647,105.025,97.443
 "41000","Oregon",8,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",96.984,89.236,91.026,86.648,83.284,85.806,86.521,95.359,97.429,91.209,93.747,83.073,66.100,76.069,92.025,99.755,107.662,88.905,93.062,92.130,100.000,95.680,94.470,111.355,126.410,117.111,(NA)
 "41000","Oregon",8,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",82.083,79.374,68.523,69.782,71.825,77.562,70.854,150.390,99.984,91.433,88.890,88.432,63.398,72.946,116.112,91.055,94.781,84.973,96.463,95.161,100.000,99.313,107.324,99.438,104.674,105.150,(NA)
 "41000","Oregon",8,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",40.740,34.573,41.418,53.643,58.482,52.987,49.991,68.466,66.434,70.571,52.471,68.791,72.990,49.824,66.163,74.632,99.885,94.209,103.495,119.488,100.000,101.581,118.234,105.571,79.724,91.434,(NA)
 "41000","Oregon",8,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",101.999,94.223,92.188,99.908,78.849,86.120,95.651,96.702,102.702,100.355,114.750,100.786,68.910,70.571,78.114,94.152,88.774,90.574,88.473,91.646,100.000,100.495,100.949,94.477,96.498,83.804,(NA)
 "41000","Oregon",8,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",61.873,53.951,59.583,77.442,56.322,66.990,56.580,76.337,76.926,81.005,92.846,85.293,56.543,73.951,80.114,73.040,98.913,93.425,88.746,90.868,100.000,115.554,96.437,103.671,120.016,123.201,(NA)
 "41000","Oregon",8,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",7.420,10.622,11.063,18.300,19.903,23.720,34.268,41.630,43.340,51.265,57.106,72.821,71.983,80.867,91.202,85.143,78.493,81.654,86.839,90.803,100.000,99.295,99.928,103.592,96.336,102.874,(NA)
 "41000","Oregon",8,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",58.064,70.907,67.642,80.840,97.213,45.400,47.043,62.160,63.865,85.045,76.077,92.620,73.145,81.610,82.349,54.444,84.167,67.613,105.882,103.277,100.000,90.350,84.532,77.675,83.717,77.438,(NA)
 "41000","Oregon",8,SAGDP8N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",74.610,64.319,66.429,75.778,61.417,85.020,89.032,114.048,129.569,140.099,146.318,109.413,36.989,79.197,90.748,111.743,107.865,105.752,105.458,93.277,100.000,110.905,84.817,116.296,147.292,155.055,(NA)
 "41000","Oregon",8,SAGDP8N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Quantity index",62.352,52.129,56.994,59.739,51.960,58.328,59.594,80.147,63.658,96.729,105.621,55.375,54.579,55.697,55.461,54.708,80.492,87.971,93.350,101.467,100.000,106.666,111.830,95.589,99.857,106.538,(NA)
 "41000","Oregon",8,SAGDP8N,23,"337","    Furniture and related product manufacturing ","Quantity index",97.166,98.830,101.839,110.120,98.022,118.932,128.782,119.120,139.328,144.434,123.289,98.759,66.361,57.931,62.092,65.865,71.802,78.516,97.116,113.095,100.000,101.513,92.281,88.641,86.794,81.286,(NA)
 "41000","Oregon",8,SAGDP8N,24,"339","    Miscellaneous manufacturing ","Quantity index",58.649,53.907,58.269,58.652,56.299,64.455,56.578,65.698,74.731,79.767,89.802,102.441,94.776,99.047,96.447,104.814,106.109,108.310,87.030,80.067,100.000,115.318,104.381,105.411,115.674,124.837,(NA)
 "41000","Oregon",8,SAGDP8N,25,"311-316,322-326","   Nondurable goods manufacturing ","Quantity index",81.043,82.893,81.210,88.106,81.625,87.049,79.371,90.986,93.786,99.677,98.568,86.443,95.134,86.525,84.240,77.669,87.182,89.258,95.305,92.950,100.000,106.355,100.851,104.741,105.498,104.639,103.824
 "41000","Oregon",8,SAGDP8N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Quantity index",62.108,61.654,51.692,55.566,57.413,64.750,57.028,62.867,69.433,78.957,84.168,71.182,78.221,65.308,64.257,62.859,74.495,78.831,83.959,82.571,100.000,108.029,96.549,96.122,98.782,105.569,(NA)
 "41000","Oregon",8,SAGDP8N,27,"313-314","    Textile mills and textile product mills ","Quantity index",59.106,69.010,92.919,97.298,100.555,105.600,91.159,180.644,169.611,184.025,179.582,117.848,95.075,93.200,91.233,129.605,106.147,114.257,121.649,120.162,100.000,103.635,97.059,91.856,93.756,88.438,(NA)
 "41000","Oregon",8,SAGDP8N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Quantity index",63.912,51.355,57.187,64.532,77.295,55.381,41.866,115.892,121.069,166.635,172.712,117.893,120.151,126.828,121.149,127.229,109.432,97.986,130.838,116.908,100.000,107.733,112.156,137.994,138.774,139.883,(NA)
 "41000","Oregon",8,SAGDP8N,29,"322","    Paper manufacturing ","Quantity index",168.788,177.429,180.929,177.650,123.891,159.555,127.000,175.106,180.438,163.030,131.102,124.478,178.601,154.554,144.162,132.631,134.916,118.018,118.426,111.709,100.000,98.373,95.213,127.333,110.713,102.039,(NA)
 "41000","Oregon",8,SAGDP8N,30,"323","    Printing and related support activities ","Quantity index",101.874,111.151,106.406,110.644,112.309,110.273,108.356,109.190,109.040,118.881,126.469,126.725,93.390,99.272,120.954,105.008,108.423,123.599,121.323,113.583,100.000,104.094,100.417,81.239,88.513,85.042,(NA)
 "41000","Oregon",8,SAGDP8N,31,"324","    Petroleum and coal products manufacturing ","Quantity index",63.261,85.981,72.034,68.356,72.933,87.700,96.306,87.617,60.866,47.631,42.655,63.188,78.919,71.002,50.159,53.419,68.438,97.952,84.360,94.839,100.000,62.250,88.844,113.586,78.530,72.985,(NA)
 "41000","Oregon",8,SAGDP8N,32,"325","    Chemical manufacturing ","Quantity index",99.007,97.102,121.247,167.574,159.082,125.963,132.507,135.670,112.021,130.999,124.279,105.134,110.860,111.572,105.328,78.321,100.619,91.557,111.207,111.575,100.000,113.360,121.412,132.436,133.444,137.560,(NA)
 "41000","Oregon",8,SAGDP8N,33,"326","    Plastics and rubber products manufacturing ","Quantity index",76.662,77.160,87.536,94.671,86.559,88.269,92.620,96.233,113.404,107.742,106.742,86.290,85.077,103.052,98.476,81.848,81.079,86.479,100.164,94.610,100.000,117.746,116.223,110.731,128.851,86.648,(NA)
 "41000","Oregon",8,SAGDP8N,34,"42","  Wholesale trade ","Quantity index",73.089,78.030,78.723,86.041,84.172,85.730,92.034,99.371,104.369,106.980,110.887,110.052,94.383,98.550,97.524,101.250,88.643,90.715,95.258,97.792,100.000,101.571,102.664,105.142,107.634,103.254,98.340
 "41000","Oregon",8,SAGDP8N,35,"44-45","  Retail trade ","Quantity index",60.549,67.231,67.800,68.823,68.615,71.539,74.490,75.412,77.546,80.226,78.318,74.190,70.434,73.072,71.682,72.718,76.490,79.004,85.006,91.655,100.000,105.314,109.023,107.642,107.802,106.958,113.834
 "41000","Oregon",8,SAGDP8N,36,"48-49","  Transportation and warehousing ","Quantity index",77.561,80.202,79.764,81.741,71.302,69.491,73.282,80.698,85.756,87.393,86.505,84.322,77.036,81.173,80.375,83.352,83.836,87.674,90.425,94.080,100.000,102.295,103.651,96.395,110.091,108.675,110.312
 "41000","Oregon",8,SAGDP8N,37,"481","   Air transportation ","Quantity index",71.886,68.553,67.545,53.672,33.061,32.533,35.639,43.133,52.690,44.532,56.103,56.492,58.498,74.723,67.310,77.270,75.605,80.036,81.007,89.616,100.000,105.378,103.740,40.468,86.836,108.006,(NA)
 "41000","Oregon",8,SAGDP8N,38,"482","   Rail transportation ","Quantity index",106.600,110.541,113.850,119.019,115.327,104.827,111.546,121.544,121.300,121.313,115.601,112.768,93.728,94.305,93.303,92.890,96.768,100.366,103.951,97.831,100.000,100.303,91.448,78.785,87.042,90.307,(NA)
 "41000","Oregon",8,SAGDP8N,39,"483","   Water transportation ","Quantity index",167.666,150.313,117.295,166.016,135.637,94.274,99.473,92.693,119.469,164.905,178.429,197.613,187.487,139.422,138.440,151.236,198.262,166.360,125.850,119.026,100.000,97.903,74.147,72.078,62.400,51.004,(NA)
 "41000","Oregon",8,SAGDP8N,40,"484","   Truck transportation ","Quantity index",76.415,78.290,80.237,84.360,75.434,73.670,76.242,78.238,80.827,87.357,87.693,79.572,71.013,75.239,77.706,79.081,80.789,86.303,91.002,93.805,100.000,96.690,95.541,95.937,102.775,91.516,(NA)
 "41000","Oregon",8,SAGDP8N,41,"485","   Transit and ground passenger transportation ","Quantity index",57.010,48.918,52.745,56.321,57.691,58.861,58.121,60.929,60.264,63.978,65.877,67.163,68.242,71.419,74.782,83.819,81.474,86.695,89.555,91.305,100.000,109.332,115.490,86.984,98.972,126.476,(NA)
 "41000","Oregon",8,SAGDP8N,42,"486","   Pipeline transportation ","Quantity index",133.142,277.080,333.851,255.322,50.605,34.614,60.978,65.502,75.872,93.847,99.950,99.758,42.157,40.982,64.897,68.396,69.302,63.242,95.660,93.596,100.000,102.564,97.662,130.081,170.648,155.429,(NA)
 "41000","Oregon",8,SAGDP8N,43,"487-488,492","   Other transportation and support activities ","Quantity index",89.056,93.905,90.287,97.440,93.831,96.985,106.328,127.207,129.464,126.625,109.256,109.825,95.711,94.982,92.096,87.552,86.404,88.394,93.566,96.818,100.000,102.216,102.483,122.137,127.221,125.687,(NA)
 "41000","Oregon",8,SAGDP8N,44,"493","   Warehousing and storage ","Quantity index",55.105,69.998,68.001,72.436,68.777,69.135,69.451,78.409,87.506,88.387,84.832,87.304,81.947,81.280,82.693,89.035,87.698,91.942,88.610,95.454,100.000,115.467,149.380,190.745,206.815,184.480,(NA)
 "41000","Oregon",8,SAGDP8N,45,"51","  Information ","Quantity index",29.668,31.249,35.786,35.828,39.266,39.630,41.728,46.849,49.988,53.667,61.007,65.950,64.555,68.474,70.170,69.729,73.054,77.016,84.519,88.221,100.000,106.430,116.055,123.348,146.945,165.348,177.973
 "41000","Oregon",8,SAGDP8N,46,"511","   Publishing industries (except Internet) ","Quantity index",24.125,26.060,32.668,30.761,32.124,34.956,39.944,45.075,50.508,50.526,62.092,62.651,59.290,64.691,67.805,67.821,71.038,76.165,82.357,89.041,100.000,107.690,118.986,125.656,148.919,161.162,(NA)
 "41000","Oregon",8,SAGDP8N,47,"512","   Motion picture and sound recording industries ","Quantity index",20.648,25.009,37.080,29.852,53.293,44.879,27.879,34.208,28.853,39.624,58.127,66.665,79.203,65.577,76.461,79.375,76.166,76.392,89.657,97.624,100.000,96.819,95.365,86.527,93.970,100.958,(NA)
 "41000","Oregon",8,SAGDP8N,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Quantity index",49.889,50.301,53.822,60.611,59.514,55.485,57.517,61.178,65.730,69.994,71.107,73.627,69.913,71.431,68.835,69.721,77.720,79.170,87.662,82.549,100.000,100.382,99.046,97.362,103.455,111.003,(NA)
 "41000","Oregon",8,SAGDP8N,49,"518-519","   Data processing, hosting, and other information services ","Quantity index",12.919,15.046,13.886,9.462,18.428,23.652,26.173,33.522,32.056,41.185,43.580,61.776,63.797,73.723,75.242,70.625,69.593,75.889,82.919,90.672,100.000,115.388,140.478,167.580,222.074,273.803,(NA)
 "41000","Oregon",8,SAGDP8N,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Quantity index",64.635,64.795,66.228,69.065,70.711,69.184,70.125,69.760,74.600,75.996,79.500,81.672,83.873,85.201,85.705,86.091,85.043,88.683,91.607,96.191,100.000,103.357,104.970,105.183,109.334,108.128,105.303
 "41000","Oregon",8,SAGDP8N,51,"52","   Finance and insurance ","Quantity index",69.115,77.592,73.818,78.574,74.604,77.625,77.579,75.086,80.892,83.829,83.667,74.892,91.569,84.392,87.075,91.952,80.883,92.661,97.310,101.076,100.000,100.124,101.462,104.202,108.108,101.656,98.713
 "41000","Oregon",8,SAGDP8N,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Quantity index",78.721,93.923,85.265,80.323,74.468,87.877,88.917,78.790,77.329,83.663,78.225,69.455,106.717,90.928,101.165,110.909,86.115,96.144,95.635,89.960,100.000,96.451,97.620,94.812,101.009,82.689,(NA)
 "41000","Oregon",8,SAGDP8N,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Quantity index",81.492,84.976,90.553,115.181,133.203,123.656,117.234,106.881,122.439,138.711,114.893,63.330,124.438,115.025,92.866,117.626,115.090,93.923,94.147,103.070,100.000,105.568,98.668,103.755,99.771,117.015,(NA)
