GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "97000","Rocky Mountain",7,SAGDP8N,1,"...","All industry total ","Quantity index",54.070,57.921,61.458,65.610,66.507,67.417,68.648,71.094,75.024,78.262,81.605,82.680,80.687,81.833,83.295,84.302,87.291,90.651,94.157,96.237,100.000,104.559,109.552,109.329,116.661,119.324,122.808
 "97000","Rocky Mountain",7,SAGDP8N,2,"..."," Private industries ","Quantity index",50.721,54.889,58.623,63.039,63.815,64.592,65.913,68.638,72.879,76.516,80.309,81.130,78.935,80.208,81.895,83.120,86.598,90.288,94.119,96.103,100.000,105.110,110.551,110.305,118.520,121.211,124.774
 "97000","Rocky Mountain",7,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",59.442,63.925,71.166,74.755,80.574,79.569,73.592,84.195,93.257,90.809,87.076,85.304,90.798,93.281,90.726,85.401,88.295,96.119,111.424,120.174,100.000,115.873,121.126,111.228,95.703,91.639,90.466
 "97000","Rocky Mountain",7,SAGDP8N,4,"111-112","   Farms ","Quantity index",58.270,63.067,71.444,75.626,80.970,79.515,72.280,85.312,96.147,90.753,87.375,85.635,92.059,95.049,92.011,85.544,88.512,97.117,114.347,125.149,100.000,117.746,124.113,110.678,92.258,87.438,(NA)
 "97000","Rocky Mountain",7,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",70.109,72.938,74.371,75.226,83.977,85.494,86.470,81.636,80.007,93.490,87.594,85.556,85.789,85.657,86.034,88.889,91.371,93.795,97.676,96.044,100.000,106.664,106.680,112.915,112.574,113.968,(NA)
 "97000","Rocky Mountain",7,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",44.255,47.059,46.568,45.739,52.823,53.800,57.115,61.702,72.656,84.211,85.654,89.438,96.319,86.733,86.484,80.877,86.901,101.264,105.274,96.285,100.000,101.534,109.904,105.242,96.785,88.684,100.862
 "97000","Rocky Mountain",7,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",34.782,33.635,28.158,22.653,27.596,34.043,35.594,40.896,47.134,53.842,50.619,53.825,70.017,54.560,50.171,50.475,54.653,66.903,96.672,104.706,100.000,92.918,109.819,111.742,88.837,71.951,(NA)
 "97000","Rocky Mountain",7,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",105.710,121.289,130.025,131.143,129.737,121.070,127.610,113.833,132.350,133.353,143.581,135.601,140.089,142.366,143.945,117.458,129.032,132.363,114.569,106.461,100.000,91.910,95.885,109.739,109.326,110.980,(NA)
 "97000","Rocky Mountain",7,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",16.508,15.519,14.723,23.920,40.969,32.368,37.285,52.306,70.255,113.463,132.995,152.472,94.855,101.190,125.112,128.373,130.513,163.069,107.675,61.526,100.000,144.455,134.802,82.830,94.409,113.038,(NA)
 "97000","Rocky Mountain",7,SAGDP8N,10,"22","  Utilities ","Quantity index",68.835,66.050,76.116,76.197,67.249,69.165,67.731,73.554,71.406,77.796,75.311,82.615,75.885,90.249,94.266,96.771,96.647,93.612,96.599,100.925,100.000,97.752,105.463,121.495,126.941,125.035,(D)
 "97000","Rocky Mountain",7,SAGDP8N,11,"23","  Construction ","Quantity index",82.296,90.125,94.475,98.578,96.106,90.074,87.469,87.617,89.728,91.776,94.883,87.361,71.444,63.852,63.013,68.040,76.491,83.886,89.434,94.828,100.000,105.379,110.425,113.620,120.055,115.219,115.161
 "97000","Rocky Mountain",7,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",42.258,45.362,49.024,59.158,54.953,56.111,60.800,67.597,72.667,77.343,85.848,89.323,90.884,95.662,95.891,90.898,92.140,93.433,96.546,93.851,100.000,107.472,112.017,112.151,119.040,118.664,(D)
 "97000","Rocky Mountain",7,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",30.825,34.293,37.476,49.467,44.428,49.110,53.853,61.769,68.716,72.767,79.524,82.300,84.559,94.741,96.281,92.968,93.609,92.324,93.995,93.713,100.000,107.077,109.449,110.602,115.937,118.931,(D)
 "97000","Rocky Mountain",7,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",81.068,75.564,82.433,75.881,70.330,69.856,72.062,74.609,82.333,79.794,88.104,76.684,62.677,67.088,74.352,79.830,84.059,79.365,88.860,94.882,100.000,96.479,96.563,95.203,86.562,86.250,(NA)
 "97000","Rocky Mountain",7,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",68.892,70.248,76.006,75.400,75.354,69.615,78.495,89.569,87.715,87.162,91.221,90.798,72.839,80.005,80.209,93.189,98.895,94.048,97.260,92.725,100.000,106.751,106.577,103.368,98.613,97.521,(NA)
 "97000","Rocky Mountain",7,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",61.939,69.000,67.923,79.607,67.101,61.458,57.916,87.279,76.889,91.072,95.463,87.626,228.639,224.188,202.279,143.033,142.345,124.487,124.523,120.345,100.000,109.577,141.008,177.880,135.502,155.449,(NA)
