GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "48000","Texas",6,SAGDP8N,1,"...","All industry total ","Quantity index",51.583,55.182,57.413,59.371,61.207,62.531,63.103,66.646,68.578,73.480,77.300,77.202,77.104,79.353,82.179,86.268,90.673,93.542,98.010,97.994,100.000,104.752,108.133,106.290,112.365,115.396,121.929
 "48000","Texas",6,SAGDP8N,2,"..."," Private industries ","Quantity index",49.485,53.378,55.654,57.544,59.415,60.598,61.063,64.988,66.973,72.254,76.229,75.847,75.467,77.787,81.031,85.463,90.333,93.478,98.317,97.987,100.000,105.278,109.051,106.811,113.543,116.703,123.750
 "48000","Texas",6,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",67.856,66.520,82.477,85.082,79.221,95.029,103.014,102.165,101.705,93.367,81.543,61.729,67.726,95.874,69.576,66.034,76.576,81.671,113.159,97.661,100.000,99.245,88.624,88.182,98.983,70.926,76.456
 "48000","Texas",6,SAGDP8N,4,"111-112","   Farms ","Quantity index",67.107,64.394,82.038,84.839,79.164,97.223,106.280,105.316,104.212,91.385,79.000,56.309,62.059,97.038,66.754,61.993,74.984,80.237,116.110,97.237,100.000,98.274,84.111,81.194,95.458,64.249,(NA)
 "48000","Texas",6,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",69.061,75.576,82.393,84.025,77.401,80.747,82.697,82.556,85.870,100.429,92.105,91.434,98.809,95.079,90.385,95.166,88.186,92.222,99.053,99.568,100.000,103.679,108.469,118.461,112.144,106.767,(NA)
 "48000","Texas",6,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",55.771,56.364,54.099,42.138,53.034,59.325,49.557,47.920,47.914,54.764,61.126,59.552,70.654,58.816,62.344,77.442,85.291,96.529,110.030,100.718,100.000,107.342,129.740,124.213,103.130,92.837,114.699
 "48000","Texas",6,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",59.055,60.447,55.859,39.338,48.558,58.355,46.516,43.702,42.075,46.397,51.394,48.782,64.034,49.801,50.546,65.580,72.088,80.232,108.989,111.990,100.000,97.990,129.210,139.072,107.091,91.763,(NA)
 "48000","Texas",6,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",54.991,66.377,88.200,75.236,77.582,70.900,74.681,76.042,74.116,76.753,79.128,76.269,78.516,69.162,58.754,65.280,76.945,81.657,99.094,91.662,100.000,101.849,101.779,117.664,100.006,111.546,(NA)
 "48000","Texas",6,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",25.778,24.245,25.431,31.319,44.898,34.652,38.200,45.125,58.601,82.932,96.686,107.370,79.551,89.589,115.927,123.236,136.067,164.409,111.507,69.240,100.000,144.434,136.338,90.341,100.016,118.909,(NA)
 "48000","Texas",6,SAGDP8N,10,"22","  Utilities ","Quantity index",80.199,77.978,94.255,103.648,92.345,86.312,86.461,88.081,84.687,91.274,91.089,89.400,79.383,90.443,98.533,95.691,95.115,89.167,91.153,96.867,100.000,102.099,103.684,97.512,103.204,106.632,117.820
 "48000","Texas",6,SAGDP8N,11,"23","  Construction ","Quantity index",70.622,76.850,81.713,87.034,87.622,85.275,84.907,78.373,79.946,84.281,90.665,90.570,82.250,78.877,79.698,87.031,90.485,94.621,98.170,100.030,100.000,99.418,102.153,98.936,100.438,94.597,95.645
 "48000","Texas",6,SAGDP8N,12,"31-33","  Manufacturing ","Quantity index",50.488,54.480,53.757,58.189,59.911,61.681,64.794,84.564,82.320,93.799,102.158,94.063,89.199,99.931,104.910,99.960,110.365,98.231,99.893,97.065,100.000,111.906,104.311,94.886,103.846,105.661,109.446
 "48000","Texas",6,SAGDP8N,13,"321,327-339","   Durable goods manufacturing ","Quantity index",29.857,35.778,35.930,43.272,42.069,45.143,47.310,58.632,64.709,78.773,82.955,92.083,80.849,89.638,102.259,99.727,104.337,104.944,97.483,96.780,100.000,109.373,105.773,96.213,100.398,107.340,111.645
 "48000","Texas",6,SAGDP8N,14,"321","    Wood product manufacturing ","Quantity index",82.475,95.228,92.870,91.071,83.726,88.289,86.033,77.690,81.473,85.226,94.176,93.996,92.245,83.660,94.217,103.740,99.336,86.495,86.128,108.150,100.000,102.712,96.919,104.760,97.021,96.479,(NA)
 "48000","Texas",6,SAGDP8N,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",71.693,76.105,85.667,85.430,84.431,90.772,82.730,92.070,102.375,92.897,92.303,96.442,71.084,68.276,69.608,77.534,90.448,98.755,98.475,92.870,100.000,90.541,93.849,90.881,98.217,97.856,(NA)
 "48000","Texas",6,SAGDP8N,16,"331","    Primary metal manufacturing ","Quantity index",57.610,63.897,64.573,73.983,84.808,75.654,71.881,100.591,79.380,81.702,80.220,95.939,101.962,93.214,106.325,119.133,125.122,121.566,129.087,118.720,100.000,98.114,107.037,142.479,156.682,200.732,(NA)
 "48000","Texas",6,SAGDP8N,17,"332","    Fabricated metal product manufacturing ","Quantity index",83.694,86.740,78.610,87.768,85.807,81.341,79.275,81.108,94.454,107.596,122.903,120.700,89.970,95.223,113.420,125.782,121.629,127.580,106.270,91.736,100.000,114.973,109.678,96.031,86.720,89.785,(NA)
 "48000","Texas",6,SAGDP8N,18,"333","    Machinery manufacturing ","Quantity index",54.732,55.112,54.129,63.397,57.097,50.991,53.453,81.129,91.882,110.971,126.886,127.193,95.463,118.887,146.444,149.022,145.321,146.663,99.238,84.215,100.000,119.138,111.501,88.427,92.937,105.328,(NA)
 "48000","Texas",6,SAGDP8N,19,"334","    Computer and electronic product manufacturing ","Quantity index",11.454,16.705,16.542,23.521,24.081,30.738,36.244,52.949,58.565,83.326,77.254,103.178,98.810,116.729,126.181,99.491,101.105,101.049,115.401,121.679,100.000,104.840,103.217,109.604,112.262,111.029,(NA)
 "48000","Texas",6,SAGDP8N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",79.945,69.038,81.710,85.915,79.247,84.602,87.356,82.261,89.938,111.925,98.445,112.815,96.783,99.222,89.639,87.369,103.415,95.102,102.352,88.808,100.000,110.204,110.217,95.172,96.429,98.585,(NA)
