GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "56000","Wyoming",7,SAGDP8N,1,"...","All industry total ","Quantity index",64.480,65.934,68.758,70.744,75.327,76.824,79.230,81.818,86.291,97.436,105.009,110.688,107.919,104.029,103.481,101.235,102.096,104.431,106.495,100.620,100.000,100.949,102.493,96.175,98.164,99.133,104.523
 "56000","Wyoming",7,SAGDP8N,2,"..."," Private industries ","Quantity index",63.558,65.126,68.255,70.358,75.321,76.565,78.868,81.778,86.881,99.573,107.465,113.345,109.970,105.304,104.716,101.733,102.271,105.027,107.776,100.885,100.000,101.411,103.727,96.533,99.005,99.941,105.970
 "56000","Wyoming",7,SAGDP8N,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",67.341,54.202,72.023,74.443,80.071,64.780,80.086,72.880,80.966,84.771,55.318,68.155,86.317,88.619,102.744,70.483,81.498,91.420,103.997,110.559,100.000,112.358,111.021,106.035,91.026,96.934,146.474
 "56000","Wyoming",7,SAGDP8N,4,"111-112","   Farms ","Quantity index",69.900,54.790,74.711,77.366,80.429,62.261,78.156,72.839,83.651,82.140,51.851,67.760,83.462,83.550,102.501,69.011,80.765,91.449,105.677,112.147,100.000,115.218,114.332,109.272,90.014,94.683,(NA)
 "56000","Wyoming",7,SAGDP8N,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",63.830,63.455,70.082,71.465,96.875,100.157,114.469,88.895,75.597,118.939,91.344,77.619,116.710,134.946,108.841,87.701,91.342,93.922,92.963,100.183,100.000,93.425,89.255,84.783,99.242,116.505,(NA)
 "56000","Wyoming",7,SAGDP8N,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",74.607,75.557,75.955,75.606,89.791,93.257,95.315,100.560,109.412,135.934,141.371,143.600,153.723,133.195,127.308,106.630,108.405,111.857,111.857,96.538,100.000,96.013,100.037,90.224,78.276,82.170,97.901
 "56000","Wyoming",7,SAGDP8N,7,"211","   Oil and gas extraction ","Quantity index",80.926,65.587,55.680,44.088,54.055,67.394,62.575,72.872,82.905,100.616,98.583,105.074,130.157,94.508,76.764,62.938,62.732,70.995,97.770,93.858,100.000,84.184,96.217,96.586,71.786,58.205,(NA)
 "56000","Wyoming",7,SAGDP8N,8,"212","   Mining (except oil and gas) ","Quantity index",115.068,134.862,146.766,150.001,155.575,152.849,164.189,139.054,130.244,145.802,167.473,151.768,158.370,161.249,169.854,139.502,145.488,127.105,123.205,116.182,100.000,89.318,88.064,92.660,84.586,107.851,(NA)
 "56000","Wyoming",7,SAGDP8N,9,"213","   Support activities for mining ","Quantity index",29.162,28.348,27.887,46.695,78.406,61.718,72.124,97.154,122.183,197.019,208.085,217.649,144.204,143.663,168.428,156.112,155.249,184.616,111.091,58.030,100.000,143.671,140.787,74.560,78.657,95.974,(NA)
 "56000","Wyoming",7,SAGDP8N,10,"22","  Utilities ","Quantity index",69.378,66.481,74.269,72.227,61.562,65.709,65.275,68.387,66.201,69.839,74.260,80.712,79.140,91.612,95.629,100.753,100.475,93.232,96.048,104.793,100.000,93.455,92.807,96.379,83.146,79.539,(D)
