GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "33000","New Hampshire",1,SAGDP9N,1,"...","All industry total ","Millions of chained 2017 dollars",51026.6,54954.5,56913.1,60742.5,61719.4,63474.2,66119.4,68428.1,69556.1,71424.5,71943.5,71195.6,70498.6,72950.4,73465.0,74082.8,75503.4,76836.2,79319.3,80736.1,81179.6,82269.5,84031.2,83182.1,89890.1,90150.5,91254.7
 "33000","New Hampshire",1,SAGDP9N,2,"..."," Private industries ","Millions of chained 2017 dollars",43209.2,46983.1,48784.8,52369.0,53185.6,54849.4,57220.2,59471.1,60452.3,62197.9,62599.1,61742.4,61320.5,63561.2,64323.6,65152.3,66618.5,67902.5,70630.8,72049.6,72452.7,73618.0,75337.5,74741.6,81441.1,81620.8,82593.0
 "33000","New Hampshire",1,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",138.8,150.9,180.6,193.9,191.3,196.0,213.5,214.5,197.6,212.6,169.2,186.5,185.6,181.2,173.8,201.9,204.0,207.9,245.2,246.9,249.4,222.8,236.3,240.2,202.3,137.6,165.8
 "33000","New Hampshire",1,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2017 dollars",75.7,83.7,99.3,109.5,97.2,102.3,101.4,106.9,116.1,116.4,92.5,115.6,116.0,107.5,88.0,104.2,113.9,108.9,138.8,137.3,133.2,130.8,132.1,116.9,83.4,31.7,(NA)
 "33000","New Hampshire",1,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",68.9,73.2,88.6,92.3,102.5,101.9,122.6,116.7,85.4,101.1,80.7,70.9,69.4,73.8,89.4,101.1,88.9,101.3,106.6,109.8,116.1,92.3,104.0,121.4,117.8,114.2,(NA)
 "33000","New Hampshire",1,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",25.8,47.8,63.5,79.9,91.0,119.5,116.9,105.4,98.2,115.3,133.7,103.7,71.6,68.4,45.3,60.3,52.6,63.9,69.0,105.0,87.5,154.9,145.9,128.4,104.2,116.1,104.4
 "33000","New Hampshire",1,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "33000","New Hampshire",1,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",19.4,41.0,52.0,66.8,90.7,119.8,116.5,105.0,97.9,112.9,120.0,91.7,62.6,58.7,34.4,50.8,43.0,55.9,61.5,98.3,78.9,144.5,134.6,117.5,91.7,101.7,(NA)
 "33000","New Hampshire",1,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",3.3,3.9,6.2,7.2,0.4,0.1,0.5,0.5,0.5,2.2,12.1,10.7,8.1,9.0,10.9,9.2,9.4,7.8,7.4,6.9,8.6,10.2,11.3,11.0,13.9,16.0,(NA)
 "33000","New Hampshire",1,SAGDP9N,10,"22","  Utilities ","Millions of chained 2017 dollars",1304.5,1224.2,1396.6,1349.0,1069.0,1061.2,1113.9,1265.0,1186.7,1125.2,1104.0,1211.6,1303.4,1408.5,1373.3,1373.6,1352.7,1275.1,1300.7,1325.4,1329.8,1293.0,1231.9,1326.7,1215.1,1195.7,1299.5
