GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "35000","New Mexico",6,SAGDP9N,1,"...","All industry total ","Millions of chained 2017 dollars",67993.2,67718.1,71421.0,72733.8,72996.4,75345.9,78766.8,85751.0,86295.9,88554.5,89392.3,89012.9,90829.2,90721.0,90552.3,90762.4,90104.0,92621.1,93503.9,93043.5,93210.1,96077.0,100446.2,97511.9,99572.3,101315.0,105463.3
 "35000","New Mexico",6,SAGDP9N,2,"..."," Private industries ","Millions of chained 2017 dollars",47445.4,47063.1,50541.0,51565.8,51502.1,53139.9,56156.5,62413.0,62875.2,65369.9,66530.9,65946.6,67635.2,67419.1,67224.0,67365.5,66976.8,69721.0,70896.8,70059.2,70331.7,73237.9,77191.1,74310.4,76114.2,77274.7,80710.8
 "35000","New Mexico",6,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",905.2,964.2,1127.4,1125.0,1295.3,1115.5,1048.5,1295.6,1492.0,1295.7,1275.5,1131.3,1055.0,1381.9,1263.6,1112.0,1022.5,1238.4,1235.3,1542.9,1438.7,1426.3,1418.8,1297.9,1073.1,1172.8,1010.7
 "35000","New Mexico",6,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2017 dollars",787.6,845.1,1005.8,990.8,1141.0,967.5,901.3,1140.9,1333.3,1129.7,1127.7,991.3,911.0,1244.1,1128.0,975.8,891.8,1090.6,1076.5,1370.8,1260.9,1240.3,1228.8,1103.8,892.1,990.9,(NA)
 "35000","New Mexico",6,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",115.3,115.4,115.6,128.1,147.2,144.0,144.7,143.3,140.9,152.4,132.3,129.0,135.7,125.2,126.2,135.7,133.2,145.9,159.5,172.9,177.7,185.7,189.4,191.4,179.2,174.5,(NA)
 "35000","New Mexico",6,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",5560.9,5779.3,5285.0,4751.0,5784.3,6118.3,5383.3,5226.4,5287.6,5659.9,5832.3,5489.0,6254.3,5549.5,5805.5,6334.8,6562.5,7191.4,7587.6,6179.1,6293.7,7386.8,9328.9,9018.8,8045.8,8316.4,10050.1
 "35000","New Mexico",6,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",2748.6,3031.1,2778.1,2199.2,2800.3,3347.8,2765.9,2588.7,2519.4,2533.8,2597.9,2293.1,3166.2,2612.1,2551.6,2743.3,2659.7,2727.7,3674.2,3681.2,3125.0,3248.2,4979.4,6329.8,4783.1,4695.8,(NA)
 "35000","New Mexico",6,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",1924.6,1950.3,1803.3,1657.2,1424.3,1153.1,1150.0,1170.2,1272.4,1333.5,1348.2,1532.2,1248.5,1204.3,1411.1,1603.9,1807.2,1986.7,1921.5,1457.2,1311.0,1143.7,1248.9,1174.0,1271.2,1412.0,(NA)
 "35000","New Mexico",6,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",399.2,352.5,310.5,520.5,780.8,554.7,656.1,792.7,979.6,1505.4,1607.8,1726.7,1156.8,1314.3,1640.2,1807.2,2100.2,2694.9,1950.2,1136.6,1857.8,3083.1,3113.8,1936.0,2248.8,2696.4,(NA)
 "35000","New Mexico",6,SAGDP9N,10,"22","  Utilities ","Millions of chained 2017 dollars",1367.4,1290.4,1492.6,1483.8,1280.6,1186.3,1167.4,1238.8,1205.1,1331.3,1351.6,1446.0,1358.2,1533.0,1625.3,1695.8,1701.2,1637.8,1603.5,1699.8,1650.1,1574.7,1626.4,1735.5,1678.0,1476.6,1479.7
 "35000","New Mexico",6,SAGDP9N,11,"23","  Construction ","Millions of chained 2017 dollars",4398.7,4314.7,4144.0,4581.9,4694.4,4390.8,4664.3,4990.2,5268.5,5389.5,5484.1,5349.9,4471.5,3989.3,3715.6,3550.6,3532.2,3493.0,3582.3,3579.4,3748.2,3884.5,4129.6,4035.3,4001.0,3711.8,3936.8
 "35000","New Mexico",6,SAGDP9N,12,"31-33","  Manufacturing ","Millions of chained 2017 dollars",2912.7,2620.4,3508.8,3547.0,2825.7,2665.9,3955.8,6419.3,5567.7,5347.5,4564.7,3216.2,5043.5,4746.4,3858.9,3504.5,3121.3,3386.7,3772.9,3737.6,3555.4,3683.7,4216.6,3845.5,3784.8,3692.7,3616.0
 "35000","New Mexico",6,SAGDP9N,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2017 dollars",1876.4,1612.4,2259.2,2321.1,1713.6,1575.2,2741.0,5052.4,4399.8,4286.0,3463.7,2121.6,4058.1,3830.6,2975.3,2430.0,1879.0,2003.5,1860.7,1879.7,1697.3,1789.2,1829.9,1785.9,1913.6,1913.0,1875.7
 "35000","New Mexico",6,SAGDP9N,14,"321","    Wood product manufacturing ","Millions of chained 2017 dollars",58.9,59.7,60.1,57.9,51.0,49.0,52.5,50.0,57.4,62.6,70.0,72.2,62.0,56.0,61.2,59.2,50.5,42.5,54.0,56.6,57.2,53.6,46.4,30.8,24.0,22.6,(NA)
 "35000","New Mexico",6,SAGDP9N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of chained 2017 dollars",213.3,234.0,282.2,239.2,197.1,205.8,217.4,277.7,316.8,318.5,291.1,266.8,219.8,188.6,166.7,217.6,211.6,228.8,225.6,248.3,212.7,189.9,170.3,169.5,197.2,180.1,(NA)
 "35000","New Mexico",6,SAGDP9N,16,"331","    Primary metal manufacturing ","Millions of chained 2017 dollars",69.6,66.5,49.3,32.4,33.2,37.9,27.1,25.4,22.7,20.7,17.9,22.7,39.8,32.0,38.9,66.3,97.8,27.6,44.1,42.6,39.3,40.5,50.5,67.1,54.0,51.5,(NA)
 "35000","New Mexico",6,SAGDP9N,17,"332","    Fabricated metal product manufacturing ","Millions of chained 2017 dollars",173.0,155.2,160.3,177.0,188.4,179.4,185.3,183.4,207.5,212.2,237.1,193.9,160.4,207.6,163.8,190.6,176.4,165.1,175.6,156.4,167.8,192.2,182.5,164.1,159.5,158.6,(NA)
