GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "36000","New York",2,SAGDP9N,1,"...","All industry total ","Millions of chained 2017 dollars",1085934.4,1112323.6,1172149.8,1217036.4,1240755.2,1228580.8,1236563.1,1269433.1,1301438.0,1339568.5,1353798.9,1328095.7,1379504.6,1431624.0,1440346.8,1496280.1,1501818.0,1535375.9,1565835.2,1590567.8,1624800.7,1665186.8,1709750.7,1650567.2,1724472.2,1763524.6,1775714.1
 "36000","New York",2,SAGDP9N,2,"..."," Private industries ","Millions of chained 2017 dollars",933890.0,956620.1,1012169.6,1054682.3,1081946.4,1070368.5,1077256.8,1107549.1,1138631.1,1178604.6,1190203.7,1162788.7,1213944.2,1264197.3,1274975.2,1332998.7,1335094.3,1370960.5,1404226.6,1429759.4,1461067.2,1490874.8,1534263.5,1482336.9,1553197.0,1592899.7,1602497.4
 "36000","New York",2,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",1451.6,1737.5,1978.6,2168.6,2253.9,2062.7,2068.4,2235.8,2556.0,2632.1,2452.2,2640.1,2514.7,2817.6,2545.7,2297.3,2441.0,2628.4,2494.1,2677.3,2819.2,2654.9,3066.1,2818.2,2854.7,3177.7,2731.5
 "36000","New York",2,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2017 dollars",1115.3,1430.0,1652.1,1829.7,1894.2,1706.8,1693.1,1849.7,2140.3,2154.8,2033.5,2202.0,2112.3,2403.6,2154.9,1912.6,2058.4,2222.0,2053.1,2237.5,2370.2,2242.8,2648.2,2363.6,2356.6,2660.8,(NA)
 "36000","New York",2,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",351.0,305.9,322.5,334.8,355.8,356.0,378.3,383.5,406.3,471.2,409.1,423.7,386.5,394.9,377.5,387.5,372.0,392.3,440.8,439.3,449.1,412.3,422.6,451.6,496.0,501.3,(NA)
 "36000","New York",2,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",634.0,736.7,840.4,862.1,850.8,799.9,839.2,870.7,783.6,904.1,936.9,979.8,921.1,847.7,724.9,724.3,657.1,693.1,677.6,755.4,688.4,716.6,742.1,822.5,776.0,634.3,730.9
 "36000","New York",2,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",23.5,26.8,14.6,10.9,22.0,25.1,28.9,38.3,40.8,46.6,60.5,61.5,102.0,91.2,113.8,121.6,112.2,116.2,129.0,107.9,67.8,57.4,78.8,131.8,58.1,41.0,(NA)
 "36000","New York",2,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",752.3,892.5,1039.0,1058.9,1005.3,931.8,970.6,971.8,829.3,924.6,893.5,859.8,785.3,723.4,538.7,511.4,495.3,519.2,499.4,608.7,564.1,574.3,586.0,640.3,639.9,525.9,(NA)
 "36000","New York",2,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",25.8,22.0,23.5,31.5,36.8,36.7,38.9,46.6,59.9,96.7,124.9,205.5,102.1,98.5,93.3,107.3,58.7,69.8,54.6,42.8,56.4,87.8,78.4,63.5,81.6,76.3,(NA)
 "36000","New York",2,SAGDP9N,10,"22","  Utilities ","Millions of chained 2017 dollars",19189.4,18414.1,20664.3,20655.3,17598.8,17859.5,18228.6,20337.9,19089.6,19134.4,18816.2,19463.8,17612.5,20711.4,21151.8,21546.2,21514.4,21022.3,20789.0,21519.8,22186.8,22814.3,23216.2,26419.3,24904.2,22842.6,25451.6
 "36000","New York",2,SAGDP9N,11,"23","  Construction ","Millions of chained 2017 dollars",42262.8,42248.1,45917.5,49463.4,50063.5,49303.3,49818.9,49125.1,47005.2,45231.8,47378.4,48326.5,45885.8,43255.4,41815.4,42610.8,44446.1,45468.7,48804.3,51969.4,53737.5,54280.3,54122.9,48652.6,49792.0,44925.1,44773.3
 "36000","New York",2,SAGDP9N,12,"31-33","  Manufacturing ","Millions of chained 2017 dollars",61860.5,64915.1,66165.0,70162.3,67168.0,69959.7,69850.6,73363.1,74543.6,79444.5,79536.8,76229.3,74323.8,75095.8,69362.6,66261.2,66749.5,68288.5,70210.6,67970.6,69419.6,68167.9,72599.1,68229.5,70824.0,70400.2,69908.0
 "36000","New York",2,SAGDP9N,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2017 dollars",22991.0,25636.5,26049.2,27230.7,26050.7,26843.7,26657.3,28100.5,29804.7,30443.8,32267.9,33477.6,29052.1,31485.4,33042.0,33513.7,35064.2,34607.0,34490.1,33207.5,34319.2,34191.7,34428.3,31130.0,31936.3,32480.9,32775.8
 "36000","New York",2,SAGDP9N,14,"321","    Wood product manufacturing ","Millions of chained 2017 dollars",506.2,516.7,464.8,564.3,557.8,567.8,528.2,414.5,488.3,473.5,605.3,674.3,541.7,618.0,638.7,589.1,553.2,599.7,654.0,683.2,564.6,505.2,539.8,522.9,498.3,409.5,(NA)
 "36000","New York",2,SAGDP9N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of chained 2017 dollars",3529.7,3393.3,2748.6,3009.4,2324.2,2271.5,2184.3,3009.0,2867.9,2517.7,2369.1,2515.4,2289.1,1963.7,2652.7,2109.8,2132.9,3170.4,2898.6,2938.6,3069.8,3127.8,3317.9,2973.1,3189.4,3143.4,(NA)
 "36000","New York",2,SAGDP9N,16,"331","    Primary metal manufacturing ","Millions of chained 2017 dollars",922.9,1162.1,1319.8,1465.3,1544.3,1485.7,1396.9,1264.2,1254.5,1053.4,1109.0,784.9,413.2,664.6,542.5,1444.6,1305.0,1503.6,1326.5,1400.8,1651.0,1370.4,1496.3,1545.7,1309.0,1649.2,(NA)
 "36000","New York",2,SAGDP9N,17,"332","    Fabricated metal product manufacturing ","Millions of chained 2017 dollars",5902.1,6134.0,5804.2,6169.2,5451.5,5144.2,5427.3,5666.9,5429.1,5406.0,5529.8,5089.6,4234.1,4507.0,4558.7,4852.2,5176.1,5079.8,4915.0,4900.6,4605.8,4853.7,4872.2,4319.9,4344.3,3938.8,(NA)
 "36000","New York",2,SAGDP9N,18,"333","    Machinery manufacturing ","Millions of chained 2017 dollars",9696.5,10789.0,10415.2,9129.2,7965.3,7045.5,5385.2,6174.1,6537.4,6848.0,7129.7,7422.2,6205.5,5979.9,7058.3,6579.1,7094.1,6240.0,6517.6,5619.2,5559.7,5160.7,5379.5,4229.4,4435.5,4546.5,(NA)
