GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "44000","Rhode Island",1,SAGDP9N,1,"...","All industry total ","Millions of chained 2017 dollars",43434.7,45381.3,46831.2,49113.6,49705.2,51284.3,52933.1,55160.5,55885.9,57415.8,56230.5,54977.1,54481.5,56050.6,56026.6,56487.4,57037.2,57602.7,58387.9,58630.0,58771.6,58740.1,59866.6,58155.2,60777.3,62190.9,63172.6
 "44000","Rhode Island",1,SAGDP9N,2,"..."," Private industries ","Millions of chained 2017 dollars",35564.5,37447.9,38753.0,40727.7,41317.5,42813.9,44272.3,46250.4,46913.8,48422.1,47297.7,46195.5,46187.5,47706.5,47665.6,48310.1,49037.0,49723.2,50590.8,50802.9,50664.1,50672.5,51786.4,50335.6,52761.7,54023.4,54724.9
 "44000","Rhode Island",1,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",110.7,128.5,143.7,167.8,168.6,171.8,166.1,145.3,142.0,155.8,115.8,129.5,137.8,132.2,112.9,101.8,92.5,91.4,112.2,114.2,116.0,112.2,106.6,108.3,97.0,100.0,131.6
 "44000","Rhode Island",1,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2017 dollars",28.0,28.6,31.6,36.2,36.2,45.1,43.3,43.1,47.2,49.9,33.2,47.0,55.9,50.0,37.1,33.3,31.4,30.4,41.5,38.3,41.4,40.4,35.5,31.5,27.5,32.0,(NA)
 "44000","Rhode Island",1,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",87.3,106.0,119.1,139.7,140.5,133.9,129.7,106.7,98.0,109.4,85.8,82.9,81.5,82.0,76.9,69.7,61.6,61.6,70.6,75.8,74.5,71.8,70.9,76.1,69.0,66.1,(NA)
 "44000","Rhode Island",1,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",30.0,35.4,41.4,43.0,39.2,49.3,47.1,56.5,42.9,37.4,38.9,40.4,38.2,24.2,16.4,21.1,18.1,42.6,59.1,57.2,56.6,43.4,40.4,45.5,55.7,58.1,65.8
 "44000","Rhode Island",1,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",(L),0.0,0.0,0.0,0.0,0.1,0.1,0.1,(L),(L),0.1,0.1,(L),(L),(L),0.5,0.6,0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "44000","Rhode Island",1,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",23.7,28.8,34.0,33.4,36.4,46.8,45.2,55.9,43.0,37.5,38.7,40.5,38.4,24.3,16.4,20.3,17.0,42.0,58.7,57.0,56.6,43.4,40.4,45.5,55.7,58.1,(NA)
 "44000","Rhode Island",1,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",3.7,3.9,4.5,5.6,1.9,1.8,1.4,0.7,(L),0.1,(L),0.1,(L),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "44000","Rhode Island",1,SAGDP9N,10,"22","  Utilities ","Millions of chained 2017 dollars",733.5,691.2,764.1,859.8,746.5,613.6,653.5,690.9,663.1,738.6,719.8,804.6,750.7,838.6,821.1,817.8,835.7,812.4,857.3,891.9,887.1,896.3,914.6,983.3,908.8,952.9,1164.0
 "44000","Rhode Island",1,SAGDP9N,11,"23","  Construction ","Millions of chained 2017 dollars",2913.3,3089.0,3254.7,3311.9,3242.3,3153.6,3452.9,3501.9,3475.3,3350.6,3173.4,2794.6,2514.9,2439.6,2320.5,2362.1,2223.9,2103.1,2077.0,2124.2,2117.1,2247.4,2322.1,2185.2,2240.8,2088.7,2143.7
