GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "50000","Vermont",1,SAGDP9N,1,"...","All industry total ","Millions of chained 2017 dollars",21372.2,22266.5,23561.7,24844.6,25681.8,26522.8,27548.1,28989.2,29283.2,29420.9,29296.6,30168.6,29565.7,30890.6,31663.6,31898.1,31494.6,31847.7,32042.9,32312.7,32589.2,32827.8,33207.6,32307.1,33860.8,34609.4,35073.5
 "50000","Vermont",1,SAGDP9N,2,"..."," Private industries ","Millions of chained 2017 dollars",17698.2,18512.0,19693.8,20835.2,21523.1,22260.4,23124.8,24417.5,24651.5,24767.3,24690.0,25468.9,24949.0,26295.2,26919.9,27277.2,26806.2,27241.6,27459.3,27722.2,27990.8,28222.0,28578.7,27688.6,29215.8,29899.0,30186.8
 "50000","Vermont",1,SAGDP9N,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",270.6,314.3,350.8,385.4,393.6,342.0,345.7,385.7,452.6,399.2,415.1,424.9,372.8,414.6,405.6,365.8,377.5,443.9,407.5,432.1,421.9,400.4,476.3,401.3,372.4,436.8,338.0
 "50000","Vermont",1,SAGDP9N,4,"111-112","   Farms ","Millions of chained 2017 dollars",206.9,247.9,281.7,308.4,300.4,251.5,260.8,297.9,360.3,292.7,324.9,334.1,283.4,328.6,318.5,284.1,297.5,356.3,320.4,350.0,340.4,318.4,392.8,318.2,293.4,357.3,(NA)
 "50000","Vermont",1,SAGDP9N,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",69.0,71.0,73.8,82.2,99.2,97.1,90.5,91.9,94.6,110.3,91.0,91.2,91.2,87.5,89.4,85.1,81.3,86.0,87.2,82.2,81.5,81.9,84.3,82.5,78.6,74.3,(NA)
 "50000","Vermont",1,SAGDP9N,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",114.5,128.6,148.8,160.1,176.5,180.2,225.7,182.9,190.5,200.5,181.2,168.8,214.9,217.3,196.1,164.8,159.0,161.9,177.1,165.9,175.5,107.2,94.7,148.7,125.0,120.2,123.4
 "50000","Vermont",1,SAGDP9N,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",1.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
 "50000","Vermont",1,SAGDP9N,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",113.1,126.8,148.0,159.6,175.8,179.6,224.9,182.4,190.0,200.0,180.8,168.3,214.3,216.7,193.9,162.6,157.0,160.6,175.8,165.2,173.7,105.1,92.3,146.4,122.8,117.4,(NA)
 "50000","Vermont",1,SAGDP9N,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",(L),0.0,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.1,2.3,1.9,1.3,1.3,0.7,1.7,2.2,2.6,2.2,2.2,3.2,(NA)
 "50000","Vermont",1,SAGDP9N,10,"22","  Utilities ","Millions of chained 2017 dollars",588.8,582.7,663.5,655.1,544.6,570.2,548.3,626.1,586.3,582.9,619.1,640.5,674.3,782.3,704.9,766.3,783.2,725.6,741.1,651.5,611.1,639.3,615.0,691.3,669.8,644.9,665.3
 "50000","Vermont",1,SAGDP9N,11,"23","  Construction ","Millions of chained 2017 dollars",1441.9,1480.9,1615.6,1730.6,1791.6,1738.2,1720.5,1808.8,1688.0,1600.1,1466.7,1312.7,1295.6,1315.0,1342.5,1328.2,1255.9,1186.1,1170.5,1196.9,1195.4,1162.8,1147.2,1077.6,1141.6,1050.9,1062.2
 "50000","Vermont",1,SAGDP9N,12,"31-33","  Manufacturing ","Millions of chained 2017 dollars",1695.7,1770.9,1977.4,2268.6,2493.0,2512.5,2662.7,2830.0,2814.3,3144.6,2807.8,3122.0,2667.8,3139.2,3350.6,3479.4,2811.3,2711.8,2819.1,2666.4,2939.9,3089.9,3027.7,2991.8,3171.3,3096.7,3017.5
 "50000","Vermont",1,SAGDP9N,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2017 dollars",932.7,1018.9,1109.4,1350.3,1673.5,1698.1,1832.2,1935.7,1939.0,2135.6,1792.4,2082.6,1840.7,2274.8,2447.4,2657.2,1955.2,1782.2,1757.3,1642.7,1856.0,1981.3,1866.4,1797.1,2024.9,2075.9,2012.1
 "50000","Vermont",1,SAGDP9N,14,"321","    Wood product manufacturing ","Millions of chained 2017 dollars",151.2,150.5,115.0,141.8,136.2,151.5,155.3,131.3,147.3,140.4,144.1,147.2,109.9,119.7,134.8,179.4,189.4,170.5,159.6,163.2,148.6,145.7,128.5,117.1,94.2,87.7,(NA)
 "50000","Vermont",1,SAGDP9N,15,"327","    Nonmetallic mineral product manufacturing ","Millions of chained 2017 dollars",145.4,133.4,145.1,153.1,181.8,185.9,171.2,215.0,211.8,174.8,162.6,177.0,143.1,153.1,164.8,162.1,156.9,179.6,142.4,135.7,123.5,126.8,133.1,132.9,143.3,142.6,(NA)
 "50000","Vermont",1,SAGDP9N,16,"331","    Primary metal manufacturing ","Millions of chained 2017 dollars",21.0,15.0,23.8,27.1,38.0,38.9,34.2,31.3,23.8,17.7,14.4,13.9,14.1,13.2,17.1,20.6,19.2,20.8,21.4,22.8,19.7,18.7,23.8,24.7,19.1,19.6,(NA)
 "50000","Vermont",1,SAGDP9N,17,"332","    Fabricated metal product manufacturing ","Millions of chained 2017 dollars",293.9,289.8,272.8,329.4,393.5,227.0,325.5,301.2,154.9,271.2,287.5,267.9,169.0,170.3,182.8,204.0,202.6,217.2,201.8,155.0,145.5,156.0,185.8,163.6,152.9,138.1,(NA)
 "50000","Vermont",1,SAGDP9N,18,"333","    Machinery manufacturing ","Millions of chained 2017 dollars",293.6,335.2,319.2,318.0,341.4,191.9,182.0,200.5,223.6,249.5,243.2,240.0,216.8,270.3,285.4,277.8,282.9,276.6,329.7,307.1,363.4,389.1,352.8,364.2,377.8,380.7,(NA)
 "50000","Vermont",1,SAGDP9N,19,"334","    Computer and electronic product manufacturing ","Millions of chained 2017 dollars",87.0,105.9,129.7,192.5,311.4,356.3,436.1,488.6,519.7,543.9,312.0,577.4,583.2,790.5,973.2,1187.5,533.0,388.1,391.3,372.4,585.1,694.1,589.2,485.9,733.8,800.1,(NA)
 "50000","Vermont",1,SAGDP9N,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of chained 2017 dollars",66.1,71.9,88.8,96.3,100.3,115.6,137.5,127.4,127.8,183.7,177.9,195.4,157.0,189.8,149.9,141.5,170.5,140.8,129.0,115.3,114.4,120.2,96.1,91.7,76.9,75.7,(NA)
 "50000","Vermont",1,SAGDP9N,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of chained 2017 dollars",26.6,33.8,41.3,49.5,31.3,36.5,40.2,49.3,49.4,71.0,68.3,54.7,18.9,31.0,39.9,37.1,40.3,45.0,46.7,45.7,46.2,44.3,48.0,41.3,39.9,46.6,(NA)
 "50000","Vermont",1,SAGDP9N,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of chained 2017 dollars",188.7,172.3,220.7,247.3,201.0,147.6,97.7,122.2,147.8,147.7,161.0,146.7,132.1,180.5,162.4,133.8,144.3,126.1,122.2,115.7,106.9,94.5,107.1,119.9,129.7,142.2,(NA)
 "50000","Vermont",1,SAGDP9N,23,"337","    Furniture and related product manufacturing ","Millions of chained 2017 dollars",98.9,123.2,143.6,144.7,129.5,234.3,174.3,108.5,106.6,107.6,99.2,66.1,53.2,59.9,63.7,75.3,71.1,72.1,69.1,62.2,74.2,72.5,65.9,62.1,69.2,65.4,(NA)
 "50000","Vermont",1,SAGDP9N,24,"339","    Miscellaneous manufacturing ","Millions of chained 2017 dollars",133.6,114.9,101.6,88.8,108.3,172.7,147.1,184.8,195.2,235.2,261.1,213.9,222.2,245.9,190.0,122.7,128.2,147.4,143.5,148.8,128.5,120.9,135.3,188.8,209.3,213.3,(NA)
 "50000","Vermont",1,SAGDP9N,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of chained 2017 dollars",984.6,910.2,1080.8,1080.9,836.6,823.7,820.4,890.0,863.9,1009.2,1055.4,1059.1,833.9,862.1,899.4,814.7,852.8,928.6,1061.6,1023.4,1083.9,1108.5,1161.4,1194.6,1147.5,1022.0,1005.6
 "50000","Vermont",1,SAGDP9N,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of chained 2017 dollars",365.8,310.3,382.9,410.2,290.9,277.9,339.5,370.7,385.5,557.7,621.5,605.4,445.5,490.0,515.7,424.0,440.0,479.0,599.4,556.0,638.3,647.8,701.7,682.8,682.2,592.4,(NA)
 "50000","Vermont",1,SAGDP9N,27,"313-314","    Textile mills and textile product mills ","Millions of chained 2017 dollars",15.5,15.6,17.2,19.4,16.8,14.1,11.0,11.5,10.2,9.8,9.0,10.3,9.1,7.9,7.4,10.4,13.2,15.3,25.3,13.8,19.9,18.8,17.2,15.1,15.4,11.9,(NA)
 "50000","Vermont",1,SAGDP9N,28,"315-316","    Apparel, leather, and allied product manufacturing ","Millions of chained 2017 dollars",29.3,17.0,38.8,24.8,23.2,22.1,19.1,19.9,18.2,16.4,15.5,20.3,16.7,16.1,20.4,26.9,21.4,24.4,23.1,25.3,23.9,33.3,40.0,54.4,66.8,61.0,(NA)
 "50000","Vermont",1,SAGDP9N,29,"322","    Paper manufacturing ","Millions of chained 2017 dollars",218.6,190.5,195.3,193.1,152.8,147.0,128.9,137.8,134.8,138.2,123.0,115.7,124.8,119.1,108.5,68.0,68.6,77.2,77.9,85.8,74.4,68.5,78.8,106.6,85.1,79.5,(NA)
 "50000","Vermont",1,SAGDP9N,30,"323","    Printing and related support activities ","Millions of chained 2017 dollars",117.1,122.2,124.6,102.8,98.1,111.8,95.9,116.1,107.2,84.1,84.9,81.9,63.2,58.8,56.1,67.9,73.5,73.1,76.4,78.1,71.5,77.2,66.8,51.5,51.2,44.4,(NA)
 "50000","Vermont",1,SAGDP9N,31,"324","    Petroleum and coal products manufacturing ","Millions of chained 2017 dollars",20.4,24.8,31.4,36.8,11.1,12.6,10.9,11.9,10.7,9.7,14.2,14.6,13.4,13.2,15.5,14.8,16.3,22.5,21.8,23.3,17.2,14.9,17.1,20.4,14.4,11.1,(NA)
 "50000","Vermont",1,SAGDP9N,32,"325","    Chemical manufacturing ","Millions of chained 2017 dollars",91.8,89.4,135.0,149.8,179.1,159.9,146.6,137.3,119.1,103.9,95.5,105.4,84.2,70.5,84.1,109.1,119.7,144.4,128.1,137.2,131.8,143.4,133.2,136.5,130.9,130.9,(NA)
 "50000","Vermont",1,SAGDP9N,33,"326","    Plastics and rubber products manufacturing ","Millions of chained 2017 dollars",109.6,116.1,135.3,146.1,68.2,73.2,67.5,75.8,70.1,93.7,97.1,110.5,80.8,89.5,96.2,95.4,101.5,93.8,110.2,106.1,107.0,105.2,107.3,130.8,103.9,92.6,(NA)
 "50000","Vermont",1,SAGDP9N,34,"42","  Wholesale trade ","Millions of chained 2017 dollars",1176.7,1180.4,1175.0,1234.7,1318.6,1401.0,1564.9,1607.0,1572.0,1521.4,1511.8,1496.1,1374.1,1497.5,1538.6,1566.4,1575.3,1557.2,1612.7,1700.9,1617.6,1628.2,1659.9,1682.0,1625.2,1530.5,1419.1
 "50000","Vermont",1,SAGDP9N,35,"44-45","  Retail trade ","Millions of chained 2017 dollars",1542.1,1673.3,1752.7,1805.7,1936.9,2077.2,2180.2,2278.3,2328.5,2257.2,2169.8,2172.4,2079.4,2156.5,2164.7,2105.4,2192.8,2240.1,2348.4,2460.9,2589.0,2674.9,2696.2,2629.0,2573.5,2509.2,2739.1
 "50000","Vermont",1,SAGDP9N,36,"48-49","  Transportation and warehousing ","Millions of chained 2017 dollars",543.3,570.2,584.5,616.5,570.4,572.2,583.6,615.4,634.0,630.8,626.5,612.9,577.9,596.0,604.3,584.3,565.9,570.9,546.9,538.9,559.3,555.9,556.0,528.3,556.7,532.1,549.9
 "50000","Vermont",1,SAGDP9N,37,"481","   Air transportation ","Millions of chained 2017 dollars",28.7,34.5,33.6,16.4,8.0,11.1,22.7,23.3,33.8,33.6,40.2,44.0,44.0,44.7,33.7,32.8,29.1,31.6,31.4,26.1,27.6,25.4,27.4,6.5,27.4,43.0,(NA)
