Location,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Alabama,443900,534100,1239200,626400,726500
Alaska,77000,92400,184700,92300,67900
Arizona,629800,763700,1646800,786200,1057900
Arkansas,255600,330800,742500,365900,449100
California,3847100,4986800,10292400,4478100,4902400
Colorado,489100,695500,1411500,664200,666300
Connecticut,290500,382300,986300,482100,534900
Delaware,83900,101600,235800,123800,148600
District of Columbia,64600,133100,168700,67800,71800
Florida,1714600,2146800,5075100,2552600,3728900
Georgia,923700,1180500,2723600,1162300,1218700
Hawaii,116600,170100,344600,178500,224900
Idaho,149600,182500,393200,198900,230500
Illinois,1170100,1557900,3418400,1609800,1718400
Indiana,593700,738200,1696100,831600,905800
Iowa,271000,349100,766600,401900,468600
Kansas,268100,335200,704100,358800,396900
Kentucky,387100,484100,1155200,573200,632000
Louisiana,441200,570000,1153600,578400,611500
Maine,102300,131500,354400,206600,234900
Maryland,515800,719900,1628900,762500,795200
Massachusetts,597300,802700,1813900,877500,977800
Michigan,929600,1050300,2569200,1356200,1489400
Minnesota,462200,678600,1416600,710400,746700
Mississippi,269800,323400,749000,368200,416000
Missouri,534800,703000,1530000,782700,892600
Montana,95200,110000,243000,149600,166100
Nebraska,161900,223200,459800,233500,260000
Nevada,259200,351300,759100,342200,397700
New Hampshire,109400,132000,368000,196200,201700
New Jersey,746900,1002000,2498000,1148200,1270600
New Mexico,206800,233900,496900,270500,311000
New York,1828500,2487400,5265900,2478800,2797400
North Carolina,872400,1097900,2640000,1232200,1420100
North Dakota,83300,94700,168300,92200,99300
Ohio,997400,1284600,2983500,1559200,1729000
Oklahoma,361900,456000,947200,465100,544900
Oregon,340100,487200,1018900,538600,623300
Pennsylvania,1072200,1432100,3272400,1759700,2053700
Rhode Island,96200,120400,275700,139900,160200
South Carolina,423600,532700,1227900,626400,743300
South Dakota,77700,96500,200900,110100,121900
Tennessee,593800,731500,1709900,839900,955400
Texas,2584900,3377300,7000600,2927300,3011800
Utah,311100,391100,685900,277100,290600
Vermont,51100,64000,162600,95700,102500
Virginia,733100,9.75E+05,2212600,1031700,1117100
Washington,630600,881700,1845500,906500,972100
West Virginia,156300,189900,470100,266300,320600
Wisconsin,514100,644000,1493500,770200,848400
Wyoming,52600,73400,143900,81100,76700
