Location,Total
Alabama,"3,800,274"
Alaska,"553,631"
Arizona,"5,534,419"
Arkansas,"2,309,041"
California,"30,389,382"
Colorado,"4,425,895"
Connecticut,"2,834,965"
Delaware,"763,472"
District of Columbia,"575,926"
Florida,"17,002,480"
Georgia,"8,011,265"
Hawaii,"1,117,827"
Idaho,"1,309,769"
Illinois,"9,860,731"
Indiana,"5,125,880"
Iowa,"2,421,524"
Kansas,"2,206,647"
Kentucky,"3,454,333"
Louisiana,"3,567,057"
Maine,"1,089,858"
Maryland,"4,696,858"
Massachusetts,"5,511,033"
Michigan,"7,812,144"
Minnesota,"4,300,882"
Mississippi,"2,274,614"
Missouri,"4,744,737"
Montana,"833,116"
Nebraska,"1,448,723"
Nevada,"2,342,768"
New Hampshire,"1,097,513"
New Jersey,"6,931,965"
New Mexico,"1,613,567"
New York,"15,443,707"
North Carolina,"8,084,631"
North Dakota,"582,365"
Ohio,"9,081,287"
Oklahoma,"2,992,972"
Oregon,"3,309,270"
Pennsylvania,"10,145,303"
Rhode Island,"852,354"
South Carolina,"3,982,912"
South Dakota,"663,589"
Tennessee,"5,264,378"
Texas,"21,253,960"
Utah,"2,223,670"
Vermont,"508,708"
Virginia,"6,640,761"
Washington,"5,858,996"
West Virginia,"1,442,209"
Wisconsin,"4,532,654"
Wyoming,"446,548"
